Pod,Rank,Name_Clean,VP_Pile_1,VP_Pile_2,Total_VP,Win?,Total Rank Points,VP_Diff,Bystanders,Fun_Level,Win_Value,Win_Points,Turns_Value,Turns_Points,Turns_Rank,Escapes_Value,Escapes_Points,Escapes_Rank,PPT_Value,PPT_Points,PPT_Rank,Unique_Pod_ID,Pick 1,Pick 2,Attempt,Points Earned,Total Points,Cards Undercover
34,4.0,Cglied,51,33,84,1st,24.5,18,11,4,Yes,8.0,31,8,3rd,3,1.5,9th,2.71,7,4th,F24_Pod_34,Captain Mar-Vell,Nova (Avengers),Second attempt,(+8),15.0,0
34,5.0,Kb_Driven,43,36,79,1st,24,7,12,4,Yes,8.0,33,7,4th,2,3,8th,2.394,6,5th,F24_Pod_34,Bruce Banner (MCU),Brainstorm,Second attempt,(+7),15.0,0
34,6.0,Lasombra81,38,21,59,6th,19.5,17,10,3,No,3.0,29,3,8th,0,8.5,1st,2.034,5,6th,F24_Pod_34,Psi-Lord,Nova (Avengers),First attempt,(+6),13.0,3
34,7.0,Montax30,43,29,72,6th,16,14,21,2,No,3.0,36,4,7th,1,5,5th,2,4,7th,F24_Pod_34,Captain Mar-Vell,Quasar,First attempt,(+5),10.0,0
34,8.0,ggyppt,14,18,32,6th,14.5,4,4,2,No,3.0,20,1,10th,0,8.5,1st,1.6,2,9th,F24_Pod_34,Nova (Avengers),Brainstorm,Second attempt,(+4),10.0,0
34,10.0,jgoodnough and daughter,18,14,32,6th,11,4,4,3,No,3.0,25,2,9th,1,5,5th,1.28,1,10th,F24_Pod_34,Quasar,Phyla-Vell,First attempt,(+2),5.0,0
35,1.0,Jean-Sébastien & Geneviève,25,21,46,1st,32,4,0,4,Yes,5.5,15,10,1st,0,7.5,1st,3.067,9,2nd,F24_Pod_35,Medusa,Phoenix Force Cyclops,First attempt,(+10),37.0,0
35,3.0,Avataristche,20,42,62,1st,27,22,0,4,Yes,5.5,22,9,2nd,0,7.5,1st,2.818,5,6th,F24_Pod_35,Medusa,Phoenix Force Cyclops,First attempt,(+8),38.0,0
35,4.0,Snash108,40,31,71,1st,23,9,2,4,Yes,5.5,27,6.5,4th,0,7.5,1st,2.63,3.5,7th,F24_Pod_35,Agent Venom,Captain Britain,Second attempt,(+7),32.0,0
35,5.0,ChuckBauer,40,31,71,1st,23,9,1,4,Yes,5.5,27,6.5,4th,0,7.5,1st,2.63,3.5,7th,F24_Pod_35,Agent Venom,Captain Britain,First attempt,(+6),29.0,0
35,6.0,MysticRuby,52,38,90,1st,20.5,14,4,3,Yes,5.5,31,3.5,6th,1,3.5,7th,2.903,8,3rd,F24_Pod_35,Agent Venom,Captain Britain,First attempt,(+5),29.0,0
35,7.0,Pizza (.gaxim) & Extra Cheese (Rolf101),28,60,88,1st,18.5,32,2,4,Yes,5.5,31,3.5,6th,1,3.5,7th,2.839,6,5th,F24_Pod_35,Silk,Spider-Gwen,Second attempt,(+4),30.0,0
35,9.0,Bronson & Lighthouse,39,34,73,1st,17.5,5,2,4,Yes,5.5,31,3.5,6th,0,7.5,1st,2.355,1,10th,F24_Pod_35,Beast (Illuminati),Captain Britain,Second attempt,(+2),22.0,0
35,10.0,dontfeedthegreen,54,29,83,1st,10,25,5,3,Yes,5.5,35,1,10th,2,1.5,9th,2.371,2,9th,F24_Pod_35,Captain America (Falcon),Captain Britain,First attempt,(+1),26.0,3
36,1.0,realdanl,79,27,106,1st,31,52,11,3,Yes,5.5,25,8,3rd,0,8.5,1st,4.24,9,2nd,F24_Pod_36,Symbiote Spider-Man,Spider-Gwen,Second attempt,(+10),31.0,3
36,2.0,Off the Cuff & hanoott,48,40,88,1st,30.5,8,4,5,Yes,5.5,20,9,2nd,1,6,5th,4.4,10,1st,F24_Pod_36,Spider-Gwen,Symbiote Spider-Man,Second attempt,(+9),29.0,6
36,3.0,Bakatora971,36,40,76,1st,26.5,4,4,3,Yes,5.5,18,10,1st,4,3,7th,4.222,8,3rd,F24_Pod_36,Spider-Gwen,Symbiote Spider-Man,Second attempt,(+8),28.0,2
36,4.0,Techfiend,85,30,115,1st,25,55,7,4,Yes,5.5,32,4,7th,0,8.5,1st,3.594,7,4th,F24_Pod_36,Agent Venom,Symbiote Spider-Man,Second attempt,(+7),28.0,3
36,5.0,KelgatesKollections,63,33,96,1st,23,30,1,4,Yes,5.5,31,5,6th,0,8.5,1st,3.097,4,7th,F24_Pod_36,Symbiote Spider-Man,Stepford Cuckoos,Second attempt,(+6),25.0,2
36,6.0,jdub,45,68,113,1st,22,23,8,5,Yes,5.5,34,3,8th,0,8.5,1st,3.324,5,6th,F24_Pod_36,Agent Venom,"Captain and the Devil, The",First attempt,(+5),26.0,3
36,7.0,Flipflopmaniac,59,35,94,1st,21.5,24,5,3,Yes,5.5,27,7,4th,4,3,7th,3.481,6,5th,F24_Pod_36,Symbiote Spider-Man,Agent Venom,First attempt,(+4),24.0,3
36,8.0,bamlinden,24,62,86,1st,19.5,38,5,5,Yes,5.5,30,6,5th,2,5,6th,2.867,3,8th,F24_Pod_36,Moon Knight,Spider-Gwen,Second attempt,(+3),22.0,3
36,9.0,allman7359,67,22,89,1st,11,45,2,3,Yes,5.5,38,1.5,9th,4,3,7th,2.342,1,10th,F24_Pod_36,Doctor Doom 2099,Ghost Rider 2099,Second attempt,(+2),23.0,11
36,10.0,Lycanknight_,57,42,99,1st,10,15,8,3,Yes,5.5,38,1.5,9th,5,1,10th,2.605,2,9th,F24_Pod_36,Elsa Bloodstone (SHIELD),Multiple Man,Second attempt,(+1),21.0,3
37,1.0,the.melk.man & Snapcity57,53,22,75,1st,30.5,31,12,3,Yes,5.5,19,9.5,1st,0,6.5,1st,3.947,9,2nd,F24_Pod_37,She-Hulk,Gladiator Hulk,First attempt,(+10),35.0,0
37,2.0,piplup1112111,37,30,67,1st,29.5,7,15,5,Yes,5.5,19,9.5,1st,0,6.5,1st,3.526,8,3rd,F24_Pod_37,Hulkbuster Iron Man,Beast (Illuminati),First attempt,(+9),31.0,0
37,3.0,Lukas,68,43,111,1st,25,25,18,5,Yes,5.5,28,3,8th,0,6.5,1st,3.964,10,1st,F24_Pod_37,Amadeus Cho,Black Swan,Second attempt,(+8),31.0,0
37,4.0,DRobb & ShadowOfTheBat,31,38,69,1st,25,7,12,4,Yes,5.5,20,8,3rd,0,6.5,1st,3.45,5,6th,F24_Pod_37,Agent Venom,Gladiator Hulk,Second attempt,(+7),29.0,0
37,5.0,GamerGump & Kendycrow,43,41,84,1st,21,2,16,3,Yes,5.5,25,6,5th,0,6.5,1st,3.36,3,8th,F24_Pod_37,Agent Venom,Spider-Gwen,First attempt,(+6),30.0,0
37,6.0,Adrian Miller,45,22,67,1st,21,23,11,4,Yes,5.5,21,7,4th,0,6.5,1st,3.19,2,9th,F24_Pod_37,Agent Venom,Black Swan,First attempt,(+5),28.0,0
37,7.0,Redblock,42,73,115,1st,20,31,22,4,Yes,5.5,33,2,9th,0,6.5,1st,3.485,6,5th,F24_Pod_37,Captain Britain,Soulsword Colossus,Second attempt,(+4),33.0,0
37,8.0,Tozar,30,52,82,1st,17.5,22,12,4,Yes,5.5,26,4.5,6th,0,6.5,1st,3.154,1,10th,F24_Pod_37,Agent Venom,Spider-Gwen,First attempt,(+3),25.0,0
37,9.0,AdamantiumGambit,27,62,89,1st,15.5,35,22,5,Yes,5.5,26,4.5,6th,1,1.5,9th,3.423,4,7th,F24_Pod_37,Hiroim,Soulsword Colossus,First attempt,(+2),25.0,0
37,10.0,Justitiana,35,91,126,1st,15,56,29,3,Yes,5.5,36,1,10th,1,1.5,9th,3.5,7,4th,F24_Pod_37,Hiroim,Soulsword Colossus,First attempt,(+1),23.0,0
38,1.0,Buya & DSCern,58,58,116,1st,32.5,0,9,5,Yes,6.0,30,10,1st,0,6.5,1st,3.867,10,1st,F24_Pod_38,Cassie Lang,Bruce Banner (MCU),First attempt,(+10),27.0,0
38,2.0,Pervavita & Catswiftie,56,64,120,1st,28,8,12,4,Yes,6.0,32,7.5,3rd,0,6.5,1st,3.75,8,3rd,F24_Pod_38,Bruce Banner (MCU),Jentorra,Second attempt,(+9),28.0,1
38,3.0,CK,57,67,124,1st,27,10,7,3,Yes,6.0,33,5.5,5th,0,6.5,1st,3.758,9,2nd,F24_Pod_38,Morbius,Janet van Dyne,First attempt,(+8),26.0,1
38,4.0,GZUZROCKS & DaBomb,74,27,101,1st,26,47,7,4,Yes,6.0,32,7.5,3rd,0,6.5,1st,3.156,6,5th,F24_Pod_38,Doctor Strange (MCU),Bruce Banner (MCU),First attempt,(+7),35.0,0
38,5.0,Mikeygill97,43,54,97,1st,25.5,11,8,5,Yes,6.0,31,9,2nd,0,6.5,1st,3.129,4,7th,F24_Pod_38,"Blade, Daywalker",Ant Army,First attempt,(+6),25.0,0
38,7.0,Narellish & oskar,35,72,107,1st,21,37,9,4,Yes,6.0,34,3.5,7th,0,6.5,1st,3.147,5,6th,F24_Pod_38,Ant Army,Jentorra,First attempt,(+4),25.0,0
38,8.0,JParnell,44,46,90,1st,15.5,2,5,5,Yes,6.0,33,5.5,5th,7,1,10th,2.727,3,8th,F24_Pod_38,Ant Army,Crystal,Second attempt,(+3),22.0,1
38,9.0,loconnole & Klcgolf,41,55,96,1st,11,14,5,2,Yes,6.0,39,2,9th,2,2,9th,2.462,1,10th,F24_Pod_38,Ant-Man (MCU),Ant Army,First attempt,(+2),20.0,0
38,10.0,aitmanga,60,55,115,10th,10.5,5,7,5,No,1.0,43,1,10th,0,6.5,1st,2.674,2,9th,F24_Pod_38,Bruce Banner (MCU),Jentorra,Second attempt,(+1),20.0,0
39,1.0,Pokeloly,48,4,52,1st,30.5,44,6,4,Yes,5.5,23,7.5,3rd,0,8.5,1st,2.261,9,2nd,F24_Pod_39,Groot,Siryn,First attempt,(+10),31.0,0
39,2.0,waxbottle & Mrs. waxbottle,44,23,67,1st,30,21,5,3,Yes,5.5,25,6,5th,0,8.5,1st,2.68,10,1st,F24_Pod_39,Silver Surfer,Shatterstar,First attempt,(+9),28.0,0
39,3.0,OleRockyTop,20,17,37,1st,28,3,3,3,Yes,5.5,19,9,2nd,0,8.5,1st,1.947,5,6th,F24_Pod_39,Rictor,Shatterstar,First attempt,(+8),30.0,0
39,4.0,evilspacecow,26,20,46,1st,27.5,6,2,4,Yes,5.5,23,7.5,3rd,0,8.5,1st,2,6,5th,F24_Pod_39,Siryn,Star-Lord,First attempt,(+7),23.0,0
39,5.0,AntDude & WaspWoman & PowerPupa,19,12,31,1st,21,7,0,3,Yes,5.5,17,10,1st,2,3.5,6th,1.824,2,9th,F24_Pod_39,Rocket Raccoon,Star-Lord,Second attempt,(+6),26.0,0
39,6.0,Astigmatic_oracle,38,37,75,1st,19.5,1,8,2,Yes,5.5,36,2.5,8th,2,3.5,6th,2.083,8,3rd,F24_Pod_39,Mr. Fantastic,Thing,Second attempt,(+5),24.0,0
39,7.0,Handballermann & Efruhuhn,26,28,54,1st,19.5,2,4,2,Yes,5.5,28,4,7th,1,6,5th,1.929,4,7th,F24_Pod_39,Groot,Rocket Raccoon,Second attempt,(+4),26.0,0
39,8.0,owen_meany,37,44,81,1st,17,7,3,2,Yes,5.5,39,1,10th,2,3.5,6th,2.077,7,4th,F24_Pod_39,Human Torch,Silver Surfer,First attempt,(+3),15.0,0
39,9.0,MikiP2023,40,26,66,1st,14.5,14,6,3,Yes,5.5,36,2.5,8th,2,3.5,6th,1.833,3,8th,F24_Pod_39,Siryn,Shatterstar,First attempt,(+2),23.0,0
39,10.0,Jmaster1324,15,19,34,1st,12.5,4,0,2,Yes,5.5,26,5,6th,3,1,10th,1.308,1,10th,F24_Pod_39,Mr. Fantastic,Groot,First attempt,(+1),20.0,0
40,1.0,Bikk Bikk,49,19,68,1st,30.5,30,1,4,Yes,6.0,23,8,3rd,0,6.5,1st,2.957,10,1st,F24_Pod_40,Groot,Spider-Woman,Second attempt,(+10),29.0,0
40,2.0,energythief,37,27,64,1st,30,10,1,4,Yes,6.0,22,9.5,1st,0,6.5,1st,2.909,8,3rd,F24_Pod_40,"Joe Fixit, Grey Hulk",Wolverine (X-Force),First attempt,(+9),27.0,0
40,3.0,Swagolas,29,52,81,1st,24,23,1,5,Yes,6.0,28,4.5,6th,0,6.5,1st,2.893,7,4th,F24_Pod_40,"Joe Fixit, Grey Hulk","Miek, the Unhived",Second attempt,(+8),27.0,0
40,4.0,ItStartsWith1,54,19,73,1st,24,35,2,3,Yes,6.0,25,7,4th,1,2,9th,2.92,9,2nd,F24_Pod_40,"Joe Fixit, Grey Hulk",She-Hulk,First attempt,(+7),24.0,0
40,5.0,Minos_griffin & Phryne,24,33,57,1st,24,9,2,3,Yes,6.0,22,9.5,1st,0,6.5,1st,2.591,2,9th,F24_Pod_40,Domino,Elektra,First attempt,(+6),23.0,0
40,6.0,Mangostrike,42,33,75,1st,23,9,1,4,Yes,6.0,28,4.5,6th,0,6.5,1st,2.679,6,5th,F24_Pod_40,Gamora,Groot,First attempt,(+5),22.0,0
40,7.0,Cobrawarrior521 & Mackirev9,38,33,71,1st,21.5,5,1,2,Yes,6.0,27,6,5th,0,6.5,1st,2.63,3,8th,F24_Pod_40,Black Cat,"Joe Fixit, Grey Hulk",Second attempt,(+4),23.0,0
40,8.0,jorisc3213,40,40,80,1st,20.5,0,2,4,Yes,6.0,30,3,8th,0,6.5,1st,2.667,5,6th,F24_Pod_40,Elektra,Spider-Woman,Second attempt,(+3),20.0,0
40,9.0,sword'n'sorcery,45,50,95,1st,15.5,5,2,3,Yes,6.0,38,2,9th,0,6.5,1st,2.5,1,10th,F24_Pod_40,Spider-Woman,Gamora,Second attempt,(+2),20.0,0
40,10.0,RedRutan,39,40,79,10th,7,1,2,4,No,1.0,30,1,10th,2,1,10th,2.633,4,7th,F24_Pod_40,Punisher,Star-Lord,First attempt,(+1),17.0,0
41,2.0,jpilger,21,55,76,1st,26,34,16,4,Yes,5.5,24,8.5,1st,3,4,4th,3.167,8,2nd,F24_Pod_41,Corvus Glaive,Winter Soldier,Second attempt,(+9),26.0,0
41,6.0,CoreyG,24,51,75,1st,21.5,27,10,3,Yes,5.5,28,7,3rd,3,4,4th,2.679,5,5th,F24_Pod_41,Captain America (Falcon),Hercules,First attempt,(+5),23.0,0
41,7.0,Joebro6616,29,24,53,1st,16.5,5,5,3,Yes,5.5,30,5,5th,3,4,4th,1.767,2,8th,F24_Pod_41,Black Swan,"Captain America, Secret Avenger",First attempt,(+4),20.0,0
41,8.0,WarpedPoodle,51,27,78,1st,14.5,24,13,5,Yes,5.5,36,2,8th,3,4,4th,2.167,3,7th,F24_Pod_41,Captain America (Falcon),"Captain and the Devil, The",First attempt,(+3),20.0,0
41,9.0,Travjon,10,9,19,9th,4,1,5,1,No,1.0,23,1,9th,6,1,9th,0.826,1,9th,F24_Pod_41,Captain America (Falcon),Hercules,First attempt,(+2),18.0,0
42,1.0,Jinjoz,60,40,100,1st,30.5,20,13,5,Yes,5.5,27,10,1st,0,6,1st,3.704,9,2nd,F24_Pod_42,Cyclops,Storm,First attempt,(+10),26.0,0
42,2.0,PragmaticSquid,87,36,123,1st,25,51,19,4,Yes,5.5,33,3.5,7th,0,6,1st,3.727,10,1st,F24_Pod_42,Black Widow (Avengers),Iron Man,Second attempt,(+9),25.0,0
42,3.0,eventhorizon0121,51,19,70,1st,23.5,32,13,3,Yes,5.5,29,8,2nd,0,6,1st,2.414,4,7th,F24_Pod_42,Black Widow (Avengers),Rogue,First attempt,(+8),24.0,0
42,4.0,Ocs333,49,65,114,1st,23,16,17,4,Yes,5.5,33,3.5,7th,0,6,1st,3.455,8,3rd,F24_Pod_42,Gamora,Black Widow (Avengers),First attempt,(+7),27.0,0
42,5.0,Keeblerpowell,46,48,94,1st,22.5,2,23,4,Yes,5.5,32,5,6th,0,6,1st,2.938,6,5th,F24_Pod_42,Rocket Raccoon,Star-Lord,Second attempt,(+6),19.0,0
42,6.0,Chapmaca7,26,64,90,1st,21.5,38,23,4,Yes,5.5,29,8,2nd,1,1,10th,3.103,7,4th,F24_Pod_42,Black Widow (Avengers),Hawkeye,First attempt,(+5),20.0,0
42,7.0,Hendrek,33,38,71,1st,20.5,5,8,5,Yes,5.5,31,6,5th,0,6,1st,2.29,3,8th,F24_Pod_42,Rocket Raccoon,Gamora,First attempt,(+4),20.0,0
42,8.0,BN322,32,29,61,1st,20.5,3,9,3,Yes,5.5,29,8,2nd,0,6,1st,2.103,1,10th,F24_Pod_42,Wolverine (X-Men),Storm,Second attempt,(+3),21.0,0
42,9.0,elongatedman7212,56,41,97,1st,18.5,15,8,3,Yes,5.5,39,2,9th,0,6,1st,2.487,5,6th,F24_Pod_42,Captain America,Wolverine (X-Men),Second attempt,(+2),18.0,0
42,10.0,sethlikespizza,30,56,86,1st,14.5,26,15,5,Yes,5.5,40,1,10th,0,6,1st,2.15,2,9th,F24_Pod_42,Black Widow (Avengers),Storm,First attempt,(+1),17.0,0
43,1.0,Cglied,52,19,71,1st,30,33,1,4,Yes,5.5,26,10,1st,0,5.5,1st,2.731,9,2nd,F24_Pod_43,Domino,Darkhawk,First attempt,(+10),25.0,0
43,2.0,Grey Warden,55,34,89,1st,29.5,21,5,3,Yes,5.5,27,8.5,2nd,0,5.5,1st,3.296,10,1st,F24_Pod_43,Angel,Colossus,First attempt,(+9),24.0,1
43,3.0,jiggliestpuff,57,10,67,1st,24.5,47,2,4,Yes,5.5,27,8.5,2nd,0,5.5,1st,2.481,5,6th,F24_Pod_43,Domino,Darkhawk,First attempt,(+8),23.0,1
43,4.0,Cubbiesnextyr & Wife,36,48,84,1st,23.5,12,2,4,Yes,5.5,31,4.5,6th,0,5.5,1st,2.71,8,3rd,F24_Pod_43,Agent Phil Coulson,Punisher,First attempt,(+7),22.0,6
43,5.0,wingedcrusader,25,45,70,1st,21,20,1,4,Yes,5.5,29,6,5th,0,5.5,1st,2.414,4,7th,F24_Pod_43,She-Hulk,Angel,First attempt,(+6),25.0,2
43,6.0,JB007,16,51,67,1st,21,35,7,2,Yes,5.5,28,7,4th,0,5.5,1st,2.393,3,8th,F24_Pod_43,Wolverine (X-Force),Angel,First attempt,(+5),19.0,0
43,7.0,zombiegamer5,23,61,84,1st,20.5,38,2,2,Yes,5.5,32,2.5,8th,0,5.5,1st,2.625,7,4th,F24_Pod_43,Blade,Punisher,First attempt,(+4),20.0,2
43,8.0,Gideon Wyatt & Mrs. Gideon Wyatt,20,72,92,1st,18,52,0,1,Yes,5.5,37,1,10th,0,5.5,1st,2.486,6,5th,F24_Pod_43,She-Hulk,Darkhawk,First attempt,(+3),18.0,0
43,9.0,SharkNate-O & onthegeniusofsamrockwell,30,38,68,1st,17.5,8,2,4,Yes,5.5,31,4.5,6th,0,5.5,1st,2.194,2,9th,F24_Pod_43,"Joe Fixit, Grey Hulk",Elektra,Second attempt,(+2),14.0,0
43,10.0,Ironclad4521,41,28,69,1st,14.5,13,2,3,Yes,5.5,32,2.5,8th,0,5.5,1st,2.156,1,10th,F24_Pod_43,Daredevil (Marvel Knights),"No-Name, Brood Queen",Second attempt,(+1),15.0,0
44,1.0,brentmcampbell,27,56,83,1st,34.5,29,7,5,Yes,5.5,23,10,1st,2,9,2nd,3.609,10,1st,F24_Pod_44,Wolfsbane,Mr. Fantastic,Second attempt,(+10),24.0,0
44,2.0,DrPolygon,52,32,84,1st,27.5,20,4,4,Yes,5.5,28,6.5,4th,3,7.5,3rd,3,8,3rd,F24_Pod_44,Darkhawk,Quicksilver,Second attempt,(+9),23.0,0
44,3.0,Babybreloom,33,24,57,1st,26,9,6,4,Yes,5.5,25,8.5,2nd,1,10,1st,2.28,2,9th,F24_Pod_44,Speed,Quicksilver,First attempt,(+8),17.0,0
44,4.0,Scootsmagoots1986,65,39,104,1st,22.5,26,9,4,Yes,5.5,31,4,7th,5,4,6th,3.355,9,2nd,F24_Pod_44,Captain Carter,Star-Lord T'Challa,Second attempt,(+7),20.0,0
44,5.0,Greywadejokis,42,26,68,1st,21.5,16,13,4,Yes,5.5,25,8.5,2nd,6,1.5,9th,2.72,6,5th,F24_Pod_44,Apocalyptic Black Widow,Darkhawk,First attempt,(+6),20.0,0
44,6.0,Kb_Driven,48,56,104,1st,21,8,12,3,Yes,5.5,35,1,10th,3,7.5,3rd,2.971,7,4th,F24_Pod_44,Darkhawk,Mr. Fantastic,Second attempt,(+5),20.0,0
44,7.0,coldvein & raja0629,34,45,79,1st,19.5,11,8,4,Yes,5.5,30,5,6th,5,4,6th,2.633,5,6th,F24_Pod_44,Mr. Fantastic,Mirage,First attempt,(+4),17.0,0
44,8.0,thablackknight1,37,45,82,1st,18.5,8,8,5,Yes,5.5,32,3,8th,4,6,5th,2.563,4,7th,F24_Pod_44,Human Torch,Mr. Fantastic,First attempt,(+3),16.0,0
44,9.0,caseystahl1125,58,23,81,1st,14.5,35,3,5,Yes,5.5,33,2,9th,5,4,6th,2.455,3,8th,F24_Pod_44,Darkhawk,Mr. Fantastic,First attempt,(+2),15.0,0
44,10.0,Freeclint,21,33,54,1st,14.5,12,5,3,Yes,5.5,28,6.5,4th,6,1.5,9th,1.929,1,10th,F24_Pod_44,Speed,Quicksilver,First attempt,(+1),8.0,0
45,1.0,ggyppt,29,43,72,1st,34.5,14,5,4,Yes,7.0,25,9,3rd,0,10.5,1st,2.88,8,4th,F24_Pod_45,Bruce Banner (MCU),M,Second attempt,(+11),21.0,0
45,2.0,Lasombra81,46,22,68,1st,34.5,24,2,4,Yes,7.0,24,10,2nd,0,10.5,1st,2.833,7,5th,F24_Pod_45,Invisible Woman,Multiple Man,First attempt,(+10),23.0,0
45,3.0,Drewfusmcge,28,31,59,1st,31.5,3,3,3,Yes,7.0,21,11,1st,1,7.5,3rd,2.81,6,6th,F24_Pod_45,Invisible Woman,Mr. Fantastic,First attempt,(+9),21.0,0
45,4.0,Pyromagnus & shoshielynn,54,37,91,1st,29,17,13,5,Yes,7.0,26,7.5,4th,3,3.5,8th,3.5,11,1st,F24_Pod_45,Doctor Strange (MCU),Stepford Cuckoos,Second attempt,(+8),21.0,0
45,5.0,Dre 2 point 0,74,37,111,1st,27.5,37,25,5,Yes,7.0,36,3,9th,1,7.5,3rd,3.083,10,2nd,F24_Pod_45,Spider-Woman,Thing,First attempt,(+7),20.0,0
45,6.0,Hatephd & Editedmist,40,30,70,1st,27,10,7,5,Yes,7.0,26,7.5,4th,1,7.5,3rd,2.692,5,7th,F24_Pod_45,Thing,Invisible Woman,Second attempt,(+6),18.0,0
45,7.0,canis & Mamabird,68,12,80,1st,25.5,56,7,4,Yes,7.0,27,6,6th,3,3.5,8th,2.963,9,3rd,F24_Pod_45,Captain Marvel (MCU),Invisible Woman,First attempt,(+5),14.0,0
45,8.0,iburnicus,46,24,70,1st,23.5,22,10,2,Yes,7.0,31,5,7th,1,7.5,3rd,2.258,4,8th,F24_Pod_45,Rictor,Siryn,First attempt,(+4),17.0,0
45,9.0,ReyReyPod,30,35,65,1st,15,5,7,5,Yes,7.0,32,4,8th,4,2,10th,2.031,2,10th,F24_Pod_45,Spider-Woman,Mr. Fantastic,First attempt,(+3),10.0,0
45,10.0,jgoodnough and daughter,51,34,85,10th,11.5,17,7,3,No,1.5,41,2,10th,2,5,7th,2.073,3,9th,F24_Pod_45,Invisible Woman,Stepford Cuckoos,First attempt,(+2),7.0,0
45,11.0,Montax30,25,23,48,10th,4.5,2,2,4,No,1.5,30,1,11th,5,1,11th,1.6,1,11th,F24_Pod_45,Moon Knight,Shatterstar,First attempt,(+1),11.0,0
46,1.0,Lukas,80,41,121,1st,29,39,26,5,Yes,5.5,25,8,3rd,0,5.5,1st,4.84,10,1st,F24_Pod_46,Red Guardian,Korg,Second attempt,(+10),41.0,11
46,2.0,R3DJ0N,34,87,121,1st,27,53,22,5,Yes,5.5,26,7,4th,0,5.5,1st,4.654,9,2nd,F24_Pod_46,Hiroim,"Joe Fixit, Grey Hulk",First attempt,(+9),44.0,5
46,3.0,Avataristche,29,69,98,1st,27,40,16,5,Yes,5.5,24,9,2nd,0,5.5,1st,4.083,7,4th,F24_Pod_46,Lady Thor,Man-Thing,First attempt,(+8),46.0,6
46,4.0,Jean-Sébastien & Geneviève,96,17,113,1st,25,79,25,5,Yes,5.5,27,6,5th,0,5.5,1st,4.185,8,3rd,F24_Pod_46,"Namor, the Sub-Mariner",Man-Thing,Second attempt,(+7),44.0,4
46,5.0,Redblock,36,47,83,1st,25,11,14,5,Yes,5.5,21,10,1st,0,5.5,1st,3.952,4,7th,F24_Pod_46,Amadeus Cho,Red Guardian,First attempt,(+6),39.0,5
46,6.0,realdanl,49,71,120,1st,20,22,24,3,Yes,5.5,30,4,7th,0,5.5,1st,4,5,6th,F24_Pod_46,Hiroim,Amadeus Cho,Second attempt,(+5),36.0,6
46,7.0,Snash108,53,80,133,1st,18,27,38,5,Yes,5.5,33,1,10th,0,5.5,1st,4.03,6,5th,F24_Pod_46,Red Guardian,Hiroim,Second attempt,(+4),36.0,3
46,8.0,piplup1112111,56,31,87,1st,17,25,11,5,Yes,5.5,29,5,6th,0,5.5,1st,3,1,10th,F24_Pod_46,Red Guardian,Gladiator Hulk,First attempt,(+3),34.0,7
46,9.0,the.melk.man & Snapcity57,48,70,118,1st,16.5,22,30,2,Yes,5.5,32,2.5,8th,0,5.5,1st,3.688,3,8th,F24_Pod_46,Caiera,"No-Name, Brood Queen",First attempt,(+2),37.0,2
46,10.0,GZUZROCKS & DaBomb,60,40,100,1st,15.5,20,15,4,Yes,5.5,32,2.5,8th,0,5.5,1st,3.125,2,9th,F24_Pod_46,"Namor, the Sub-Mariner",Namora,Second attempt,(+1),36.0,3
47,1.0,Adrian Miller,37,27,64,1st,28,10,3,5,Yes,6.0,22,9.5,1st,0,6.5,1st,2.909,6,5th,F24_Pod_47,Stepford Cuckoos,Mirage,Second attempt,(+10),38.0,0
47,2.0,ChuckBauer,44,48,92,1st,27.5,4,4,4,Yes,6.0,29,6,5th,0,6.5,1st,3.172,9,2nd,F24_Pod_47,Wolfsbane,Mirage,First attempt,(+9),38.0,0
47,3.0,OleRockyTop,35,35,70,1st,27,0,3,3,Yes,6.0,23,7.5,3rd,0,6.5,1st,3.043,7,4th,F24_Pod_47,Iceman,Sunspot,First attempt,(+8),38.0,0
47,4.0,Techfiend,41,17,58,1st,26,24,10,2,Yes,6.0,22,9.5,1st,0,6.5,1st,2.636,4,7th,F24_Pod_47,Apocalyptic Black Widow,Jean Grey,Second attempt,(+7),35.0,0
47,5.0,Off the Cuff & hanoott,56,39,95,1st,25,17,13,3,Yes,6.0,30,4.5,6th,0,6.5,1st,3.167,8,3rd,F24_Pod_47,Jean Grey,Wolfsbane,First attempt,(+6),35.0,0
47,6.0,Bakatora971,44,21,65,1st,25,23,8,4,Yes,6.0,23,7.5,3rd,0,6.5,1st,2.826,5,6th,F24_Pod_47,Mirage,Angel,First attempt,(+5),33.0,0
47,7.0,Pervavita & Catswiftie,99,19,118,1st,24.5,80,34,5,Yes,6.0,36,2,9th,0,6.5,1st,3.278,10,1st,F24_Pod_47,Jean Grey,Wolfsbane,Second attempt,(+4),32.0,0
47,8.0,Pizza (.gaxim) & Extra Cheese (Rolf101),46,27,73,1st,18.5,19,13,4,Yes,6.0,34,3,8th,0,6.5,1st,2.147,3,8th,F24_Pod_47,Jean Grey,Colossus,First attempt,(+3),33.0,0
47,9.0,DRobb & ShadowOfTheBat,25,37,62,1st,14.5,12,5,3,Yes,6.0,30,4.5,6th,2,2,9th,2.067,2,9th,F24_Pod_47,Iceman,Sunspot,Second attempt,(+2),31.0,0
47,10.0,MysticRuby,16,30,46,10th,4,14,3,2,No,1.0,32,1,10th,3,1,10th,1.438,1,10th,F24_Pod_47,Angel,"Uatu, The Watcher",First attempt,(+1),30.0,0
