Pod,Rank,Name_Clean,VP_Pile_1,VP_Pile_2,Total_VP,Win?,Total Rank Points,VP_Diff,Bystanders,Fun_Level,Win_Value,Win_Points,Turns_Value,Turns_Points,Turns_Rank,Escapes_Value,Escapes_Points,Escapes_Rank,PPT_Value,PPT_Points,PPT_Rank,Unique_Pod_ID,Pick 1,Pick 2,Attempt,Points Earned,Total Points,Cards Undercover
14,2,Avataristche,32,71,103,1st,10,39,1,5/5,Yes,2.5,28,1,4th,0,2.5,1st,3.679,4,1st,Sp22_Pod_14,Brainstorm,War Machine,,,,
14,2,AntDude & WaspWoman,17,17,34,1st,10,0,1,5/5,Yes,2.5,22,3,2nd,0,2.5,1st,1.545,2,3rd,Sp22_Pod_14,Rogue,Darkhawk,,,,
14,4,CaptainMetroidica,13,21,34,1st,8,8,3,4/5,Yes,2.5,23,2,3rd,0,2.5,1st,1.478,1,4th,Sp22_Pod_14,Gambit,Rogue,,,,
15,2,Thedaninblack,8,20,28,1st,10.5,12,1,4/5,Yes,2.5,21,2,3rd,0,3,1st,1.333,3,2nd,Sp22_Pod_15,Fantastic Four United,Luke Cage Noir,,,,
15,3,WrightHandMan65,15,3,18,1st,9.5,12,0,3/5,Yes,2.5,15,3,2nd,0,3,1st,1.2,1,4th,Sp22_Pod_15,Groot,M,,,,
15,4,Organous#0462,17,21,38,1st,6.5,4,3,4/5,Yes,2.5,31,1,4th,1,1,4th,1.226,2,3rd,Sp22_Pod_15,Groot,Fantastic Four United,,,,
16,1,Drewfusmcge,43,50,93,1st,14,7,7,5/5,Yes,3.0,28,4,1st,0,3,1st,3.321,4,1st,Sp22_Pod_16,Bishop,She-Hulk,,,,
16,2,Off the Cuff,60,43,103,1st,12,17,8,5/5,Yes,3.0,33,3,2nd,0,3,1st,3.121,3,2nd,Sp22_Pod_16,Bishop,Colossus,,,,
16,3,Redblock,44,48,92,1st,7,4,5,4/5,Yes,3.0,37,2,3rd,2,1,4th,2.486,1,4th,Sp22_Pod_16,Domino,Captain America,,,,
16,3,Mangostrike,39,47,86,4th,7,8,6,4/5,No,1.0,31,1,4th,0,3,1st,2.774,2,3rd,Sp22_Pod_16,Nightcrawler,Wolverine (X-Force),,,,
17,3,MicroDisney0505,36,26,62,1st,10,10,0,5/5,Yes,2.5,21,3.5,1st,1,2,3rd,2.952,2,3rd,Sp22_Pod_17,Dazzler,Lady Thor,,,,
18,2,R3DJ0N#6458,20,34,54,1st,12,14,5,4/5,Yes,2.5,18,3,2nd,1,3.5,1st,3,3,2nd,Sp22_Pod_18,Cyclops,Ruby Summers,,,,
18,3,meimbatman,37,42,79,1st,8.5,5,16,4/5,Yes,2.5,27,2,3rd,4,2,3rd,2.926,2,3rd,Sp22_Pod_18,Cyclops,Rogue,,,,
18,4,iburnicus,51,28,79,1st,5.5,23,25,5/5,Yes,2.5,28,1,4th,6,1,4th,2.821,1,4th,Sp22_Pod_18,Jocasta,Wonder Man,,,,
19,2,zer00verride,35,44,79,1st,11,9,16,4/5,Yes,2.5,26,2,3rd,0,3.5,1st,3.038,3,2nd,Sp22_Pod_19,Domino,Moon Knight,,,,
19,3,MrJTince,49,44,93,1st,9,5,20,4/5,Yes,2.5,35,1,4th,0,3.5,1st,2.657,2,3rd,Sp22_Pod_19,Spider-Woman,Iron Man,,,,
20,1,OllieKitKat/Kylah15,25,87,112,1st,14.5,62,9,5/5,Yes,3.0,27,4,1st,0,3.5,1st,4.148,4,1st,Sp22_Pod_20,Captain America,Adam Warlock,,,,
20,2,CrimsonY#5104,76,51,127,1st,10.5,25,10,4/5,Yes,3.0,41,2,3rd,0,3.5,1st,3.098,2,3rd,Sp22_Pod_20,Darkhawk,War Machine,,,,
20,3,nln_rose,59,37,96,1st,10.5,22,5,4/5,Yes,3.0,28,3,2nd,1,1.5,3rd,3.429,3,2nd,Sp22_Pod_20,She-Hulk,Amadeus Cho,,,,
20,4,Hatephd,36,57,93,4th,4.5,21,1,4/5,No,1.0,45,1,4th,1,1.5,3rd,2.067,1,4th,Sp22_Pod_20,Photon,Quicksilver,,,,
21,1,Hobbes#4833,48,25,73,1st,14.5,23,2,4/5,Yes,2.5,25,4,1st,0,4,1st,2.92,4,1st,Sp22_Pod_21,Deathlok,Quake,,,,
21,2,JParnell,39,31,70,1st,11,8,2,3/5,Yes,2.5,26,2.5,2nd,1,3,2nd,2.692,3,2nd,Sp22_Pod_21,Deathlok,Agent Phil Coulson,,,,
21,3,Astigmatic_Oracle,17,41,58,1st,9,24,0,4/5,Yes,2.5,26,2.5,2nd,2,2,3rd,2.231,2,3rd,Sp22_Pod_21,Quake,Captain America,,,,
21,4,BigB,39,13,52,1st,5.5,26,2,5/5,Yes,2.5,35,1,4th,6,1,4th,1.486,1,4th,Sp22_Pod_21,Deathlok,Hellcat,,,,
22,1,Grey Warden,35,81,116,1st,15,46,35,5/5,Yes,3.0,30,4,1st,0,4,1st,3.867,4,1st,Sp22_Pod_22,Banshee,Jean Grey,,,,
22,2,ClobberinTime & megablueJJ67,42,41,83,1st,12,1,23,4/5,Yes,3.0,33,3,2nd,2,3,2nd,2.515,3,2nd,Sp22_Pod_22,Banshee,Rogue,,,,
22,3,kata124,39,59,98,1st,8,20,25,2/5,Yes,3.0,42,2,3rd,5,1,4th,2.333,2,3rd,Sp22_Pod_22,Banshee,Iceman,,,,
22,4,Jerzin,45,25,70,4th,5,20,10,2/5,No,1.0,43,1,4th,3,2,3rd,1.628,1,4th,Sp22_Pod_22,Banshee,Mirage,,,,
