Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,2,Snash108,25,66,91,1st,Yes (3.5),2nd,30 (4),3rd,1 (3),2nd,3.033 (4),14.5,,41,22,Green Goblin,Medusa,5/5,"Left side was building a deck around Crystal, brought Medusa to bring more draw options and grant full control over the Thrones Favor. Right side built a strong tech/dodge deck. Managed to pick up a couple of copies of Ultron's uncommon early, which allowed me to take in the bystanders!"
,,3,CombatantMoth,61,24,85,1st,Yes (3.5),3rd,31 (3),1st,0 (4.5),3rd,2.742 (3),14,,37,8,Electro,Green Goblin,5/5,"We had a great first game and I got an infinite attack with Electro's Supercharge, but realized we forgot to have the Assault Squad re-enter the city. Luckily the second game went a lot like the first score-wise (we actually did the same or better in every category, except we took 3 more turns). The first time I way outscored my wife, but she turned the tables on me the second game!!"
,,4,Thedaninblack,49,32,81,1st,Yes (3.5),4th,35 (2),4th,3 (2),4th,2.314 (2),9.5,,17,3,Dr. Octopus,Green Goblin,4/5,Belasco was a Beast. Surprisingly Gorgon was MVP because Ultron’s rare appeared under the Rooftops so I could consistently use Gorgon’s Uncommons and Rare to get +5///. Doc Ock and Goblin just kept the decks moving with card draw and the invaluable Dodge on Goblin Glider which allows you to Dodge Starters. The left hand was able to get all the heavy hitting Gorgons out pretty consistently.
,,5,Dre 2 point 0,4,8,12,5th,No (1),5th,23 (1),5th,6 (1),5th,0.522 (1),4,,4,0,Dr. Octopus,Green Goblin,1/5,"Both of my games were so similar, it came down to deciding if I wanted to submit the game with 2 more VP or the game with 2 more bystanders rescued; everything else was the exact same! Either way, I did not enjoy playing this one. Belasco just kept KOing the Heroes I'd just recruited! Jerk!"
,,-,Adrian Miller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,The Sentry Invades the Daily Bugle News HQ,1,Avataristche,13,45,58,1st,Yes (3.5),1st,18 (6),1st,0 (4.5),2nd,3.222 (5),19,,32,2,Bishop,Namora,5/5,"So much ko power! My ko pile was 32 cards at the end. 18 atk wiffed at the last turn because everything was dead. Karmimc Balance revealing Ice Armor (which i recruit, which koes a grey, which gives recruit back from Bishops) appears to be a perfectly balanced move ^^"
,,2,Cerberin,32,48,80,1st,Yes (3.5),3rd,23 (4),1st,0 (4.5),1st,3.478 (6),18,,16,2,Professor X,Punisher,4/5,Iceman was ridiculously good in this game! With the help of Prof. X he defeated Sentry 4 out of 5 times! On the other side Moon Knight + Punisher made a good combo that KOd all wounds gained and draw the needed cards in the exact moment. Punisher's rare has shown early in the game and made it possible to clear the city and the HQ (from the Goons) quite easy. Only Karma didn't show frequent enough to make it a viable option. It was a fun setup!
,,3,Redblock,57,9,66,1st,Yes (3.5),2nd,21 (5),6th,2 (1),3rd,3.143 (4),13.5,,48,21,Jean Grey,Bishop,5/5,Iceman + Jean Greys Rare is stuff the dreams are made of
,,4,Mangostrike,41,66,107,1st,Yes (3.5),6th,40 (1),1st,0 (4.5),4th,2.675 (3),12,,25,20,Bishop,Jean Grey,5/5,"Stuck choosing between 107vp/40turns/0esc/20bystanders and 77vp/32turns/4esc/4bystanders rescued.

Had so much fun with this, but throwing down 4 ranged X-Men with Bishop and Iceman leads to quite a fun match. Couldn’t dump wounds well in the first game and ran out of recruits due to feast, which left me with few options on my main hand, but Bishop really pulled his weight in both games. 

Moonlight was basically ignored and only mattered against Blackheart. Interested to see if everyone chased iceman or if others went with Forge and tech heroes."
,,5,ChuckBau3r,39,48,87,1st,Yes (3.5),5th,34 (2),1st,0 (4.5),5th,2.559 (2),12,,9,3,"Miek, the Unhived",Professor X,3/5,Had a Ranged/X Men side on the left with Iceman and Professor X. Other side was an Instinct side focused around Miek and Moon Knight. Managed to pick up 3 of the 5 rares(all in the right) and punched Sentry 3 times on the final turn!! Hopefully I did it quickly enough...
,,6,JParnell,39,36,75,1st,Yes (3.5),4th,31 (3),5th,1 (2),6th,2.419 (1),9.5,,3,3,Amadeus Cho,Bishop,4/5,"Despite playing two games, my total VP, turns, and winning the game were *identical* for both. I submitted the one that had an additional bystander and a much closer VP between sides (the other was 30 and 45). Very weird, but at least I'm consistent?"
26,Exodus & the Beyonder: Dark Alliance!,1,EnigmaDrake,76,58,134,1st,Yes (3.5),1st,28 (5),4th,2 (1.5),1st,4.786 (5),15,,18,14,Silver Surfer,Captain Marvel,5/5,"Had to fight both masterminds at full strength, but pulled it off, shatter was essential!"
,,2,Darova,77,34,111,1st,Yes (3.5),2nd,33 (4),2nd,1 (3.5),4th,3.364 (2),13,,43,12,Mr. Fantastic,Captain Marvel,4/5,"Very hard game, and not much synergy between heroes. We were very lucky defeating the second mastermind before he got all his twists"
,,3,yeeches,87,58,145,1st,Yes (3.5),3rd,34 (3),4th,2 (1.5),2nd,4.265 (4),12,,29,15,Lady Thor,Captain Marvel,4/5,"Very challenging and pretty fun! I managed to get most of M's cards very quickly by cloning and built a mostly 3-cost side with Lady Thor and Captain Marvel working off of green synergy, lots of draw, and multiclass combos. Strange and Shatterstar were a dream with all their ranged and instinct, having a few 'Trust Me, I'm a Doctor' cards worked really well. A whole new respect for M, the wound mitigation alone was perfect!"
,,4,CaptainMetroidica,65,79,144,1st,Yes (3.5),4th,39 (2),2nd,1 (3.5),3rd,3.692 (3),12,,14,15,Rictor,Warpath,4/5,"I went in with a very negative attitude, those are two tough masterminds! Then I got hit with 6 scheme twists in the first 14 turns. From that point on the game could have ended at any point. One scheme twist and I was done. Luckily, the last two were at the bottom of the deck and I won on the last possible turn. A roller coaster of emotions for sure."
,,5,Drewfusmcge,63,56,119,5th,No (1),5th,41 (1),1st,0 (5),5th,2.902 (1),8,,7,15,Mr. Fantastic,Stepford Cuckoos,2/5,"Yeah I was pretty certain I wouldn't have been able to win. If I had focused more recruit on my M/Stepford Cuckoos/Mr. Fantastic side, I maybe could have done it (Exodus was an issue). Dr. Strange and Shatterstar did amazing together though! In my second game I got to hit Beyonder for 0 attack because of all the 5+ cards I played. This lead to 3 mastermind hits in one turn! I ended up losing that game anyway though because the scheme twists came out faster. Oh well! Made it to week four in both tournaments, so I'm happy with my performance! This setup certainly is winnable. But jeez."
,,-,Ths_coconutgamer & Ths_mjsmith,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
