Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,6,(+4),41,3141592ab,52,25,77,1st,Yes (6),4th,31 (6),9th,2 (1),5th,2.484 (5),18,,27,7,0,2,2,3,1,0,0,8,M,The Vishanti,M,The Vishanti,Second attempt,3,"I went for M and vishanti thinking I would lean into the wounds in the setup. Turns out if you never buy the cards that get rid of wounds, they clog up your deck pretty badly. First game was a loss despite an early Colossus rare due to some really unlucky demonic bargains discarding him instead of letting me draw him. Both games had several early twists making most of the city very difficult to fight at any stage of the game. I had to make many risky bargains and take many early wounds to keep it clear and even that wasn't enough.",
,,7,(+3),40,Narellish & Ooskarr,45,36,81,1st,Yes (6),7th,37 (3),8th,1 (2),7th,2.189 (3),14,,9,5,0,0,2,0,2,0,0,4,Invisible Woman,Iceman,Iceman,Invisible Woman,Second attempt,4,"We had unlucky draws, 4 twists in 11 turns was hard. Plus both times our thinning the deck cards didn't show. But we had fun and enjoyed it and the whole tournament. Thanks for all you do.",
,,8,(+2),40,NukinFoobs & N3m3sis,40,24,64,8th,No (1.5),8th,38 (2),1st,0 (6),9th,1.684 (1),10.5,,16,3,1,0,0,1,0,0,0,1,M,Thing,Bishop,Silver Surfer,Second attempt,3,This setup seems very simple yet was very tough. Ended up losing both games but lasted longer and had better points per turn on game 2. The scheme twists really ramp up the difficulty when trying to fight very quickly even with being able to use a combo of recruit and attack. Enjoyed the tournament as always and will be waiting eagerly for the next one!,
,,9,(+1),37,Dashburn,22,36,58,8th,No (1.5),9th,34 (1),1st,0 (6),8th,1.706 (2),10.5,,14,6,0,0,0,4,1,0,0,5,Angel,Iron Fist,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Hit scheme twists early that made clearing villains difficult. Wish I had time for a second run.,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Mystical Magical Murder Machine,1,(+9),44,jiggliestpuff,23,31,54,1st,Yes (5),1st,20 (9),1st,0 (5.5),4th,2.7 (6),25.5,,8,1,0,3,6,14,5,1,0,29,Marrow,Fantomex,Fantomex,Marrow,Second attempt,4,"Went all in on Berserk and Weapon X Sequence, and in the second game getting a few easy early draws from the villain deck helped me get set up nicely. Ultron didn't get empowered very much, either. The Darkhold scheme was a fun choice to work in recruit options to an attack-heavy deck.",
,,2,(+8),43,Tex-pa & Grate,56,18,74,1st,Yes (5),4th,25 (6),1st,0 (5.5),2nd,2.96 (8),24.5,,38,2,0,5,6,3,3,1,1,19,Marrow,Thor (Heroes of Asgard),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,We were able to get to Ultron before he was empowered and before any Master Strikes were played.  Player 1 made good work with being worthy and weapons sequence.  THANK YOU!!!,
,,3,(+7),42,VenomousDisease,38,39,77,1st,Yes (5),5th,27 (5),1st,0 (5.5),3rd,2.852 (7),22.5,,1,2,0,4,6,6,6,1,0,23,Thor (Heroes of Asgard),Fantomex,Thor (Heroes of Asgard),Fantomex,Second attempt,4,"Game one really focused on the power of Fantomex and the Weapon X Sequence to provide enough attack early to deal with the city and hit Ultron Infinity. The Lady Sif and Thor deck got off to a slow start and never really recovered.

Game two however, the Fantomex and Weapon X deck went through a berserk engine that really pushed itself over the top and Hand 2 was able to get the Thor rare early to really push it over the top. The combo of Lady Sif drawing two when Weapon X got wounded really provided synergy between the two decks. ",
,,4,(+6),39,prestoja2,21,42,63,1st,Yes (5),3rd,24 (7),1st,0 (5.5),5th,2.625 (5),22.5,,21,1,0,1,5,12,4,1,0,23,Party Thor,Thor (Heroes of Asgard),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Massive berserking on my side and massive purchasing on my brothers side completely wiped out Ultron infinity. Good thing too, because three turns later he would have turned infinity.",
,,5,(+5),40,Cglied & Poulanc,36,53,89,1st,Yes (5),8th,30 (2),1st,0 (5.5),1st,2.967 (9),21.5,,17,10,0,2,5,4,5,0,0,16,Apocalyptic Black Widow,"Killmonger, Spec Ops",Beta Ray Bill,Thor (Heroes of Asgard),First attempt,3,"At first this seemed like a not particularly fun setup. Ulton Infinity can be really annoying if those Master Strikes come out super early and the base heroes are not among our favorites. That being said, we were pleasantly surprised with how it went. We enjoyed the in-game strategy of which villains to attack and when to make sure we were covered on future Scheme Twists. Thanks for the great tournament!",
,,6,(+4),39,Mangostrike,29,16,45,1st,Yes (5),2nd,23 (8),1st,0 (5.5),9th,1.957 (1),19.5,,13,1,0,2,7,14,4,0,0,27,Venom (Venomverse),Thor (Heroes of Asgard),Thor (Heroes of Asgard),Venom (Venomverse),First attempt,4,.,
,,7,(+3),39,Jdub,37,20,57,1st,Yes (5),6th,29 (3.5),1st,0 (5.5),8th,1.966 (2),16,,17,1,0,2,3,11,4,1,0,21,Thor (Heroes of Asgard),"Gamora, Destroyer of Thanos","Gamora, Destroyer of Thanos",Star-Lord T'Challa,Second attempt,4,Man I got killed in the first game. Thor was not the answer. Once I made the switch of heros it was a much better game.,
,,8,(+2),37,Bn322,35,34,69,1st,Yes (5),9th,33 (1),1st,0 (5.5),7th,2.091 (3),14.5,,1,2,0,2,3,5,3,0,0,13,Fantomex,Marrow,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I ran out of time this week for a second attempt so I only got once try. Thank you for running a great tournament.,
