Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,,
,,4,(+7),33,jpilger,66,42,108,1st,Yes (5),7th,40 (2),1st,0 (7.5),4th,2.7 (5),19.5,,24,4,18,0,1,0,0,0,0,1,Ghost Rider,Punisher,Ghost Rider,Punisher,Second attempt,5,"A nail-biter down to the last card in the villain deck.  I won quicker my first game, but with a lot of escaped villains and not nearly as many undercover points.  I really liked playing all the SHIELD heroes together.  Fun setup and very thematic.  I chose Ghost Rider and Punisher from Dark City because Ghost Rider was in a season of Agents of Shield, and Punisher just fit better thematically than the other MK heroes from Dark City.",,,
,,5,(+6),32,AntDude & WaspWoman & PowerPupa,58,21,79,1st,Yes (5),2nd,29 (7),7th,3 (1.5),3rd,2.724 (6),19.5,,37,1,10,2,2,3,3,2,0,12,Iceman,Tigra,Iceman,Tigra,First attempt,4,"So much SHIELD! This one escalated quickly and I had some early escapes, but things settled in nicely once SHIELD levels hit their targets. Headlok and Battle Staves delivered their extra cards, and Iceman and Quake had some nice range synergy. Iceman's rare was the story in the game as it allowed for enough attack to clear SHIELD villains from the city and allow for double SHIELD clearance for the Maria hit. Whole family's been super busy, so these games were all AntDude.",,,
,,6,(+5),31,dontfeedthegreen,38,36,74,1st,Yes (5),3rd,30 (6),3rd,1 (5),7th,2.467 (2),18,,2,1,5,1,1,2,6,1,0,11,Bishop,Forge,Bishop,Ant-Man (Ant-Man),First attempt,4,"Tough match. Had a decent game 1 with Forge, despite losing BFG to the Scheme. Switched to Ant-Man for game 2, which I think was better, despite being diluted by the HQ, but I just got a tougher shuffle and couldn’t get any of the KO/Undercover combos going early enough, so that game ended slower with more escapes, and annoyingly with substantially more VP. Still, I’ll trade that for doing better on speed and escapes and submit match 1.",,,
,,7,(+4),30,jdub,35,48,83,1st,Yes (5),5th,34 (4),3rd,1 (5),8th,2.441 (1),15,,13,2,8,0,1,2,2,1,0,6,Jocasta,Forge,Jocasta,Forge,First attempt,3,"I enjoyed this game but I felt it got a little repetitive. The interaction between all the Shield characters was a lot of fun. Jocasta fit in really nice, I do wish I had seen some more of Forges cards but that is what happens. This was a hard decision for me to decide which game to take. One had less turns but more villains escape and less overall points earned but a higher points per turn average. While the other one had less villains escape and a few more turns.",,,
,,8,(+3),30,Buya & DSCern,39,31,70,8th,No (1),8th,28 (1),7th,3 (1.5),6th,2.5 (3),6.5,,8,2,17,2,1,6,4,0,0,13,Stature,Ant-Man (Ant-Man),Stature,Ant-Man (Ant-Man),Second attempt,4,"A challenging setup that we had trouble with, mainly with the Villain escapes leading to spots in the HQ getting destroyed. We figured we could only have 1 escape to survive until the 8th twist in this setup, but Maria and her officers were intent on getting out of the city. Ugh she's a frustrating Mastermind. If we could've gotten to 1 more Twist I think we would've pulled out a Victory, but that was not in the cards for us this time.",,,
,,9,(+2),29,energythief,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,,10,(+1),27,Jinjoz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
49,"Striker, No Striking!",1,(+10),35,Tozar,20,19,39,1st,Yes (4.5),1st,13 (8),1st,0 (4.5),1st,3 (8),25,,1,1,0,4,5,14,5,0,0,28,"Peter Parker, Homecoming",White Wolf,"Peter Parker, Homecoming",White Wolf,Second attempt,5,"Hitting Adrian Toomes as much as possible before getting Master Strikes, made both of my games fast.  Maximizing usage of Danger Sense helped keep the Master Strikes in the Villain Deck.  I chose the faster of my two games at the expense of a bit of ppt.  We'll see if it pays off or not.",,,
,,2,(+9),34,Narellish & oskar,32,44,76,1st,Yes (4.5),5th,26 (4),1st,0 (4.5),2nd,2.923 (7),20,,12,4,0,1,3,7,4,0,0,15,Brainstorm,Fantastic Four United,Brainstorm,Fantastic Four United,First attempt,5,"For us the hero choice was a difficult one this week. No obvious standouts but a few which might have worked out. We ended up going with Fantastic Four United for the focus strategy and Brainstorm to pair with Princess Shuri. We were hoping to play a real fast and furious game to prevent having too many masterminds, but the hero deck was not in our favour. Princess Shuri hid in the deck for both our games. So did the rares for our first game - which was our best. We were surprised how much we ended up using Happy Hogan - especially for his Co-ordinate. This tournament is great for being given heroes which we haven't used much before or for a few years. We loved how you paired the villains to the mastermind to make it extra challenging. After our first game we were a bit more disappointed that we hadn't won quicker but then our second game took us 5 turns longer so we are hoping 26 turns wasn't as slow as it felt.",,,
,,3,(+8),33,PragmaticSquid,30,41,71,1st,Yes (4.5),4th,25 (5),1st,0 (4.5),3rd,2.84 (6),20,,11,4,0,2,5,7,1,1,0,16,Fantastic Four United,"Killmonger, Spec Ops",Fantastic Four United,"Killmonger, Spec Ops",Second attempt,5,"What a great excuse to break out more Homecoming - don't often play that set and it took me a full game to game the solo mechanics of coordinate.  Great time using Happy and Psi-Lord to go scheme hunting.  With the ascending masterminds, really added the jeopardy!",,,
