Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
28,Fly the Sinister Skies,1,(+10),24,Mangostrike,37,38,75,1st,Yes (5.5),2nd,22 (9),1st,0 (6.5),3rd,3.409 (8),29,,1,10,3,2,8,4,1,0,18,Nightcrawler,Silver Surfer,Wolverine (X-Force),Scarlet Spider,Second attempt,5,"Nightcrawler/Silver Surfer didn't work out the first game, so I switched to Wolverine/Scarlet Spider. Might not have been their fault as I drew 7 twists in the first 20 turns! Logan and Kaine pulled their weight and then some. Had a couple turns of Kaine's rare coming up and getting to draft some cheap Wall Crawl heroes to immediately play. Even brought two of Terrax down to 0 Attack on the same turn. The other hand was drawing constantly with Wolverine dropping 6+ attack almost every turn from just a couple cards. Very happy with how this turned out and was really able to get behind the theme!",,
,,2,(+9),23,AntDude & WaspWoman,63,4,67,1st,Yes (5.5),1st,21 (10),1st,0 (6.5),5th,3.19 (6),28,,59,13,1,7,9,3,0,0,20,Wolverine (X-Force),Iron Fist,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"The reverse BagelShuffle helped a lot as the top 21 cards contained only 1 scheme twist. X-Force Wolvie, Symbiote Spidey, and Elektra carried the team for AntDude with WaspWoman struggling to get traction with Mockingbird and Iron Fist. never saw Torch. A nice setup, but Spider decks do seem like a little too much cheese for a really enjoyable game sometimes.",,
,,3,(+8),22,WingedCrusader,27,49,76,1st,Yes (5.5),3rd,23 (7.5),1st,0 (6.5),4th,3.304 (7),26.5,,22,13,3,3,6,5,1,0,18,Colossus,Bishop,Colossus,Bishop,First attempt,5,"we had a great time playing with the heroes! I had a pretty sick colossus human torch wounds deck, managed to get colossus rare, and my friend had an insane elektra symbiote deck sprinkled with mockingjay and bishop 2 cost. He got both electra and symbiote uncommon in one turn which was nuts!",,
,,4,(+7),21,Ocs333,72,37,109,1st,Yes (5.5),8th,31 (2.5),1st,0 (6.5),1st,3.516 (10),24.5,,35,12,1,2,4,2,1,0,10,Agent Phil Coulson,Nightcrawler,Agent Phil Coulson,Nightcrawler,First attempt,5,"I went in thinking that PC and NC will both help in: a) having red card in hand, b) having more than 6 cards in hand when Sinister strikes. Also did the math for the scheme (that is if after first 4 twists you only KO two non-grey heroes, you are good until twist 8). It worked quite well in first game, with Mockingbird also producing lots of extra VP. Also Morg Villain helped keeping the HQ yellow/red mostly. Still there were some hickups, could have been bit faster in building up enough damage. Second game was bit faster (27 turns), but only 3 VP/turn average. It's not trivial choice. In both games, my second hand (SSpiderman+Elektra) had less time to shine, due to slower buildup. Second game Coulson, Mockingbird and Maggia Goons helped in getting rid of all 12 starting cards by the last turn (basically losing one card each turn!). So it was fun and interesting.",,
,,5,(+6),20,Zer00verride,50,23,73,1st,Yes (5.5),3rd,23 (7.5),1st,0 (6.5),6th,3.174 (5),24.5,,27,11,1,4,8,4,1,0,18,Invisible Woman,Mr. Fantastic,Invisible Woman,Mr. Fantastic,First attempt,3,"There were so many options with hero's on this setup, it's almost impossible to decide if I made the correct choice. Electro and symbiote spider both lend themselves to a low cost deck. Mockingbird suggests shield level and access to the fantastic four is always beneficial. In the end decided that invisible woman and Mr Fantastic were just too good to resist.",,
,,6,(+5),19,coldvein & raja,78,34,112,1st,Yes (5.5),10th,32 (1),1st,0 (6.5),2nd,3.5 (9),22,,44,23,2,3,2,2,0,0,9,Angel,Wolverine (X-Force),Angel,Wolverine (X-Force),First attempt,5,Great combination of characters.  Mastermind was enough of a challenge.,,
,,7,(+4),18,Iceman & Spooderman,69,25,94,1st,Yes (5.5),7th,30 (4),1st,0 (6.5),7th,3.133 (4),20,,44,14,2,1,6,2,0,0,11,Jean Grey,Invisible Woman,Jean Grey,Invisible Woman,Second attempt,5,"The first attempt had a better showing for Jean and her gross bystander engine. The second attempt got wrecked by twists 5-7 and KOed 3 rares. Luckily, the elektra-symbiote deck carried early and often for the win. Only KOed 17/18 non grey",,
,,8,(+3),16,Organous,32,52,84,1st,Yes (5.5),6th,27 (5),1st,0 (6.5),9th,3.111 (2),19,,20,10,1,1,9,3,0,0,14,Punisher,Deathlok,Punisher,Deathlok,Second attempt,3,"The non-spider deck initially had a bad time, constantly needing to get recruiters and wasting stars while doing so. This eventually led to getting ultimate Elektra, Mockingbird, & Human Torch.",,
,,9,(+2),16,mrdollar11 & TheSquishyFish,13,62,75,1st,Yes (5.5),5th,24 (6),9th,2 (1.5),8th,3.125 (3),16,,49,12,1,3,6,5,2,0,17,Iceman,Quake,Iceman,Quake,First attempt,3,Symbiote Spider-Man and Elektra was a deadly combo that hit the mastermind for the first time on like turn 6. Sadly Mockingbird took way too long to get moving.,,
,,10,(+1),15,Allman,50,23,73,1st,Yes (5.5),8th,31 (2.5),9th,2 (1.5),10th,2.355 (1),10.5,,27,12,0,2,6,2,0,0,10,Iceman,Silver Surfer,Iceman,Quake,First attempt,5,Cool hydra hunting my heros'  2 pointer recuit🤣,,
