Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,2,(+9),26,Redblock,42,25,67,1st,Yes (5.5),1st,21 (10),1st,0 (6),3rd,3.19 (8),29.5,,17,11,0,3,3,10,6,1,0,23,Viv Vision,Warlock,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"After few tournaments you learn to expect obligatory Deadlands stage, and you learn the mantra ""put bystanders on top of pile to cover zombies"" and Viv Vision is very good at putting bystanders",
,,3,(+8),24,Narellish & Ooskarr,57,33,90,1st,Yes (5.5),3rd,27 (7.5),1st,0 (6),1st,3.333 (10),29,,24,15,0,1,4,6,4,2,0,17,Ms. Marvel,Apocalyptic Kitty Pryde,Ms. Marvel,Apocalyptic Kitty Pryde,First attempt,5,"We both had fun with this set up. Ms Marvel did us well in the first game though the villain deck didn't. In our 2nd game, another win with only one more turn taken, we didn't see her as much. We weren't such a fan of Karnak though. Great set up thanks.",
,,4,(+7),23,CoreyG,47,34,81,1st,Yes (5.5),3rd,27 (7.5),1st,0 (6),5th,3 (6),25,,13,9,0,3,5,6,2,1,0,17,Ms. Marvel,Nova (Champions),Ms. Marvel,Nova (Champions),First attempt,4,"Fun setup! The setup heroes gave a good avenue for managing Zombie Green Goblin (Wolfsbane managing the HQ), and I felt good about my hero selections to manage other parts of the setup. I prioritized heroes which could rescue Bystanders to manage Rise of the Living Dead and heroes with low printed attack to manage Abomination. My hero choices of Ms. Marvel and Nova were great for those goals! This setup proved to be a great one for showcasing the fun and power of the Champions expansion - one which I was excited to play as I had not done much of previously. Ms. Marvel was an all-star! Cheering Crowds was a fun and unique way to get utility from the Bystanders which protected me from Rise earlier in the game. Ms. Marvel is now solidly one of my favorite heroes in the game. My first time playing Wolfsbane, and it really impressed me as well. Satisfying and clever setup that rewarded good hero selections to manage some otherwise intimidating Villain Groups.",
,,5,(+6),22,3141592ab,62,29,91,1st,Yes (5.5),6th,29 (5),1st,0 (6),4th,3.138 (7),23.5,,33,11,0,4,3,5,2,1,0,15,Ms. Marvel,Nova (Champions),Ms. Marvel,Nova (Champions),Second attempt,5,Decided to go all in on champions for the bystanders to bury the RotLD. Surprise MVP was Karnak for his uncommon regularly giving 4+ attack. LVP goes to Nova for getting his rare KOd twice as the only rare KO. Also using wolfsbane and the inhuman rebellion to keep rares out of the HQ when I wasn't about to imminently recruit them.,
,,6,(+5),22,Minos_Griffin & Phryne,55,35,90,1st,Yes (5.5),7th,31 (3.5),1st,0 (6),6th,2.903 (5),20,,20,15,0,0,6,3,3,1,0,13,Ms. Marvel,Viv Vision,Ms. Marvel,Viv Vision,First attempt,4,"I have never played this scheme before. Was really fun, Zombie GG could be really annoying depending on your hero deck. We had two really different games but more lucky on the first one. My heroes selection were more defensive and that made a game to be too long but at least kept the city easy to control.",
,,7,(+4),20,Crd1680 & NicDay19,40,34,74,1st,Yes (5.5),5th,28 (6),1st,0 (6),9th,2.643 (2),19.5,,6,7,0,3,5,5,3,0,0,16,Maximus,Apocalyptic Kitty Pryde,Apocalyptic Kitty Pryde,Maximus,Second attempt,5,"We were able to get Karnak's rare REALLY early, and were able to hit mastermind every few turns.  First attempt was brutal, getting Living Deaded to death.",
,,8,(+3),19,Babybreloom,39,43,82,1st,Yes (5.5),7th,31 (3.5),1st,0 (6),8th,2.645 (3),18,,4,10,0,1,5,5,2,0,0,13,Apocalyptic Kitty Pryde,Maximus,Apocalyptic Kitty Pryde,Maximus,First attempt,5,"I really loved this setup! It took me a long time to settle on the strategy I wanted to pursue; for a while I was pursuing Green Heroes trying to make a Hulk thing work, or I wanted to see if I could use the color variety to make Crystal happen, but I the tried and true APK+Maximus combo looked really good here and I couldn't turn it down. Maximus Maximused and APK popped off in combination with Karnak on the other side and man I just had a blast with it. I was pleasantly surprised by how Karnak worked, I've overlooked him before and I'm excited to try him more often now!",
,,9,(+2),19,Astigmatic_Oracle,46,35,81,1st,Yes (5.5),9th,33 (2),1st,0 (6),10th,2.455 (1),14.5,,11,5,0,1,2,5,2,1,0,11,Proxima Midnight,Nova (Champions),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,This is one of my favorite schemes just for the flavor. Karnak was an mvp per usual when he shows up. I think my cleverest play was using the Unspokens ambush to put Karnaks rare on the bottom of the hero deck when I knew i couldn't recruit it any time soon.,
,,10,(+1),17,Jinjoz,49,45,94,1st,Yes (5.5),10th,34 (1),10th,1 (1),7th,2.765 (4),11.5,,4,7,0,1,3,4,2,0,0,10,"Namor, the Sub-Mariner",Ms. Marvel,"Namor, the Sub-Mariner",Ms. Marvel,First attempt,3,"Game was fine, My second game actually felt better but I lost by just drawing too many Scheme Twsits",
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
