Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,2,Astigmatic_Oracle,68,21,89,1st,Yes (6.5),2nd,35 (6),6th,3 (1.5),2nd,2.543 (6),20,,47,7,Rictor,Iceman,Rictor,Iceman,First attempt,3,3/5,"Went all in on Ranged, which worked first attempt but wasn't fast enough on the second try. I had one hand Ranged/Instinct and the other Ranged/Strength. Rictor and Shatterstar are obviously great together, but Rictor better watch out because Thor might steal his boyfriend. Asgard Thor's focus on Worthy worked perfectly with Shatterstar's 5 cost focus."
,,3,Off the Cuff,12,21,33,3rd,No (3),4th,27 (4),1st,0 (6),5th,1.222 (3),16,,9,1,Iceman,Warpath,Iceman,Warpath,Second attempt,1,1/5,"I'm certain the only way you win this setup is by getting unbelievably lucky. Assuming the City is empty, any Villain who enters the City on a Twist is worth at least 6 Attack. Any of them. So you're automatically going to fail the last two Twists that come up. The only way you win this game is by getting insanely lucky with the first 7 Twists, and you can't even rush Apocalypse since keeping the City clear avoids the loss condition. This is why I hate fighting Apocalypse. Not even because of him, but the Four Horsemen get an insane buff beyond already-debilitating Fight effects. Easily my least favourite Mastermind in the game, I have no idea why he isn't worth 7VP."
,,4,Snatchcat,27,31,58,3rd,No (3),3rd,35 (5),6th,3 (1.5),3rd,1.657 (5),14.5,,4,8,Bishop,Rictor,Beta Ray Bill,Rictor,Second attempt,3,3/5,"The attack bonuses on the Four Horsemen and Dark Avengers make it really tough to avoid the Guardians being defeated by the Scheme. My decks starting hitting a bit of a stride near the end, but I was already on the edge of defeat. With a cleared city, any Villain that re-entered was going to defeat my final Guardian."
,,5,GZUZROCKS & MyBestPardner,11,20,31,3rd,No (3),6th,25 (2),4th,1 (3.5),4th,1.24 (4),12.5,,9,0,Valkyrie,Rictor,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,"Apocalypse combined with sentinel ONE and beefy dark avengers!? POW! BAM! BOOM!….TO MY FACE! lol. We just couldn’t get a handle over these tough villains in the city and lost to the scheme. Cool and cruel scenario. If you want a spanking, play this. :)"
,,6,Mangostrike,17,3,20,3rd,No (3),7th,19 (1),1st,0 (6),6th,1.053 (2),12,,14,0,Iceman,Rictor,Iceman,Rictor,First attempt,2,2/5,"Thought I was good with Iceman, but he just moved way too slow."
,,7,AdvSwaY,9,15,24,3rd,No (3),5th,26 (3),4th,1 (3.5),7th,0.923 (1),10.5,,6,0,Rictor,Bishop,Rictor,Bishop,Second attempt,3,3/5,villains were way too strong and defeated the guardian every time.
E9,Red Skull Floods the Planet with Melted Glaciers,1,CGlied,30,8,38,1st,Yes (3),1st,13 (5),1st,0 (4),2nd,2.923 (4),16,,22,0,Nick Fury,Iron Man,Nick Fury,Iron Man,First attempt,3,3/5,"Felt that speed would be key on this one as high VP would be offset by too many turns. Not sure if that turned out to be the case. At 13 turns didn't get much of a chance to optimize or get the engine going, just a couple big hits to wrap it up."
,,2,Coldvein & Raja0629,13,30,43,1st,Yes (3),2nd,21 (4),1st,0 (4),5th,2.048 (1),12,,17,1,Emma Frost,Spider-Man,Emma Frost,Spider-Man,First attempt,4,4/5,"Easy but, fun."
,,3,jgoodnough,19,30,49,1st,Yes (3),3rd,22 (2.5),1st,0 (4),4th,2.227 (2),11.5,,11,1,Deadpool (Unaffiliated),Silver Surfer,Deadpool (Unaffiliated),Silver Surfer,First attempt,4,4/5,lots of fun
,,4,Pervavita & CatSwiftie,43,38,81,1st,Yes (3),5th,24 (1),4th,1 (1.5),1st,3.375 (5),10.5,,5,7,Emma Frost,Invisible Woman,Emma Frost,Invisible Woman,First attempt,4,4/5,Fun setup just bad luck on our hands early not coming together
,,5,MicroDisney0505,29,33,62,1st,Yes (3),3rd,22 (2.5),4th,1 (1.5),3rd,2.818 (3),10,,4,7,Spider-Man,Silver Surfer,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,I took an early gamble fighting the endless armies of Hydra.  The next few turns I didn't have enough attack and this lead to the escape.
