Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
,,3,(+8),8,Aaron4DotOh,42,36,78,1st,Yes (4.5),2nd,26 (6),1st,0 (5.5),4th,3 (4),20,,6,15,3,8,5,2,0,0,18,Doctor Doom 2099,Spider-Man 2099,Morbius,Werewolf by Night,Second attempt,4,First attempt was baaaaaad. Got a bad shuffle with twists at the top. Tried to build up a cyber-mod engine by adding Doom and Spidey but I couldn’t trigger it fast enough. Got beat in 19 turns. Second attempt was far better. Went heavy artillery by choosing Werewolf by Night and Morbius. Much luckier shuffling experience. Morbius built up a lot of recruit with blood frenzy which helped get heavy hitting cards into my hand. Shout-out to the T’Challa Fight or Flight for being a cheap powerhouse too.,,
,,4,(+7),7,Justitiana,62,57,119,1st,Yes (4.5),5th,34 (3),1st,0 (5.5),2nd,3.5 (6),19,,5,19,2,3,1,4,0,0,10,Doctor Doom 2099,Hulk 2099,Doctor Doom 2099,Hulk 2099,Second attempt,5,"The games were intense. I am still recovering from a heavy flu, so that might impact as well, but the 2099 heroes are among the most fun ones, but they do take some extra brain power to operate. For my first attempt I managed to KO and/or undercover most of the starters pretty soon. I wanted to vote T'Challa for President, but had to go Ghost Rider 2099, because there were many a twist early on, and that's who was in decks/hands/HQ. While that was not ideal, the decks became pretty strong early on. However, Lilith's 12 attack stayed just out of reach. The second attempt had this same problem, with decks being pretty strong early on, but not quite there for Lilin. And this time around T'Challa was voted for President, which was good, but Lilith was even stronger (14) and without real powerhouses it wasn't in the cards yet to get her early. The game I submitted laster 3 turns longer than my first attempt, but I managed to prevent the 1 escape in the second atttempt, so went with that one.

What I can say is that there was almost ""too much"" KO power in the villain deck. The secret service part of the Scheme was wanted/needed, but even without that you could have probably K.O.'ed all starters with the Vibranium Liberator Drones and the Fear Lords like Nox and D'Spayre. The Astral Plane was a nifty puzzle to work around. In my first game it was full when D'Spayre ambushed, which meant an escape. The second game I worked around that puzzle. It did mean that you sometimes ended up with lots of recruit but didn't improve your deck, which also was sometimes a hard choice and in both attempts slowed down the power gain of the decks. Sending wounds undercover with Hulk feels good, sending heroes undercover with Doctor Doom and Ghost Riders, less so. It's still good in ways, but it usually stays short of utter greatness. The first attempt I managed to get Cyber Mod Blue (3) for the Doctor Doom Deck, but it ended up costing me one of Doom's attack cards to do so. It's still worth it I think, but if I just had the timing or opportunity to get another ranged card from HQ or the sidekick stack (after recruiting it) to send undercover, that would have been so much nicer. Both decks were pretty strong both times around, but even with a still fairly unimpressive Lilith (I theorized she could get up to 20+ attack, worst case) I feel like it took me way too many turns to win the game. First game it was much easier to prevent the Hunting for Victims, by the way. Second time around, it just kept raining casaulties it felt like. The difference between 12 and 14 attack with hands that are also ""wasted with recruit"" (but you really needed it, because if you didn't you could'nt get ANY more cards later on) was also impactful. Vishanti and Hulk 2099 were a nice combo package too, didn't think of that before I chose my heroes.

All in all a very cool setup, nice easy-going Lilith going about mothering Demons. Curious if I picked the ""right"" heroes, but I had a blast, so in that way I certainly did choose right. After a few more restoring nights of sleep I will be ready for next week's challenge!",,
,,5,(+6),6,Babybreloom,45,17,62,1st,Yes (4.5),3rd,28 (5),5th,1 (3),6th,2.214 (2),14.5,,28,6,1,6,7,2,0,0,16,Hulk 2099,Clea,Hulk 2099,Clea,Second attempt,5,"I learned in the first game that Hulk 2099 can be really inconsistent, but I decided to trust him again and he really came through for me this time! Controlling my wounds before I ditched him for votes really helped my decks stay fast! Ghost Rider's Uncommon was ABSOLUTELY the MVP here. The left hand thinned its deck SO FAST and was able to get its first hit on the Master Strike on turn, like, 7. Liberate 3 on the Henchman made the uncommon a MM-hitting MACHINE. She got up to 16 fight by the end, but two uncommon Ghost Riders made short work of that.",,
,,6,(+5),5,cglied,57,41,98,1st,Yes (4.5),6th,37 (2),6th,3 (1.5),5th,2.649 (3),11,,16,18,3,3,0,2,0,0,8,Apocalyptic Black Widow,"Ancient One, The",Apocalyptic Black Widow,"Ancient One, The",Second attempt,4,"Fun setup. I only bought 2099 a week or so ago and hadn't had a chance to use it before, so that was fun. Learning how Cyber-Mod actually works on the fly was interesting.
Not a big complaint, more of a suggestion. It would have been helpful to know the full list of post game info I'd be expected to enter on the form before starting the first game. I wasn't aware of the 2nd page of questions and didn't record that info on my first game., I had to go with my second attempt which luckily I hadn't put away yet. I even pulled up the form in advance of game #1 to take notes on what I'd need to write down, but couldn't see there was a second page of info. Obviously I'll track this going forward.",,
,,7,(+4),4,Mikeygill97,26,46,72,7th,No (1),7th,37 (1),6th,3 (1.5),7th,1.946 (1),4.5,,20,9,0,3,1,1,1,0,6,Clea,"Blade, Daywalker",Clea,"Blade, Daywalker",Second attempt,3,"First of all thank you Bagel for some clarification and also thank you for making sure I played with integrity. This was overall a fun setup and I really do enjoy the Cyber-mod effects. Though I was unable to put that to good use for this setup attempt, it was a great way for me to learn the ropes on the newest expansion.",,
,,8,(+3),3,M00M00KITTY & marnsupial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+2),2,Finntastic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,(+1),1,steedley.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
