Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
,,2,(+9),9,Wicked.pepper,80,22,102,1st,Yes (6.5),4th,29 (6),2nd,2 (7.5),2nd,3.517 (8),28,,58,12,2,5,5,3,0,0,15,Captain Marvel (MCU),Mr. Fantastic,Captain Marvel (MCU),Mr. Fantastic,Second attempt,4,"Man, the first one was a struggle. Did win, but with 6 escapes. Early infinity stones were a pain in my *ss. Second went better, although starting with 2 MS, it did give me a little time to build my engine. With a tech Mr. Fantastic deck and a Captain Marvel endgame deck, the cosmic threat was easy to get. Lots of card draw in both decks made the second game relatively smooth.",,
,,3,(+8),8,jgoodnough & Daughter,36,50,86,1st,Yes (6.5),2nd,28 (7.5),4th,3 (6),4th,3.071 (6),26,,14,12,1,2,6,4,1,0,14,Bruce Banner (MCU),Ronan the Accuser,Bruce Banner (MCU),Ronan the Accuser,Second attempt,4,Finally beat Galactus...both games even.  Lots of fun,,
,,4,(+7),7,Sandals,44,50,94,1st,Yes (6.5),2nd,28 (7.5),5th,5 (4),3rd,3.357 (7),25,,6,11,1,5,1,5,0,0,12,Captain Marvel (MCU),Ronan the Accuser,Nebula,Silver Surfer,First attempt,4,"Very interesting set up, made a lot harder by early Strikes! Many escapes followed but Cpt Marvel drew me to big scores while my wife went for many colours with BP. Our second attempt ended very fast as Galactus ate the City on turn 21!",,
,,5,(+6),6,SilverFirePrime,37,56,93,1st,Yes (6.5),6th,36 (4),5th,5 (4),5th,2.583 (5),19.5,,19,12,1,2,1,1,1,0,6,Spider-Man Noir,Invisible Woman,Spider-Man Noir,Invisible Woman,Second attempt,3,Thank goodness for Sue Storm.  Nova Corps w/o KO is just pain,,
,,6,(+5),5,ceejatec,28,51,79,1st,Yes (6.5),5th,33 (5),8th,6 (2),6th,2.394 (4),17.5,,23,11,1,2,2,4,0,0,9,Wanda & Vision,Mr. Fantastic,Wanda & Vision,Mr. Fantastic,First attempt,4,"Black Panther was a detriment here, and getting too many Black Panther cards in the HQ early was partly responsible for my losing the second game. The first game was better, and I got some decent Cosmic Threat synergy going in both hands eventually, although there were a number of escapes early. In both games I got less-than-great Villain deck shuffles... both games went to around 33 (out of 42) turns, and yet I still had 4 Henchmen left in the deck both times, and several Infinity Stones - all the ones that would have been easier and beneficial to fight earlier. And in the second game, I fought the Reality Stone which lets me look at and re-arrange the top three cards of the Villain deck - and all three were Scheme Twists! Bleh!
Since I went with Mr. Fantastic here, I was very tech-heavy to try and maximum Cosmic Threat on the Mastermind. And that worked out pretty well; I usually got him down to 11 or even 8. MVP card was probably Nova's ""Declare Galactic Threat"" which let me give a Tech Cosmic Threat to any villain which was frequently an auto-defeat. My other Hero choice was Wanda&Vision to add more Tech and a bit of Ranged, along with some Covert to maybe make some Black Panther cards a tad more useful; it helped a bit. I don't think I put quite enough Attack cards into my decks, though. I had far too many turns where I was one damage short of what I would need, or couldn't even muster any damage at all. That was exacerbated by getting the majority of the high-attack Villain cards early both games.",,
,,7,(+4),4,mrdollar11 & TheSquishyFish,1,0,1,7th,No (2),9th,9 (1),1st,1 (9),9th,0.111 (1),13,,1,0,0,8,15,9,1,0,33,Bruce Banner (MCU),Mr. Fantastic,Bruce Banner (MCU),Mr. Fantastic,Second attempt,1,Galactus ate the planet in 9 turns after we had a rule flub in the first game :(,,
,,8,(+3),3,Lasombra81,29,32,61,7th,No (2),7th,36 (2.5),5th,5 (4),8th,1.694 (2),10.5,,3,3,1,1,1,2,1,0,6,Bruce Banner (MCU),Wanda & Vision,Bruce Banner (MCU),Wanda & Vision,First attempt,3,None,,
,,9,(+2),2,Doormatte,53,32,85,7th,No (2),7th,36 (2.5),9th,9 (1),7th,2.361 (3),8.5,,21,21,0,2,4,0,0,0,6,Captain Marvel (MCU),Ronan the Accuser,Captain Marvel (MCU),Ronan the Accuser,Second attempt,4,This was so much fun. Tried to synergize but ended up having a few too many classes on the left side.,,
,,10,(+1),1,Cubbiesnextyr & Wife,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mole Man's Shard Shenanigans,1,(+10),10,Mikip2023,28,31,59,1st,Yes (5.5),1st,20 (10),2nd,1 (8.5),1st,2.95 (10),34,,3,3,3,2,6,7,0,0,18,Gamora,Nightcrawler,Gamora,Nightcrawler,Second attempt,3,The Scheme was a lot of fun. First time with it. Made it harder for the Mole man! Enjoyed Scarlet Spider a lot!!! Picking 2 hero's ourselves was hard!,,
