Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,6
,,5,(+6),40,piplup1112111,23,33,56,1st,Yes (5.5),1st,24 (9),1st,0 (6),9th,2.333 (2),22.5,,10,2,1,3,3,7,3,0,0,16,Quasar,Ruby Summers,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I'm always a big fan of 2099,,
,,6,(+5),37,bamlinden,27,65,92,1st,Yes (5.5),7th,30 (3),1st,0 (6),4th,3.067 (7),21.5,,38,3,11,2,1,3,3,1,0,10,Doctor Doom 2099,Nova (Avengers),Doctor Doom 2099,Nova (Avengers),Second attempt,5,"This was a great setup that I really enjoyed. Excellent synergy between the Villains, Mastermind, Keywords and the Scheme. I found good synergy too with one side going heavy on Tech and the other with Ranged. Both Doctor Doom 2099 and Nova fit well with the other heroes. Some timely cards like Ghost Rider 2099's rare and Yondu's burning of shards really helped keep the city clean...which meant that the Twists would whiff. Danger Sense was such an important keyword for keeping me one step ahead of the villains...loved it. I don't think I'll be the fastest this week...but I think I did well.",,
,,7,(+4),37,Tuba2k7 & Alicat22,31,20,51,1st,Yes (5.5),1st,24 (9),1st,0 (6),10th,2.125 (1),21.5,,11,3,7,1,3,10,3,0,0,17,Beast (Illuminati),Nova (Avengers),Beast (Illuminati),Nova (Avengers),Second attempt,4,"We got our butts handed to us in the first game. We had several scheme twist and master strikes come out and lost due to six masterminds. The second game we had a little bit more time to work with and we were better able to manage the villains. Ghostrider was our main strategy with one deck and the other deck used winter soldier, Yondu and beast. The hands worked really well and we were able to get high damage quick.",,
,,8,(+3),35,evilspacecow,48,46,94,1st,Yes (5.5),10th,35 (1),1st,0 (6),5th,2.686 (6),18.5,,2,3,3,0,1,1,1,0,0,3,Doctor Doom 2099,Nova (Avengers),Nova (Avengers),Adam Warlock,Second attempt,4,"Fun but very challenging.  First game, lots of villain cyber-mods activated early and powerful villains turned into Masterminds.  Just couldn't recover.  Also tried splitting between shards and cyber-mods myself.  Played the first game with my son and he didn't like not being able to pick all heroes and thought the large number of powerful masterminds was hard.

Second game, didn't do cyber-mods at for myself.  Focused on shards. Focused and keeping city empty.  Managed to get 2 Twists with no villains on the board.  It was a hard fight but managed to win.",,
,,9,(+2),32,fredo_ud,42,37,79,1st,Yes (5.5),7th,30 (3),1st,0 (6),7th,2.633 (4),18.5,,5,0,3,0,3,3,3,2,0,11,Nova (Avengers),Doctor Doom 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,.,,
,,10,(+1),36,Tozar,36,39,75,1st,Yes (5.5),7th,30 (3),1st,0 (6),8th,2.5 (3),17.5,,3,4,4,0,1,6,2,1,0,10,Beast (Illuminati),Phyla-Vell,Beast (Illuminati),Phyla-Vell,Second attempt,3,"It was a hard setup.  Hard in that it was going to take a long time, but still be doable.  There wasn't anything hanging that would outright end the game, just lots of big, big masterminds.  I think in the first game I ended with 14 Heroes in the Escape pile and in the second game I ended with 16.  Lots of bonuses for those Alchemax dudes.",,
60,Bargain Bin Cybernetics,1,(+10),42,Handballermann & Efruhuhn,35,19,54,1st,Yes (5),1st,25 (9),1st,0 (7.5),5th,2.16 (5),26.5,,16,1,6,1,2,7,2,1,0,13,Thor (Heroes of Asgard),The Vishanti,Thor (Heroes of Asgard),The Vishanti,Second attempt,5,"That was a fantastic setup and our chosen heroes Thor (HoA) and The Vishanti had wonderful synergies with the rest of the deck. It was close all the time. We have the feeling, someone thought very well about this setup! Nice one!",,
,,2,(+9),40,DRobb & ShadowOfTheBat,27,39,66,1st,Yes (5),2nd,26 (8),5th,1 (4),1st,2.538 (9),26,,12,6,10,2,4,7,3,0,0,16,Agent Phil Coulson,Lady Sif,Quake,The Vishanti,Second attempt,3,Our hero choice in the 2nd game make the world of differences.  Other setup in the previous have been better,,
,,3,(+8),39,Bronson & Lighthouse,25,42,67,1st,Yes (5),6th,31 (3.5),1st,0 (7.5),4th,2.161 (6),22,,17,7,11,1,4,3,1,1,0,10,"Ancient One, The",Mockingbird,"Ancient One, The",Mockingbird,First attempt,4,"Creative construction with demonic bargains, top card KOing and some discard/draw mechanics. 

We tried for consolidating gems to go for that win condition - however the gems just weren't coming out of the villain deck until late, so we nearly had Dormammu defeated by that time anyway. Meanwhile tried to score points via Undercover. 

Will be interested to see other combos, with these sets I wasn't seeing a path to a heavy strength hero, will be interested if I missed something obvious. ",,
,,4,(+7),39,AntDude & WaspWoman & PowerPupa,37,23,60,1st,Yes (5),4th,28 (6),1st,0 (7.5),7th,2.143 (3),21.5,,14,5,6,1,2,6,2,0,0,11,Gamora,Mockingbird,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Halfway through the match we decided to go for the power corruption strategy, but when we were chipping away at Dormammu for VP it was the same turn count to not be corrupted at the Dormammu's last 6VP card. Mockingbird and Deathlok got things going for AntDude and had SHIELD level things working, and WaspWoman was a shard machine with Gamora and Rocket. Beta Ray Bill only had his rare show up and sit in the HQ all game.",,
