Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,9,(+2),17,jorisc3213,37,73,110,1st,Yes (5.5),10th,40 (1),9th,1 (2),7th,2.75 (4),12.5,,36,19,0,0,0,0,0,0,0,0,Wasp (Ant-Man),Viv Vision,Viv Vision,Wasp (Ant-Man),Second attempt,3,First game was painful. Second game took us too the last turn to finish the Mastermind,,
,,10,(+1),20,Flipflopmaniac,30,44,74,1st,Yes (5.5),7th,34 (3.5),10th,2 (1),10th,2.176 (1),11,,14,5,0,2,1,2,2,1,0,8,Clea,Doctor Strange (Avengers),Clea,Doctor Strange (Avengers),First attempt,3,"What a slog.  Tried to lean into with artifacts to deal with the scheme but still Bagelshuffled™ my way to 4 failed duels by turn 12.  Clea's Demonic Descendant was pretty safe with her and Iron Man Noir's topdeck cards.  Big assist from Gwenpool ""rescuing"" Detective Wolverine and bottoming a Twist.  Would've ended 4 turns earlier but a nasty Strike slowed me down with a 4x demolish.",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nathan Essex's Day Off,1,(+10),26,Pizza (.gaxim) & Extra Cheese (Rolf101),25,51,76,1st,Yes (5.5),1st,17 (10),1st,0 (6),1st,4.471 (10),31.5,,26,16,0,1,3,8,3,2,0,17,"Uatu, The Watcher",Daredevil (Marvel Knights),"Uatu, The Watcher",Daredevil (Marvel Knights),Second attempt,3,Pizza got the party Thor to ko cards when he bought things 5 or more turn 1 and then thinned deck really fast so what if was really easy To do. 3 masterminds at one point but our second game went by really fast,,
,,2,(+9),27,Jean-Sébastien & Geneviève,36,43,79,1st,Yes (5.5),2nd,21 (9),1st,0 (6),3rd,3.762 (8),28.5,,7,24,0,1,3,8,3,1,0,16,"Gamora, Destroyer of Thanos",Punisher,"Gamora, Destroyer of Thanos",Punisher,Second attempt,4,"Fun setup! We find the scheme difficult to beat, but with an easier mastermind like Mr. Sinister it balances somehow. MVP was Party Thor Only Son.",,
,,3,(+8),22,OleRockyTop,60,14,74,1st,Yes (5.5),3rd,22 (7),1st,0 (6),5th,3.364 (6),24.5,,46,22,0,4,4,6,3,0,0,17,"Gamora, Destroyer of Thanos","Uatu, The Watcher",I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Lucked into Convoke the Guardians early on which really helped with all of the Guardians of the Multiverse cards available. Would have finished a turn earlier but I had to get rid of Frigga. Leaning into the What If and Liberate mechanics really did well with this setup.,,
,,4,(+7),24,MysticRuby,7,65,72,1st,Yes (5.5),3rd,22 (7),1st,0 (6),6th,3.273 (5),23.5,,58,14,0,2,6,7,1,0,0,16,Drax the Destroyer,Bishop,Drax the Destroyer,Bishop,First attempt,4,Bishop is what Bishop does. Hopefully the VP difference won't hurt me.,,
,,5,(+6),23,ChuckBauer,87,27,114,1st,Yes (5.5),9th,27 (2),1st,0 (6),2nd,4.222 (9),22.5,,60,46,0,2,4,6,0,0,0,12,Angel,Jean Grey,Angel,Jean Grey,Second attempt,5,"Always feels fantastic to rescue all of the bystanders!!! If more had been available, i would have rescued like 10 more, but sadly the stack of available bystanders was depleted by Jean Grey's rare!!",,
,,6,(+5),18,BN322,27,40,67,1st,Yes (5.5),3rd,22 (7),1st,0 (6),7th,3.045 (4),22.5,,13,14,0,4,4,5,6,0,0,19,Professor X,Iceman,"Killmonger, Spec Ops",Star-Lord T'Challa,Second attempt,3,"This was my favorite set up so far. All of the different interactions from the bystanders, i.e. liberate and the marauders, along with the what if... ability combined for an interesting game",,
,,7,(+4),20,Lycanknight_,18,75,93,1st,Yes (5.5),7th,25 (4),10th,1 (1),4th,3.72 (7),17.5,,57,24,0,2,3,4,1,1,0,11,"Gamora, Destroyer of Thanos",Star-Lord,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Gamora shard crazy plus starlords draw cards and gamora destroyer of thanos + per draw was OP. My wife dominated this round, going after shards and draw. I went for the party thor stuff early but ended up just taking all the trash for her to get off the ground running.",,
,,8,(+3),20,Bakatora971,33,35,68,1st,Yes (5.5),6th,23 (5),1st,0 (6),10th,2.957 (1),17.5,,2,14,0,3,3,9,3,1,0,19,Daredevil (Marvel Knights),"Uatu, The Watcher",I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Thought daredevil would work well with what if but he never showed up. Guess Danny Rand is the better daredevil. Uatu did a lot of heavy lifting and widow did widow things on the other side.,,
,,9,(+2),20,Bronson & Lighthouse,18,59,77,1st,Yes (5.5),8th,26 (3),1st,0 (6),9th,2.962 (2),16.5,,41,24,0,0,2,7,2,0,0,11,Jean Grey,Nightcrawler,Jean Grey,Nightcrawler,First attempt,3,"Leaned in to the Bystander mania, all we were missing was OG Black Widow. Lots of early game Master Strikes made Sinister annoying which is what influenced the fun factor. That said it was a creative set-up.",,
,,10,(+1),19,Cobrawarrior521 & Mackirev9,70,21,91,1st,Yes (5.5),10th,30 (1),1st,0 (6),8th,3.033 (3),15.5,,49,24,0,3,3,3,2,0,0,11,Captain Carter,"Gamora, Destroyer of Thanos",Captain Carter,"Gamora, Destroyer of Thanos",First attempt,4,In both games we played if felt like one player suffered while the other had to carry the game. The scheme was pretty fun,,
26,Cosmic Pylons and the Holy Hail,1,(+10),26,R3DJ0N,31,62,93,1st,Yes (5.5),1st,20 (10),1st,0 (8),1st,4.65 (10),33.5,,31,22,4,3,3,10,5,1,0,22,Invisible Woman,Groot,Invisible Woman,Groot,First attempt,4,Was worried with some early twists and strikes. Only a few of the twists landed on turns without focus.,,
,,2,(+9),24,GamerGump & Kendycrow,67,28,95,1st,Yes (5.5),4th,24 (7),1st,0 (8),4th,3.958 (7),27.5,,39,7,23,2,4,8,3,1,0,18,Mockingbird,Silver Surfer,Mockingbird,Silver Surfer,First attempt,4,Just a massive amount of card draws with sending cards undercover was really good. Twist could be annoying when you had both purchasing and attack to spend but we made it work. ,,
,,3,(+8),23,Lukas,50,64,114,1st,Yes (5.5),7th,27 (3.5),1st,0 (8),2nd,4.222 (9),26,,14,0,24,3,3,7,3,1,0,17,Agent Phil Coulson,Mockingbird,Agent Phil Coulson,Mockingbird,Second attempt,4,Completed the game in 27 turns both play throughs. I chose heroes to boost shield level/undercover. ,,
,,4,(+7),20,Ocs333,38,32,70,1st,Yes (5.5),2nd,21 (9),1st,0 (8),8th,3.333 (3),25.5,,6,7,0,2,6,11,4,0,0,23,Invisible Woman,Thing,Invisible Woman,Thing,First attempt,4,"Was really afraid of this. Picked Thing and Sue for FF synergy, and also for a way to bypass the scheme (use focus instead of recruiting). I also thought some KO beside the undercover and testing villains would come handy. But ended up not seeing Dethlok or Sue's KO card in the first game. 
 I guess I got sort of lucky in first run. E.g. besides some strong villains I got bystanders on turns 5 and 6, and scheme twists on turn 9 and 10. So I could avoid letting villains escape and get some good cards. (Started with things 3 recruit one right away, and then could buy Mr fantastic rare for instance.) I did have 4 villains with 4 city spaces, and 3 villains with 3, so it was still not evident. My right hand could stack up some shards, and also get the Mr fantastic draw draw attack per hand size combo going quite early. So from turn 16 basically in every turn I could attack Galactus. (Artifacts and a lot of card buys really did help). Ended up with 2 city spaces remaining. (And being ready to hit G for a 6th time). 

Now, on my second play I conceded on turn 12, after the second escape, and no good synergies showing up in the HQ.",,
,,5,(+6),22,piplup1112111,51,32,83,1st,Yes (5.5),3rd,23 (8),6th,1 (4.5),6th,3.609 (5),23,,19,12,5,2,4,8,6,1,0,21,Thing,Groot,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"One hand had a tech deck, the other a strength deck allowing for pretty easy cosmic threat triggers.",,
,,6,(+5),20,AntDude & WaspWoman & PowerPupa,47,45,92,1st,Yes (5.5),6th,26 (5),1st,0 (8),7th,3.538 (4),22.5,,2,11,8,3,3,7,5,0,0,18,Thing,Groot,Thing,Groot,First attempt,5,"AntDude and PowerPupa had a fun 1st attempt here with a lot of loyalty to SHIELD and only some little nibbles to the planet. AntDude had a lot of Deathlok cards supported by Mr. Fantastic (but unfortunately no Gigantic Hands appeared). PowerPupa had great things going with Groot and Thing with a thin deck, lots of strength, and had Clobbering Time make at least 11 attack the three times it was played. Each were a couple attack shy of hitting Galactus twice in one turn once Cosmic Threat was off the table, but still managed a relatively quick game with no escapes. Lastly, we thoroughly quoted Galactus from Unbeatable Squirrel Girl, like ""Anyway, I better go eat your planet before it gets too stale"" and ""A dude's gotta eat, peace!"" and ""Call me if you ever want to get into heralding."" 5 out of 5 for the opportunity alone.",,
,,7,(+4),18,sword'n'sorcery,60,33,93,1st,Yes (5.5),5th,25 (6),8th,2 (3),5th,3.72 (6),20.5,,27,12,11,2,7,5,3,1,0,18,Scarlet Spider,Mockingbird,Scarlet Spider,Mockingbird,Second attempt,3,"Setup was a bit too luck-based for me. Galactus, the Scheme, and Maximum Carnage all can swing really heavily one way or the other just based on luck. I lost my first game really badly, and then won my second game pretty easily.
Scarlet Spider+Mockingbird wouldn't normally be a crazy good combo, but it worked really well against Galactus. Player 1 hit galactus twice two turns in a row because of the ability to get 20+ attack and have more than 7 instinct cards.
The combo of deathlok+Mr. Fantastic was interesting. Again, not normally anything to write home about. But works well against Cosmic Threat.",,
,,8,(+3),19,Bikk Bikk,48,64,112,1st,Yes (5.5),9th,28 (2),6th,1 (4.5),3rd,4 (8),20,,16,14,15,2,2,5,3,0,0,12,Mockingbird,Drax the Destroyer,Mockingbird,Drax the Destroyer,Second attempt,3,"Chose Drax and Mockingbird so I could have one player focus on instinct, and the other on tech. Both ended up with a good amount of tech, but player 2 also got a good amount of instinct to thin the deck. Also got Starlord's rare which gained so many shards, and secured Infinity Formula early, so the undercover ramp grew and grew. Mockingbird was also meant to help prevent unwanted feasts.
The lack of Deathlok in the HQ really dampened Player 1's potential. Reanimate took a very long time to show up. So Player one took a very long time to get anything under cover. 
The combination of mid high attacks from Maximum Carnage and High attacks from the Heralds was super tricky. I had four escapes in Game 1 due to not getting enough attack for villains, not enough henchmen, and early strikes shrinking the city. Game 2 was much friendlier with strikes, and more attack in the HQ. I never felt threatened from the scheme, which is nice cause Galactus is his own scheme. That boy hungry.",,
,,9,(+2),18,loconnole & Klcgolf,44,44,88,1st,Yes (5.5),7th,27 (3.5),9th,4 (1.5),9th,3.259 (2),12.5,,0,9,11,2,4,5,5,0,0,16,Mockingbird,Drax the Destroyer,Drax the Destroyer,Mockingbird,First attempt,4,Welp. Galactus destroyed the city in 12 turns our second round so we're submitting the first one 😂,,
,,10,(+1),14,JB007,64,31,95,1st,Yes (5.5),10th,31 (1),9th,4 (1.5),10th,3.065 (1),9,,33,5,13,3,2,4,3,1,0,13,Mockingbird,Rocket Raccoon,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Very fun! I was nervous as early game I couldn’t get any attack and the city was full and then galactic was KOing spaces. But then things changed. My guardians player was able to get artifacts and use shards to keep things in control and the shield player was able to amass some serious attack and send starters undercover which helped to thin the deck. Very fun!,,
27,Poison Things Everywhere All at Once,1,(+10),25,Snash108,65,32,97,1st,Yes (6),1st,25 (9),1st,0 (5.5),1st,3.88 (9),29.5,,33,35,0,3,6,4,2,3,0,18,Psi-Lord,"Gamora, Destroyer of Thanos",Psi-Lord,"Gamora, Destroyer of Thanos",Second attempt,5,"This scheme was practically made for Psi Lord!! Had a villain deck full of bystanders, and a copy of Psi Lord's cover common on each side. Was an absolute bystander frenzy!!",,
,,2,(+9),21,Pokeloly,25,71,96,1st,Yes (6),3rd,30 (7),1st,0 (5.5),2nd,3.2 (8),26.5,,46,36,0,3,5,3,0,1,0,12,Psi-Lord,Venompool,Psi-Lord,Venompool,Second attempt,5,Game 1 was 2 turns faster but slightly less vp per turn.,,
,,3,(+8),24,Sandals & Mrs Sandals,57,24,81,1st,Yes (6),2nd,27 (8),1st,0 (5.5),3rd,3 (7),26.5,,33,17,0,1,6,6,2,4,0,19,Psi-Lord,King Black Panther,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Psi-Lord puts this scheme on easy mode. I went heavily into him and KOd 4 Strikes, then turning the Bystanders into Attack to clear out Killmonger's League. My wife however went into Black Widow and the Heralds and managed to summon Galactus on turn 11. He proceeded to eat Thanos and two City spaces as appetizers! 
I scored a lot fewer points than she did, as I spent most of my first few turns Focussing to see where stuff was.
I always enjoy this scheme, the tension at the beginning is replaced by a sense of total zen-like control late on.",,
,,4,(+7),22,Tozar,42,40,82,1st,Yes (6),4th,32 (5.5),1st,0 (5.5),5th,2.563 (5),22,,2,12,0,1,1,1,1,2,0,6,Carnage,Star-Lord T'Challa,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Had to use tabletop simulator on account of my being out of town.  It was really hard.  Only played one game. Went almost as long as possible.  Kept the city clean, but dang I had a hard time getting Poison Thanos.  Had to fight him 6 times because of Symbiotic Armor being one of the first cards out.  Needed 16 for first fight, 15 for second, and 14 for the remaining fights.",,
,,5,(+6),21,jdub,63,28,91,1st,Yes (6),6th,33 (3.5),1st,0 (5.5),4th,2.758 (6),21,,35,22,0,0,5,0,0,0,0,5,Carnage,Venompool,Venompool,Carnage,Second attempt,2,"I hate Poison Thanos, he was so difficult and just made it hard to get to. I had no problem clearing the board but getting to Thanos was hard.",,
,,6,(+5),19,JParnell,12,52,64,1st,Yes (6),4th,32 (5.5),1st,0 (5.5),8th,2 (2),19,,40,6,0,1,2,4,0,0,0,7,Brainstorm,Princess Shuri,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Hardest carry possible by Deck 2, ending with 13 cards that easily got to Galactus Hungers every turn. I had the chance to win by destroying the final city space in the last turn, but it would have cost my 7 points. Fortunately my deck that turn could make exactly 17 attack by playing GH before other Heralds, then finding the other 9 attack with my excessive draw. One of the best games I've ever had from a fun/cool factor and even if a second game would be ""better"" I couldn't live with myself if I didn't submit this one no matter what.",,
,,7,(+4),19,Mikeygill97,61,19,80,1st,Yes (6),6th,33 (3.5),1st,0 (5.5),7th,2.424 (3),18,,42,19,0,3,6,2,0,0,0,11,Fantastic Four United,"Gamora, Destroyer of Thanos",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Very rough setup, thankfully, I was able to Focus every other turn alternating between the two hands, and revealing the scheme twists and Masterstrikes to keep them from surfacing but two of the Masterstrikes were played, one of them as I hadn't started focusing yet, and the other one so I could keep from escapes happening. The Heralds along with Gamora teamed up pretty well as Galactus didn't like the fact that Poison Thanos was trying to destroy all his possible dinner choices, and Gamora...well she has daddy issues.",,
,,8,(+3),17,Ceej,33,44,77,8th,No (1.5),8th,31 (2),1st,0 (5.5),6th,2.484 (4),13,,11,24,0,3,1,1,0,0,0,5,White Wolf,Queen Storm of Wakanda,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"I picked White Wolf because I thought the Ambush ability to wound the Mastermind might be useful, and because Red/Black complemented Apocalyptic Black Widow. Sadly neither of those ended up mattering much. I also picked Queen Storm again due to the possibility of wounding the Mastermind, but it never came up.

I really liked this Scheme, and the way it let you engage in far more planning of your turns. I also found the combination of the Symbiote Bonding villains with Malice and Preyy, letting you farm those two Villains almost endlessly for card draw and Bystanders. The latter in particular I milked for all it was worth since one hand got Apocalyptic Black Widow's rare, which gave her ""Liberate"" equal to the number of Bystanders - that let her fire off 14 damage once and then 20, which was great against Thanos.

Unfortunately, in the end, this game was just kind of a slog. Super high strength Masterminds I tend to find kind of boring or frustrating because there's just too many turns where you're a few Attack short of being able to do anything. Even with careful avoidance of Master Strikes, Poison Thanos was up to 17 strength by the end, and neither deck was gelling anywhere near enough to hit him outside of ABW's rare. Ended up hitting the Scheme's ""Evil Win"" condition.",,
,,9,(+2),17,WarpedPoodle,24,18,42,8th,No (1.5),9th,30 (1),9th,2 (1),9th,1.4 (1),4.5,,6,16,0,1,0,1,2,0,0,4,Venom Rocket,"Gamora, Destroyer of Thanos",White Wolf,"Gamora, Destroyer of Thanos",Second attempt,1,"I knew I was going to struggle with Poison Thanos.  His master strikes came at bad times in both games and my decks were decimated.  In both games I was unable to recover from this and build mu decks back up to get enough attack to reach him.  Then his symbiotic armor added to the number of attacks needed to bring him down.  For this setup I needed a Wolverine or two, but he was nowhere to be found.  This setup would be fun if it had a different mastermind - Killmonger or Ultron Infinity.",,
,,10,(+1),15,Gideon Wyatt & Mrs. Gideon Wyatt,57,26,83,1st,Yes (6.5),2nd,26 (9),1st,0 (6),3rd,3.192 (8),29.5,,31,42,0,1,4,4,1,4,0,14,Venompool,Psi-Lord,Venompool,Psi-Lord,Second attempt,3,"Psi-lord was an absolute MVP easily! I found a bystander in a deck and but it to the bottom and then when the bystander was alone, I could focus 1 star for 1 VP and 2 attack repeatedly with Interdimensional Rescue almost every turn once it got set up. It did stall the HQ after that, but it didn’t matter. I managed to KO 5 Master Strikes across both games, never getting hit with one in the on I submitted. There were a few turns where rescuing bystanders got me more recruit that I burned to rescue more bystanders. First time hitting the MM I got 37 attack and took 3 tactics. This scheme is almost trivial with Psi-lord.",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bond: Conquest of Solace,1,(+10),23,Adrian Miller,47,37,84,1st,Yes (5),3rd,24 (7),1st,0 (7.5),2nd,3.5 (8),27.5,,10,22,0,3,7,5,3,1,0,19,Venompool,Venom (Venomverse),Venompool,Venom (Venomverse),Second attempt,3,.,,
,,2,(+9),23,AdamantiumGambit,45,26,71,1st,Yes (5),1st,22 (8.5),1st,0 (7.5),5th,3.227 (5),26,,19,17,0,3,5,10,3,0,0,21,Venompool,Elsa Bloodstone (SHIELD),Venompool,Elsa Bloodstone (SHIELD),Second attempt,4,"I got my butt kicked through scheme Twists the first game, but Venompool really helped secure the 2nd",,
,,3,(+8),17,fredo_ud,64,22,86,1st,Yes (5),1st,22 (8.5),9th,4 (1),1st,3.909 (9),23.5,,42,15,0,3,6,6,3,0,0,18,Beast (Illuminati),Venom (Venomverse),Beast (Illuminati),Venom (Venomverse),Second attempt,4,Digestion and Indigestion was such a fun mechanic to experience and it scales very well. Happy with the inclusion of Venom here. Beast felt like the missing puzzle piece for the strength and tech side. Overall a great time was had.,,
,,4,(+7),20,Off the Cuff & hanoott,74,40,114,1st,Yes (5),7th,33 (2.5),1st,0 (7.5),3rd,3.455 (7),22,,34,32,0,1,3,3,1,0,0,8,Arkon the Magnificent,Beast (Illuminati),I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"We had two Phalanx Villains in the Victory Pile that we were able to pull out through Symbiote Bonds, including Bob's rare. Very early in the game, Taskmaster bonded with  the Mastermind and we both thought that was the game over right there. Luckily, Beast rules.",,
,,5,(+6),19,KelgatesKollections,68,24,92,1st,Yes (5),4th,29 (6),5th,1 (4.5),6th,3.172 (4),19.5,,44,15,0,2,3,3,2,1,0,11,Quasar,Adam Warlock,Quasar,Adam Warlock,First attempt,3,"Game 1 felt like it was about to get away from me when from the light game an Adam Warlock that blasted the Carnage Rare Villain with its ability and 4 shards. From there, Carnage ate my whole deck and allowed me to generate shards every 2nd turn to win the game. It still took long because we had to clean up the city so Hybrid didn't get stuck on an awful minion to soft-lock me in the game but eventually, we were able to terrorize Hybrid with some Symbiote love.",,
,,6,(+5),18,Tuba2k7 & Alicat22,37,54,91,1st,Yes (5),5th,32 (4.5),5th,1 (4.5),7th,2.844 (3),17,,17,17,0,4,4,4,1,1,0,14,Spider-Gwen,Silk,Silk,Spider-Gwen,First attempt,5,"We love the set up. It was a lot of fun. It was very slow at the beginning, but definitely ramped up once we got our attack going. one person focused on two cards with silk and spider Gwen and the occasional Bob annd Cap and the Devil, the other focused on Ronan Carnage and cap and the Devil. This led to large hands on both of our parts and made the game pretty smooth sailing. Very fun set up. We enjoyed it.",,
