Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,"Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)",Attempt Submitted,,Fun Level,Comments
,,7,arnolamme,50,21,71,1st,Yes (6),6th,35 (4.5),9th,2 (2),5th,2.029 (6),18.5,,29,1,Daredevil Noir,General Okoye,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,Angel Noir was a nice counter to Zemo's Ultimate Abomination
,,8,JParnell,18,42,60,1st,Yes (6),9th,39 (2),1st,0 (7.5),9th,1.538 (2),17.5,,24,2,Captain America (1941),Winter Soldier,Captain America (1941),Winter Soldier,Second attempt,3,3/5,"Game 1 was a disaster, with 2 rares starting in the HQ, and seeing 4 the whole game making Zola impossible. 

Game 2 leaned on my picks of Cap '41 and Bucky *hard* with the other deck doing it's best to lower abomination. After making it through 5 of the 8 first Twists, I was dead when the final one showed up, but it thankfully stopped at 10 long enough for me to Man Out Of Time the crap out of Zola."
,,9,DRobb & ShadowOfTheBat,34,34,68,1st,Yes (6),8th,38 (3),7th,1 (3.5),8th,1.789 (3),15.5,,0,9,Princess Shuri,Spider-Man Noir,Daredevil Noir,General Okoye,First attempt,3,3/5,2nd Game was rough with all the early Twist
,,10,Montax30,7,8,15,10th,No (1),10th,24 (1),10th,4 (1),10th,0.625 (1),4,,1,5,General Okoye,Princess Shuri,General Okoye,Princess Shuri,Second attempt,2,2/5,I hate this scheme lol
4,Mandarin's Secret Empire of Betrayal,1,Jean-Sebastien & Genevieve,68,33,101,1st,Yes (6),6th,30 (5.5),1st,0 (8),1st,3.367 (11),30.5,,35,14,Human Torch,Mockingbird,Human Torch,Mockingbird,First attempt,4,4/5,"Valkyrie had not much synergy with the 2 other heroes, but her thrown artifact was useful and we recruited multiple copies each games. All their other cards were never recruited."
,,2,Ceej,24,56,80,1st,Yes (6),4th,28 (8),1st,0 (8),4th,2.857 (8),30,,32,4,Quake,Mockingbird,Quake,Mockingbird,Second attempt,4,4/5,"Pretty easy setup overall. The difficulty will pretty much come down to how quickly the Mandarin's Rings come out vs. how quickly the Scheme Twists come out. In both my games I only ever saw 4 Rings, which wasn't great, and in both games the Twists seemed to be largely in the top half of the deck, which wasn't great either. I also got all 5 Master Strikes early both games. Still, the City was never even close to filling, and I had a number of turns with it completely empty.

My decks were mostly a little slow to get set up, which resulted in the game taking longer than it should have (my first attempt went to 36 turns, second 28). I picked characters with lots of Undercover abilities to crank up my SHIELD Level, and that mostly worked - both players in both games got up to at least level 7. I didn't have quite as many cards as I wanted that really needed it that high though; maybe I should've picked Coulson instead of Quake. I did manage to get at least three 24+ damage turns in the second game which was fun, and fired off Quake's rare once for 14 damage all on its own.

MVP honestly might have been Mr. Fantastic, as I was lucky and had three copies of ""Twisting Equations"" in the Dark Betrayal pile. That card is crazy; I had several turns with 10 or even 11 cards in hand. And with all the Undercover deck-thinning, in game 2 Player 2 only had 11 cards left in their deck."
,,3,BleshInTheFlesh,64,36,100,1st,Yes (6),6th,30 (5.5),1st,0 (8),2nd,3.333 (10),29.5,,28,16,Quake,Scarlet Witch,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,Good Round
,,4,ClobberinTime & megablueJJ67,23,30,53,1st,Yes (6),1st,25 (11),1st,0 (8),9th,2.12 (3),28,,7,2,Human Torch,Quake,Human Torch,Quake,First attempt,4,4/5,We enjoyed this setup. Getting some powerful Mr. Fantastic cards (One Gigantic Hand) can in handy for building powerful attacks lol.
,,5,Astigmatic_Oracle,58,34,92,1st,Yes (6),8th,31 (3.5),1st,0 (8),3rd,2.968 (9),26.5,,24,6,Darkhawk,The Warriors Three,Darkhawk,The Warriors Three,First attempt,4,4/5,"First game I got lucky with the twists, second game not so much."
,,6,Zhoud,30,35,65,1st,Yes (6),2nd,26 (10),8th,1 (3.5),7th,2.5 (5),24.5,,5,5,Mockingbird,The Warriors Three,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,Why does every Valkyrie card cost 1 more than it should? Getting Unstable Molecules off a turn 3 twist was very nice!
,,7,AntDude,61,35,96,1st,Yes (6),11th,35 (1),1st,0 (8),6th,2.743 (6),21,,26,11,Darkhawk,Lady Sif,Darkhawk,Lady Sif,First attempt,4,4/5,"A fun setup with the right Mr. Fantastic cards going to the right decks. Darkhawk and Deathlock paired so well, and Sif’s winged helm helped a lot to prevent wounds from twists and strikes."
,,8,GamerGump & kendycrow,24,64,88,1st,Yes (6),8th,31 (3.5),8th,1 (3.5),5th,2.839 (7),20,,40,5,Agent Phil Coulson,The Warriors Three,Agent Phil Coulson,The Warriors Three,First attempt,5,5/5,Colson + Mr Fantastic + invisible woman rare = whole deck in your hand. Fun times.
,,9,SilverGetzu & BanditBee,36,43,79,1st,Yes (6),10th,34 (2),1st,0 (8),8th,2.324 (4),20,,7,3,Silver Surfer,Agent Phil Coulson,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Surprisingly, the MVP of the game was Mr.Fantastic. Some lucky early scheme twists (odd statement) led to early mr fantastic draw abilities, leading to fairly consistent 7-10 card hands. Took some time to close out still but lots of fun with crazy combos."
,,10,MrTInce,36,21,57,1st,Yes (6),3rd,27 (9),10th,3 (2),10th,2.111 (2),19,,15,2,Mockingbird,Lady Sif,Mockingbird,Lady Sif,First attempt,3,3/5,Keeping the city controlled was hard as rings coming back into the city pushing things around.
,,11,Coldvein & Raja0629,20,20,40,1st,Yes (6),5th,29 (7),11th,7 (1),11th,1.379 (1),15,,0,1,Thing,Agent Phil Coulson,Thing,Photon,Second attempt,4,4/5,Nice challenge for both playthroughs.
5,Onslaught Splices Humans with Spider DNA,1,Grey Warden & Blue Queen,29,48,77,1st,Yes (8.5),2nd,37 (8),1st,0 (9),1st,2.081 (9),34.5,,19,7,Groot,Spider-Woman,Groot,Spider-Woman,Second attempt,4,4/5,"In our first attempt, the Heroes worked out really well but we ran out of Villain Deck before we got all the tactics. The second game we got Gamora's rare for 5 Attack thanks to Random and she blasted Onslaught away. Grey (Hand 1) had Berserk and Queen (2) had Shards. Very good combos. Also, Groot and Spider-Woman and Cannonball are great counters too Onslaught's Gimpy Hand nerf."
,,2,GZUZROCKS & MyBestPardner,28,43,71,1st,Yes (8.5),1st,36 (9),2nd,2 (8),2nd,1.972 (8),33.5,,15,3,Drax the Destroyer,X-23,Drax the Destroyer,X-23,First attempt,3,3/5,This was TOUGH! Onslaught will now commence to give me nightmares. lol.
,,3,Lasombra81,18,28,46,3rd,No (4),4th,39 (5.5),3rd,3 (6.5),4th,1.179 (6),22,,10,2,Groot,Star-Lord,Groot,Star-Lord,First attempt,2,2/5,Oof
,,4,NukinFoobs & N3m3sis,26,37,63,3rd,No (4),6th,38 (4),3rd,3 (6.5),3rd,1.658 (7),21.5,,11,8,Groot,Jubilee,Groot,Jubilee,First attempt,1,1/5,Our first game we weren't able to move quick enough to take out Onslaught. Then game 2 pretty much everything that could go wrong did lol. Still haven't defeated Onslaught with randomized setups
,,5,Loconnole & Klcgolf,10,28,38,3rd,No (4),4th,39 (5.5),5th,5 (5),5th,0.974 (5),19.5,,18,1,Legion,Groot,Psylocke,Banshee,Second attempt,1,1/5,This was pretty much unwinnable. Onslaught is incredibly tough himself and the heroes were tough to synergize
,,6,Canis & Mamabird,19,12,31,3rd,No (4),3rd,41 (7),8th,8 (2),7th,0.756 (3),16,,7,2,Banshee,Star-Lord,Banshee,Star-Lord,First attempt,2,2/5,"tried to use Star-Lord to get around the five car penalty, but had to much trouble recruiting at the beginning by the time i got anything going it was to late. had Banshee on the other side trying to help Havok, but had the same issues. lack of k.O. opportunity hurt as well, had 4 grey in the K.O. pile at the end, technically they were on Onslaught, the one tactic we saw in two games :("
,,7,nate the dawg & Emily,19,6,25,3rd,No (4),7th,34 (3),6th,6 (3.5),8th,0.735 (2),12.5,,13,4,Drax the Destroyer,Psylocke,Drax the Destroyer,Kitty Pryde,First attempt,4,4/5,"Well, it's not saying much, but that was the longest I've ever lasted against Onslaught!  The city was flooded with Sinister Six villains from the beginning, so we were just fighting the inevitable.  Onslaught's master strike is a real killer!"
,,8,SilverFirePrime,17,7,24,3rd,No (4),9th,25 (1),6th,6 (3.5),6th,0.96 (4),12.5,,10,1,Aurora & Northstar,Legion,Aurora & Northstar,Legion,First attempt,1,1/5,"If I wrote how I truly felt about these two games, I would somehow manage to violate the terms of service of every service available on the internet"
,,9,sethlikespizza & heheheath,11,10,21,3rd,No (4),8th,31 (2),9th,10 (1),9th,0.677 (1),8,,1,1,Moon Knight,Drax the Destroyer,Moon Knight,Drax the Destroyer,Second attempt,1,1/5,"This setup was not fun at all. There was literally nothing we could do against the combination of the domination effect, the 1 less max hand size, and the +3 buff to sinister six villains..."
,,-,joeydungee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
6,Macho Gomez' Sniper Rifle Assassins,1,R3DJ0N,36,30,66,1st,Yes (5),1st,18 (9),1st,0 (5),1st,3.667 (9),28,,6,4,Angel,Wolverine (X-Force),Angel,Wolverine (X-Force),First attempt,5,5/5,First attempt was very lucky. 2nd attempt was a little slower. Evasive acrobatics into Light the way worked out beautifully. So my hero choices didn't actually help much since BW and Photon did most of the work. The other side absorbed most of the wounds with Deadpool and even hit the MM once. Player 2 mainly kept the city clear.
,,2,Lamertien,59,21,80,1st,Yes (5),2nd,25 (8),1st,0 (5),3rd,3.2 (7),25,,38,10,Angel,Falcon & Winter Soldier,Angel,Falcon & Winter Soldier,Second attempt,4,4/5,"Good and a rather easy game to start with! Macho Gomez is much nastier when playing Advanced Solo. When I saw the given heroes I immediately knew, Angel would fit here perfectly! Deadpool for the Wounds, Photon & Angel for my ""discard""-Engine, but Black Widow had no good paring yet. So I added the partners Falcon & Wintersoldier for some more Dark Memories. I'm very pleased with my selections! :)"
,,3,CombatantMoth & QueenKate34,79,21,100,1st,Yes (5),4th,30 (6),1st,0 (5),2nd,3.333 (8),24,,58,15,Angel,Quicksilver,Angel,Quicksilver,Second attempt,5,5/5,"Angel, Photon, S.H.I.E.L.D. Black Widow and Quicksilver are deadly together!"
