Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,
24,Mr. Sinister Invades the Daily Bugle News HQ,1,Babybreloom,48,36,84,1st,Yes (4),2nd,23 (5.5),1st,0 (4.5),1st,3.652 (7),21,,12,18,Iceman,Captain Marvel,4,4/5,"One side built for blue/green with Superior Iron Man helping to fuel Iceman and Captain Marvel while the other side just went straight recruit to try and rescue as many bystanders as possible with Invisible Woman and Angel to up the VP at the end of the game. I feel like it ended up being pretty successful, except that I didn't get the bystander rescue as early as I had hoped."
,,2,Loconnole & Klcgolf,17,61,78,1st,Yes (4),2nd,23 (5.5),1st,0 (4.5),2nd,3.391 (6),20,,44,22,Jean Grey,Professor X,4,4/5,Angel and Jean absolutely wrecked the Mastermind on this one
,,3,Ceej,53,17,70,1st,Yes (4),1st,22 (7),7th,1 (1),3rd,3.182 (5),17,,36,14,Cable,Wolverine (X-Force),4,4/5,"I didn't account for the number of Thor Corps Heroes that would be getting into my decks. With all of them, plus virtually no Hero KOing available, I had far too many turns where I could do almost nothing but recruit, and not even a huge amount of that. I should have picked more Heroes with Focus abilities.

I picked Cable for his ""Strike at the Heart of Evil"" again, and it was effective sometimes, although with the deck bloating I rarely had more than one at a time. I would certainly have taken Jean Grey for all the bystanders Mr. Sinister and the Marauders were dropping, but I used her in week 2. I'm not entirely sure why I picked X-Force Wolverine; I guess I wanted some team synergy with Cable.

First game went surprisingly well after an initial city surge that saw one Villain escape. Both decks came together pretty nicely and Mr. Sinister never got above about 10 attack after the initial bulge to 13. The second game had a lot of earlyish Scheme Twists, including some that hit when the city was already empty which was nice, but Mr. Sinister got up to 14-15 attack and it took far too long for enough cards to come together on one turn to bring it him down. It was easy to keep the city empty, but he managed two Master Strikes that left one or both players with literally no cards in hand. In the end it was an easy but far too slow victory (34 turns vs. 22 in the game I reported). Even with significantly higher scores, the points-per-turn was actually a bit worse than game 1. I just hope that one Villain escape isn't the point that knocks me out!"
,,4,Adrian Miller,55,23,78,1st,Yes (4),4th,25 (4),1st,0 (4.5),4th,3.12 (4),16.5,,32,23,Jean Grey,Thing,5,5/5,"Cut close, Damm 100 randomizer, Thing is very powerful when you get a majority singular green deck."
,,5,Baldulf,26,63,89,1st,Yes (4),6th,30 (2),1st,0 (4.5),5th,2.967 (3),13.5,,37,17,Apocalyptic Kitty Pryde,Bishop,4,4/5,"Deceptively difficult setup. I lost my first attempt, which had 6 twists, 4 strikes, and 4 Heralds in the first 18 turns. I had better villain deck luck the second attempt, though, and was able to get one of my decks up and running before too many tough cards piled up."
,,6,Dre 2 point 0,32,50,82,1st,Yes (4),5th,28 (3),1st,0 (4.5),6th,2.929 (2),13.5,,18,16,Dr. Strange (Illuminati),Wolverine (X-Force),4,4/5,"Not a particularly difficult setup, so I’m afraid my one game I could play will have been too slow to make it into the next round."
,,7,ItStartsWith1,49,39,88,1st,Yes (4),7th,32 (1),1st,0 (4.5),7th,2.75 (1),10.5,,10,24,Jean Grey,Lady Thor,4,4/5,"Left hand was mostly a Jean Grey Covert deck, thinned down pretty very small thanks to IW and rescued a lot of bystanders. Right hand utilized the Thors Corps with Lady Thor for a couple a bit turns with her uncommons and rare."
,,-,Zer00verride,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
25,Loki's Clone Saga,1,Redblock,46,15,61,1st,Yes (4.5),1st,21 (7.5),1st,0 (7),1st,2.905 (7.5),26.5,,31,0,Elektra,Symbiote Spider-Man,4,4/5,"Hand 1 made spider combo, hand 2 was just removing high cost cards from HQ."
,,2,Roy_Boy,38,39,77,1st,Yes (4.5),5th,29 (4),1st,0 (7),3rd,2.655 (6),21.5,,1,0,Iron Man,Cyclops,3,3/5,"First game went pretty poorly, got 2 Ymirs early game and barely didn't lose. 2nd game went much better, early Thor rare and 2 uncommons got him in his groove. KO'd 15 wounds in each game. Good for Wolverine, but not very enjoyable"
,,3,NukinFoobs & N3m3sis,28,36,64,1st,Yes (4.5),3rd,26 (6),1st,0 (7),5th,2.462 (4),21.5,,8,2,Colossus,Hulk,4,4/5,Our first game went horrible starting with 3 rares in the HQ. Our 2nd game was more efficient with our original plan of stacking wounds and either drawing through them with wolverine or using them to get more attack with colossus and hulk.
,,4,Mangostrike,37,24,61,1st,Yes (4.5),1st,21 (7.5),7th,2 (2),1st,2.905 (7.5),21.5,,13,1,Hulk,Iron Fist,4,4/5,"Wolverine/Hulk combo so well, and managing to draw both Iron Fist & Thor's rares on the last turn resulted in drawing my entire deck and dealing 37 Attack / 13 Recruit! Did much better when I tried to get both Instinct and Strength into both hands instead of separate hands."
,,5,Coyote81 & ElZappo,66,11,77,1st,Yes (4.5),6th,31 (3),4th,1 (4),4th,2.484 (5),16.5,,55,15,Black Widow (Avengers),Angel,3,3/5,"Black Widow does what she does.  Had one escape sadly, hoping it doesn't cost us."
,,6,Kharg,23,43,66,1st,Yes (4.5),4th,27 (5),4th,1 (4),6th,2.444 (2.5),16,,20,4,Forge,Wolverine (X-Force),4,4/5,"I'll try to remove the second from my memory. HQ stalled by 2 rares at the start, later 3 and we actually lost to the scheme on turn 15. Horrible game.

First went much smoother. The two decks I hoped to build with my hero choice went very well and Thor pretty much never showed up which was ideal. Sadly we couldn't having an escape we strong early villains, but I hope it's enough!"
,,7,Bronson,46,42,88,1st,Yes (4.5),8th,36 (1),4th,1 (4),6th,2.444 (2.5),12,,4,8,Cyclops,Colossus,2,2/5,That scheme inevitably had the worst timing. I struggled to come up with a good defense  based on the extra heroes available - interested to see what others did. Hope that this isn’t the end but if it is loved it!
,,8,AntDude & WaspWoman,50,22,72,1st,Yes (4.5),7th,35 (2),8th,3 (1),8th,2.057 (1),8.5,,28,5,Forge,Iceman,3,3/5,"The best-laid plans of bugs and heroes often go awry. Had a real hard time getting attack cards in the HQ. And as always, The Leader only shows up when he’ll push a villain out of the city. Great tourney, looking forward to the next!"
26,EPIC J. Jonah Jameson's Dark Reign of H.A.M.M.E.R. Officers,1,Remington Chase,52,16,68,1st,Yes (7),1st,27 (8),1st,0 (6.5),1st,2.519 (8),29.5,,36,0,Banshee,Psylocke,3,3/5,"My first game went horribly. Fortunately the second was much better. Piercing energy seemed like a solid strategy to handle JJJ and the Uru-Enchanted Weapons. But Man-Thing, Kuurth, and Greithoth ended up being mostly dead weight."
,,2,Wicked.pepper,35,26,61,1st,Yes (7),2nd,28 (7),5th,1 (3),2nd,2.179 (7),24,,9,9,Hercules,X-23,1,1/5,Man this setup wasn't easy. You get overrun with so much recruit easily. First game ended in 8 turns with 4 twists almost back to back. Second game I managed to keep 1 deck balanced. Had to lean hard on KOing recruit power. Luckily I had the Heartless Computer Scientist and 2 Bioengineered Assassins. Would not have made it otherwise. 1/10 would not play again.
,,3,Iburnicus,41,28,69,1st,Yes (7),3rd,33 (6),5th,1 (3),3rd,2.091 (6),22,,13,2,Goliath,Hulkling,1,1/5,"i absolutely hated this set-up and won only due to extreme luck in game 2!
game 1 was a turn 11 loss with 2vp...
game 2 ended extremely close to a loss,with only scheme twists and the sisterhood-trap left in the villain deck!
way too many things going on at the same time!"
,,4,Snash108 & SBPKECN,36,24,60,4th,No (3),6th,30 (3),1st,0 (6.5),4th,2 (5),17.5,,12,2,Banshee,Psylocke,4,4/5,"Brought some piercings energy along to attempt to shred JJ and the Mighty on one side, while the other focused on managing the scheme. Came pretty close also. JJ only had no tactics left, and he would have been exterminated the next turn!"
,,5,myomes,23,37,60,4th,No (3),5th,32 (4),1st,0 (6.5),5th,1.875 (4),17.5,,14,10,"Nerkkod, Breaker of Oceans","Nul, Breaker of Worlds",4,4/5,"I was enjoying myself in both games until back to back scheme twist hit me. First game I only had the final blow left bit I forgot to count my V.P. and bystanders,  but I know it happened in 24 turns. This is the results from my second try, since I forgot to track the first one. I know im out, so I'll see you in the next tournament."
,,6,Drewfusmcge,22,18,40,4th,No (3),7th,28 (2),1st,0 (6.5),7th,1.429 (2),13.5,,4,2,Banshee,Havok,2,2/5,Rip. My streak of losing my second match in round four continues! Tried to do some PE shenanigans with Banshee but never got the cards needed to do it. Oh well. See ya in winter!
,,7,hatephd,27,16,43,4th,No (3),4th,33 (5),8th,3 (1),8th,1.303 (1),10,,11,1,"Nul, Breaker of Worlds","Skirn, Breaker of Men",4,4/5,I chose poorly. Should have done PE heroes instead of burning  through the other foes of Asgard heroes. Fun while it lasted though.
,,8,MrTince,30,13,43,4th,No (3),8th,27 (1),5th,1 (3),6th,1.593 (3),10,,17,2,Howard the Duck,"Nul, Breaker of Worlds",3,3/5,"Hard Setup withe the HAMMER agents and Angry Mob also requiring management, made harder by the fact I didn't build any KO mechanics into the heroes."
,,,,                                                              Eliminated ,,,,,,,,,,,,,,,,,,,
E2,Red Skull's Legacy Virus,1,ChuckBauer,44,19,63,1st,Yes (5),2nd,21 (6.5),1st,0 (7),1st,3 (8),26.5,,25,13,Iron Man,Storm,4,4/5,"Strong tech deck, and an OK Ranged deck."
,,2,Off the Cuff,40,18,58,1st,Yes (5),2nd,21 (6.5),1st,0 (7),2nd,2.762 (7),25.5,,22,6,Hawkeye,Iron Man,4,4/5,Why do I never get the Black Widow engine working?
,,3,Jmaster1324,45,5,50,1st,Yes (5),1st,19 (8),4th,1 (4),3rd,2.632 (6),23,,40,6,Captain America,Nick Fury,4,4/5,I forget how hard Core can be. I totally forgot to add a Range hero so my first try I got destroyed by EoA but I built tech really hard on the 2nd run. Though my Black Widow deck kinda dominated so my other deck didn't get much done.
,,4,lasombra81,51,19,70,1st,Yes (5),7th,31 (2),4th,1 (4),4th,2.258 (5),16,,32,20,Iron Man,Thor (Avengers),4,4/5,-
,,5,Canis,37,24,61,1st,Yes (5),4th,28 (5),7th,2 (1.5),5th,2.179 (4),15.5,,13,10,Iron Man,Hawkeye,4,4/5,"went iron man black deck on the left, and black widow red, on the right, red side was slower but and more damage at the end and ended up with more of the tactics. but the black deck had more villains each time, so had a bigger score, overall fun game and got to use my two favorite heroes"
,,6,Jalt08 & KatieAlt,23,31,54,1st,Yes (5),5th,29 (4),4th,1 (4),7th,1.862 (2),15,,8,4,Iron Man,Hawkeye,4,4/5,Fun and easy set up.
,,7,Guru Mike & MargaretWestlake,28,34,62,1st,Yes (5),6th,30 (3),7th,2 (1.5),6th,2.067 (3),12.5,,6,17,Iron Man,Hawkeye,3,3/5,"Our first game was horrible. Several scheme twists came out before we even had a chance to recruit any Tech, and we got dinged with one of the Ymirs before either of us had a chance to recruit any Ranged. The second game went much better."
,,8,Montax30,18,24,42,8th,No (1),8th,28 (1),1st,0 (7),8th,1.5 (1),10,,6,13,Captain America,Hawkeye,3,3/5,Embarrassing that I didn't hit Red Skull once in any of the playthroughs. The Scheme combined with the Enemies Of Asgard hindered me from making big moves
