Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,-,iceflake,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
4,The Grim Reaper's Master of Tyrants,1,Kharg,43,65,108,1st,Yes (4),3rd,33 (4.5),1st,0 (6),1st,3.273 (7),21.5,,22,2,Lady Thor,Captain Marvel,4/5,"I chose Lady Thor and Captain Marvel to go with Ms. America, letting the other 2 heroes be there as support. It went well in the first game, but both hands had similar decks and sometimes took cards that would have been better for the other hand. The second game was 2 turns longer, but no escape and way more VP so I went with that one. Decks were pretty similar to the first game, but with more presence with Squirrel Girl and Darkhawk since their cards came up earlier."
,,2,Coyote81 & ElZappo,35,78,113,1st,Yes (4),6th,36 (2),1st,0 (6),2nd,3.139 (6),18,,43,4,"Namor, the Sub-Mariner",Old Man Logan,3/5,"Master of Tyrants scheme is a little boring, but the rest of the setup was fun."
,,3,Forever A Team,29,16,45,1st,Yes (4),1st,22 (7),1st,0 (6),7th,2.045 (1),18,,13,3,Hellcat,Photon,5/5,Played with my son and we also crushed it in the second game! Had a blast! Thank you for setting this up!
,,4,Dre 2 point 0,39,27,66,1st,Yes (4),2nd,29 (6),4th,1 (3.5),6th,2.276 (2),15.5,,12,3,Captain Marvel,Proxima Midnight,4/5,Had some good synergy with Captain Marvel and Ms. America on the left and Proxima  Midnight and Darkhawk on the right. I think my decks got too huge though. Not enough KO power.
,,5,Off the Cuff,72,59,131,1st,Yes (4),7th,42 (1),4th,1 (3.5),3rd,3.119 (5),13.5,,13,12,Quicksilver,War Machine,5/5,"Twist #1: Whiffed
Twist #2-7: All on the same Tyrant Villain"
,,6,The Rolling Meeple & Panda Meeple,61,33,94,1st,Yes (4),5th,34 (3),6th,3 (2),4th,2.765 (4),13,,28,3,Superior Iron Man,Captain Marvel,4/5,"Great team and not a terrible scheme made for a really fun setup. Game 2, Rolling got to use Darkhawk's superpower on his rare and another Hyperspeed for a whooping Hyperspeed 13, counting both recruit and fight."
,,7,aurelie,48,36,84,1st,Yes (4),3rd,33 (4.5),7th,5 (1),5th,2.545 (3),12.5,,12,1,Apocalyptic Kitty Pryde,Captain Marvel,4/5,thanks for this opportunity! I hope i'm not already out!
,,-,Ashyy,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
,,-,Guardian06,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
5,Ego's Ragnarok,1,Cerberin,62,39,101,1st,Yes (4.5),7th,33 (1.5),1st,0 (6.5),1st,3.061 (8),20.5,,23,29,Rocket & Groot,Valkyrie,5/5,"It was a fun and challenging setup! I was on 4 out of 5 Guardians Defeated when I destroyed the city. Valkyrie was exeptionally good in this game combined with the Warriors Three. Right Hand used her Rare multiple times to deliver serious damage, while Left hand with only 14 cards in the deck by the end of the game utilized her thrown artifact combo with Draw card engine. In their respective final rounds Right had gathered 30 recruit and 22 attack (thanks to excessive kindness combo of Mantis and Groot) and Left side had managed to get 42 attack which was an overkill on Moloid and a 4 attack Ego! Fenomenal game really!"
,,2,OllieKitKat & Kylah15,13,19,32,1st,Yes (4.5),2nd,21 (7),1st,0 (6.5),7th,1.524 (2),20,,6,3,Thing,Silver Surfer,4/5,"Our first play through had a significantly higher PPT, but it was around 7 or 8 turns higher.  We opted to submit the lower turn count in hopes it's good enough."
,,3,myomes,66,23,89,1st,Yes (4.5),7th,33 (1.5),1st,0 (6.5),2nd,2.697 (7),19.5,,43,30,Black Cat,Invisible Woman,4/5,All bystanders except Damage Control (which was still in the villian deck) was rescued thanks mainly to Invisible Woman. I forgot how much fun Ego is as a mastermind. Won both attempts.
,,4,Babybreloom,27,35,62,1st,Yes (4.5),3rd,23 (6),6th,2 (2.5),3rd,2.696 (6),19,,8,14,Black Cat,Moon Knight,4/5,Moon Knight and Black Cat ended up being the winners of this set up!
,,5,Mikeygill97,24,6,30,1st,Yes (4.5),1st,17 (8),6th,2 (2.5),5th,1.765 (4),19,,18,9,Thing,Beta Ray Bill,5/5,1st game was the better game. I was able to get all three Big Hands in my deck and focused the recruit to have extra cards and the final time 3 times I hit Ego I had over 40 attack points!
,,6,CaptainMetroidica,21,29,50,1st,Yes (4.5),4th,24 (5),5th,1 (4),4th,2.083 (5),18.5,,8,7,Invisible Woman,Moon Knight,5/5,"I got a LOT of KO early on. The Hydra deck was drawing its full deck every turn, and the S.H.I.E.L.D. deck was drawing its full deck about every other turn. Once I got going the game ended very quickly. Second game didn't go so well, but I still had fun! Ego was very interesting and I look forward to playing against him again in the future!"
,,7,Justitiana,25,24,49,1st,Yes (4.5),5th,29 (4),1st,0 (6.5),6th,1.69 (3),18,,1,4,Thor (Heroes of Asgard),Beta Ray Bill,2/5,"I did not enjoy missing my sidekicks, special officers, special bystanders and even grievous wounds. Dismissing that, the setup was alright. I did not get any points from defeating Ego, although he was defeated 8 times. Feast and Doombot Legion took some pretty heavy hits on both decks, but victory was ensured with no escapes. Last turn (29) was a crazy 20 attack from two mjolnir's both being thrown two times and an also twice thrown stormbreaker for an even more impressive 24 attack (5 discarded cards for the first throw, 7 for the second). With 12 attack leftover from other cards as well it was pure overkill. The city was already completely empty and Ego just needed 6, 5 and a final 4 attack to die. The one and only guardian that did not defeat the villains in the City was Balder. It was kind of nice to have that many scheme twists that did not negatively impact the game. On the other hand, there weren't too many points to score because of that too, but the game was relatively short.

Deck building wise: Hand 1 went for Mr. Fantastic support cards (draw 2 cards x 2 and 'focus: draw an extra card' x 1) in the beginning. Later added two Mjolnirs and a few Beta Ray Bill commons. Eventually managed to get Beta Ray Bill's rare and a Stormbreaker. Lost its only uncommon Thor to Demogoblin's Feast, which hurt at the time, as it made Mjolnir loads better and with lots of other worthy cards that drew cards it was a powerhouse on its own.

Hand 2 went for Selfless/Selfish as a support strategy, but ended up playing it as Selfish instead of Selfless more often. It dIdn't really matter as some early master strikes added 2 wounds to both Hands. Bridqe Conqueror was only nice in the early game, later on nothing reached as far as even the Rooftops. Warrior's Three uncommon was part of the attack cards, and this deck also had a few Beta Ray Bill commons and finally added one Stormbreaker. I don't think it was used effectively though in this deck. 

Overall, having Ego (or Ronan the Accuser) as a Mastermind is not among my favourite Masterminds, because you score so incredibly few points. Even if I had hit 6 bystanders (which could perhaps be expected inn 8 defeats), the scores would not have been great. I would partly for that reason not want to play this setup again. It's also shocking how much I missed the special bystanders, officers and sidekicks. It made a huge difference. The Officers might as well not have been there at all, as I bought none and the sidekicks were missed dearly."
,,8,mattrtlsnk,20,19,39,1st,Yes (4.5),6th,30 (3),8th,11 (1),8th,1.3 (1),9.5,,1,14,Scarlet Spider,Human Torch,4/5,"Interesting set up
"
,,-,RennerFC,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
6,Thanos Weaves a Web of Lies,1,MrTince,35,55,90,1st,Yes (6),2nd,28 (7),1st,0 (7),1st,3.214 (8),28,,20,20,Professor X,Scarlet Spider,4/5,"Spidey deck to the left and iceman deck to the right, it was a great game with so many fun keywords. Nerkodd helped the right hand side a little."
,,2,Iburnicus,60,13,73,1st,Yes (6),1st,24 (8),4th,1 (5),2nd,3.042 (7),26,,47,10,Star-Lord,Professor X,3/5,"first game gave me a lot of knowledge on what to do on the retry , the 2nd try i got so much value running a ice man/star lord artifacts side, my picks where based on cycling through the hq to the ice man/ranged cards with professor x and star lord provided great artifact synergy's against thanos. it worked out wonderfully while i must admit the first try was much less amazing."
,,3,R3DJ0N,42,43,85,1st,Yes (6),4th,31 (5),1st,0 (7),3rd,2.742 (6),24,,1,26,Bishop,Jean Grey,4/5,"I went with some heroes to try to help Iceman hit his big ramp, he barely bothered to show up either game unfortunately. Symbiote Spider-man was all over the hq so a lot of his cards ended up in the bound souls pile or KO'd to Phalanx because I didn't add any tech. My first game I didn't see any gems until near the end so I barely won. The second game went a little better with 5 gems captured for most of the game. Jean Grey helped a lot to not have to worry about the scheme. But Bishop was great in giving KO power and extra recruit from Phalanx KOs."
,,4,Grey Warden & Blue Queen,61,22,83,1st,Yes (6),5th,34 (4),1st,0 (7),5th,2.441 (4),21,,39,19,Gamora,"Skirn, Breaker of Men",5/5,Skirn and Spidey was just overkill haha and I managed to get all 3 of the Shadowed Spiders counting my New Recruits each turn! Queen pulled a Gamora game with e of the Most Dangerous Woman in the Universe plus 90% of the Gems lol
,,5,NukinFoobs & N3m3sis,12,66,78,1st,Yes (6),3rd,30 (6),7th,3 (2),4th,2.6 (5),19,,54,18,Bishop,Punisher,3/5,Both games had very similar final stats with just a few differences
,,6,Jmaster1324,22,31,53,6th,No (2),6th,37 (3),5th,2 (3.5),7th,1.432 (2),10.5,,9,14,Star-Lord,Ghost Rider,3/5,It is very easy to forget to buy bystanders for Web of Lies. I was super close to winning too. Just 1 tactic and final blow left. Star-lord just didn't show up like he should have. R.I.P. in peace
,,7,FlipFlopManiac,14,53,67,6th,No (2),7th,34 (2),8th,4 (1),6th,1.971 (3),8,,39,19,Jean Grey,Bishop,3/5,"My first three turns were Time Gem into Space Gem, Shreik, Shreik.  All four of my escapes happened before turn 9.  Got a Iceman/Bishop deck online and was set to hit Thanos three times in one turn to finish the game but his Centuries of Envy tactic came up and I had to discard a gem so his fight went from 12 to 14 and caused me to fall two attack short of ending the game.  Next turn was the seventh twist."
,,8,JParnell,19,15,34,6th,No (2),8th,28 (1),5th,2 (3.5),8th,1.214 (1),7.5,,4,9,Elektra,Professor X,3/5,"First game turned up a starting HQ of 5, 5, 6, 6, and 7 and after not being able to recruit a *single* card in the HW by turn 8, I threw in the towel hoping for better days in the second attempt. 
(foreshadowing)
In Game 2, despite both decks generating between 30 and 60 attack in seven turns in a row(!) at the end of the game, the city filled up early and the Twists and strikes came late, in an exact order to be always one behind the Scheme to not allow me to touch Thanos even once. Off to the lower bracket we go."
,,-,Jinjoz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
