Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
,,2,ClobberinTime & megablueJJ67,42,41,83,1st,Yes (3),2nd,33 (3),2nd,2 (3),2nd,2.515 (3),12,,23,3,Banshee,Rogue,4/5,"This was a tough setup. Deathbird's master strikes and mastermind tactics kept entering the city. Scheme twists and wounds were passed back and forth between players. We found ourselves relying on Banshee and Polaris's piercing energy . It was a challenge, but we did pretty well all things considered!"
,,3,kata124,39,59,98,1st,Yes (3),3rd,42 (2),4th,5 (1),3rd,2.333 (2),8,,25,0,Banshee,Iceman,2/5,"Wound-mageddon is real. There was also a lot of variability early on. First game was devastating with nearly all schemes coming out at once in the first half. Second game went much better with only a few schemes at the start and early Bishops KO-ing the angry mobs. Left hand was focused on piercing and right hand focused on recruit with Silver Surfer. Hero picks: I wouldn't be surprised if everyone picks Banshee. The covert/ranged triggers and piercing meshed really well. I thought Iceman would do better than he did but I also didn't see his uncommon until the end of the game. If I could choose again, I would have kept Banshee along with someone that KOs really well. Even with a better start, the second game dragged and ended with barely any wound deck and only one card in the villain deck. I'm really surprised I was able to win and luck was definitely a factor."
,,4,Jerzin,45,25,70,4th,No (1),4th,43 (1),3rd,3 (2),4th,1.628 (1),5,,10,1,Banshee,Mirage,2/5,"I really hate this scheme! So many twist, with Deathbird's Master Strike even more wounds! I rather choose blue and red heroes for KOing the Scheme Twists, than KOing the Wounds with example Wolverine..And lots of Schemes came very quickly. Man i hate this stuff!"
23,Thanos' Massive Earthquake Generator,1,ItStartsWith1,42,25,67,1st,Yes (1),1st,34 (1),1st,0 (1),1st,1.971 (1),4,,2,0,Iron Fist,Drax the Destroyer,4/5,Left hand got to live the dream. A Str/Inst deck got to finish Thanos with Iron Fist and Drax ultimates together for 2 hits. Wow. Right hand was a crafty tech deck featuring Rocket and Punisher that KOd every grey card (almost too quickly!). Overall got very luck with Strike and Twist timing.
,,-,Etheron/atom426,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
,,-,Adam_Friend & Krondor,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
,,-,SilverGetzu,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
24,Stryfe Invades the Daily Bugle News HQ,1,FlipFlopManiac,52,34,86,1st,Yes (2.5),1st,27 (4),1st,0 (3),1st,3.185 (4),13.5,,14,4,Domino,Forge,4/5,BFG was in the initial HQ so MCU side was dedicated to grabbing Reboots and all the tech triggers to get it going.  Comic side was pure Black Widow and ended up securing the win when Stryfe's final tactic was Psychic Torment letting me shuffle and find the Covert Operation I had bought that turn for a +13 attack.
,,2,Barrit,44,54,98,1st,Yes (2.5),2nd,32 (3),1st,0 (3),2nd,3.063 (3),11.5,,9,2,Domino,Forge,3/5,Player 1started out good then at the end he did nothing.
,,3,Montax30,73,20,93,1st,Yes (2.5),3rd,33 (2),1st,0 (3),3rd,2.818 (2),9.5,,15,1,Scarlet Spider,Angel,5/5,It's very rare that I play with Black Widow and Angel just because it seems a bit unfair lol. I loved seeing the bystander count ramp up. Nick fury played well in both hands. Black Cat and Scarlet Spider seemed like the right pair for the other hand but I probably should have went with Spider woman. Especially to avoid the wounds from the Enemies Of Asgard. I was worried about not having an X Force hero in my deck but didn't hinder me too much.
,,4,bdst,64,43,107,1st,Yes (2.5),4th,40 (1),4th,1 (1),4th,2.675 (1),5.5,,16,0,Domino,Forge,3/5,It was a lot tougher than I expected
