Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
18,Galactus Breaks the Planet Asunder,1,Avataristche,76,25,101,1st,Yes (4.5),1st,21 (8),1st,0 (7.5),1st,4.81 (8),28,,51,11,Ant-Man,Invisible Woman,4,4/5,First try went so poor i didnt even bother calculating. The second time red side came thru
,,2,Enoc & Rowan,44,57,101,1st,Yes (4.5),3rd,25 (5.5),3rd,1 (5.5),2nd,4.04 (7),22.5,,13,18,Caiera,Silver Surfer,5,5/5,"Caiera was surprisingly symbiotic with Wasp and the Smashers (including Caiera) were also really good with Photon. Really fun team.

Won both games, in game two (the one we used) my wife generated 36 damage in one turn!"
,,3,Cerberin,47,43,90,1st,Yes (4.5),3rd,25 (5.5),1st,0 (7.5),4th,3.6 (5),22.5,,4,5,Ant-Man,"Miek, the Unhived",5,5/5,"Scheme tried to screw me at some point getting 3 scheme twist in a row, KOing only 5 cards in the process fortunatelly. Left hand focused on Instinct+Covert+some Ranged with mix of Miek, Wasp and Photon, while right was using solid Tech+Strength combo with Hulkbuster and Ant-man. Fun and entertaining setup for sure!"
,,4,Spark001,66,51,117,1st,Yes (4.5),5th,30 (4),3rd,1 (5.5),3rd,3.9 (6),20,,15,24,Black Knight,Hiroim,4,4/5,"Always found Galactus a challenge in any scheme, however found this scheme quiet tough going with the sheer volume of heroes included yet found a decent combos of left hand focusing down hard on red (covert) and the right g as be on blue (ranged).
 Found the first game hard even though some high level cards came out mid game and only just past it before the 6th scheme caused a loss, yet the second game saw Hiromi’s ultra come out in the starting HQ so found it easier to build up the bystanders for going against Galactus heralds.
 All in all another good game."
,,5,Iburnicus,25,49,74,1st,Yes (4.5),2nd,24 (7),7th,4 (1.5),5th,3.083 (4),17,,24,9,Wonder Man,Scarlet Witch,4,4/5,"won both games, chose the one with less overall turns but one escape more (first game was 30 turns) had both ranged and covert focused sides respectively in both games and that worked quite well! pretty proud of the fact i defeated thanos, apocalypse and galactus already in this season tournament XD"
,,6,MrTince,64,34,98,1st,Yes (4.5),8th,33 (1),5th,2 (3.5),6th,2.97 (3),12,,30,5,Ant-Man,Scarlet Witch,4,4/5,"Screw you Morg! Literally had good strong cards in the HQ and then that damn Morg would come in and send them away! *Breathe*
Managed to build two good decks, a strength/tech/draw deck and then a range/covert deck."
,,7,Dre 2 point 0,56,31,87,1st,Yes (4.5),6th,31 (2.5),5th,2 (3.5),8th,2.806 (1),11.5,,25,11,Hiroim,"No-Name, Brood Queen",5,5/5,"Not sure how this game could have gone better, despite how close it was. Just the Sewers we’re left for the last 3rd of the game or so. I saw every rare card but couldn’t recruit a single one before Morg tucked them or the scheme KO’d them."
,,8,Zer00verride,58,31,89,1st,Yes (4.5),6th,31 (2.5),7th,4 (1.5),7th,2.871 (2),10.5,,27,9,Gladiator Hulk,Invisible Woman,4,4/5,"Galactus following my last game against Apocalypse. Have i upset you in some way Bagel?I hear Red skull has been considering an evil scheme involving kill bots, maybe he might go for it for my next game?
I basically got lucky in this game. A combination of 2 of the Rings resulted in being able to buy Photon's rare on turn 5 which gave me a really strong foundation to allow everything to get moving. I was unsure of which heros to take so just went with 2 solid strong heros and that worked out well, invisible woman always being strong in pretty much any setup."
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,
19,Carnage's Epic Super Hero Civil War,1,Bronson,35,26,61,1st,Yes (5),1st,21 (9),1st,0 (5.5),1st,2.905 (9),28.5,,9,1,Iceman,Bishop,3,3/5,Wife: “Carnage is an asshole; he ate my Iceman”
,,2,NukinFoobs & N3m3sis,27,32,59,1st,Yes (5),3rd,23 (6),1st,0 (5.5),3rd,2.565 (7),23.5,,5,3,Black Panther,Hulkling,4,4/5,Game 1 went well but game 2 was extremely efficient. The strength heroes really showed off in this one!
,,3,ItStartsWith1,30,23,53,1st,Yes (5),2nd,22 (8),1st,0 (5.5),7th,2.409 (3),21.5,,7,2,Cloak & Dagger,Iceman,4,4/5,"This game was never in doubt. As soon as I saw Cpt Marvel, I immediately pulled out Iceman. The 2, with Thor Corps helping, pulled their weight and then some. Overall very happy with the hero deck, everyone was useful."
,,4,Roy_Boy,47,14,61,1st,Yes (5),3rd,23 (6),9th,1 (1),2nd,2.652 (8),20,,33,2,Lady Thor,"Namor, the Sub-Mariner",2,2/5,"Well, if this is indeed my last round in the tourney, at least I got to play with almost all of my sidekicks, wounds, and bystanders! Having the KO heavy combo was fun to a point - I didn't like playing this setup competitively because I got so in my head about which cards to KO from the HQ"
,,5,Grey Warden & Blue Queen,25,38,63,1st,Yes (5),7th,25 (3),1st,0 (5.5),4th,2.52 (6),19.5,,13,2,Cloak & Dagger,Lady Thor,4,4/5,Played our 1st game ending at midnight lol had no choice but ti submit this one. Hope we did well!
,,6,ChuckBauer,27,31,58,1st,Yes (5),6th,24 (4),1st,0 (5.5),6th,2.417 (4),18.5,,4,1,Lady Thor,Thanos,5,5/5,"Colossus definitely ended up being my MVP, as I scored his rare on turn 7!!! From then on was able to funnel all of them other sides wounds over there for super sized hands!!

Thought about bringing Iceman instead of Thanos, but the dual class synergy with Storm and Black Panthers rare was too good to pass up.

Actually did pick up 4 of the 5 rares over the course of the game. Incredible!!"
,,7,Forever A Team,22,23,45,1st,Yes (5),3rd,23 (6),1st,0 (5.5),8th,1.957 (2),18.5,,1,2,Ghost Rider,Moon Knight,5,5/5,"Another fun couple of games! Let my son choose two of his favourites in Ghost Rider and Moon Knight, which made it even more enjoyable! Thank you again for setting this up and allowing us to be a part of it!"
,,8,Off the Cuff,32,32,64,1st,Yes (5),8th,26 (2),1st,0 (5.5),5th,2.462 (5),17.5,,0,3,Hulkling,Lady Thor,5,5/5,"I was expecting the worst, but this was a lot easier than I thought"
,,9,Jalt08 & KatieAlt,20,36,56,1st,Yes (5),9th,31 (1),1st,0 (5.5),9th,1.806 (1),12.5,,16,0,Black Panther,Lady Thor,2,2/5,"Feast plus Super Hero Civil War makes for a very stressful game. Neither of us could build momentum until almost turn 20 due to wounds, KO’ing good heroes or villains that cost too much filling up the city."
20,Stryfe's Super Hero Civil War,1,Mangostrike,29,22,51,1st,Yes (4.5),1st,17 (7),1st,0 (5),1st,3 (7),23.5,,7,0,Bishop,Iceman,4,4/5,"Submitted my second game as the first one I recruited a hero with only 5 left in the hero deck, then drew a twist on the next turn before landing final blow! Needed to pull out a solid combo to stay in the tournament and Iceman/Bishop did their thing well (and fast too!)"
,,2,Baldulf,42,38,80,1st,Yes (4.5),5th,27 (3),1st,0 (5),2nd,2.963 (6),18.5,,4,6,Black Widow (Avengers),Forge,4,4/5,"Fast, fun setup. I had a plan, I stuck to it, and it came together really well on the first attempt."
,,3,Ceej,31,44,75,1st,Yes (4.5),4th,26 (4),1st,0 (5),3rd,2.885 (5),18.5,,13,2,Iceman,Storm,5,5/5,"This was going to be a race to beat the Scheme Twists, and none of the Villains nor the Mastermind were particularly massive, so I wanted a setup that could produce moderate amounts of Attack quickly. The Scheme is actually a benefit in that case, because you're likely to see the majority of the Hero deck. That makes it reasonable to base the strategy around specific cards or card types, at least so long as they're not the Rares. I decided to have one player focus on getting lots of Hero colors and buying up Cap's ""Perfect Teamwork"", while the other player would go mono-Blue with Iceman and Storm's cards to get synergy going quickly.

The mono-Blue side worked like a dream, although the true MVP ended up being Cable's ""Strike at the Heart of Evil"". With card-draw from Storm and Iceman, several times I was able to get three of that card in play on the same turn, which is enough to hit Stryfe even if he's fully pumped up on Master Strikes. Once I was able to hit him twice and clear two large Villains in the same turn, and at least twice I was able to play my entire deck on one turn.

The multi-color Cap side worked OK the first game, not so great the second game. In both games, the mono-Blue player easily won in VP, but in the first game the Cap side was at least in the ballpark. Second game, the Cap deck never really turned over, and had a couple do-nothing turns. I actually got the win three turns faster in the second game though, which made it really hard to decide which one to submit! Ended up going with the first game; if nothing else, it's better for all three tie-breakers..."
,,4,Babybreloom,45,14,59,1st,Yes (4.5),3rd,25 (5),1st,0 (5),4th,2.36 (4),18.5,,31,2,Wolverine (X-Force),Hawkeye,4,4/5,"I made a drawing monster on one side, and a beatstick nightmare on the other! Got a bunch of KOs with early Wolverine and hit Stryfe 4 times on just that side. My plan was to use Hawkeye's rare to rescue bystanders, since 4 heroes in the deck and a few early scheme twists would make it easier to find--unfortunately, he didn't come up and I focused on smacking the mastermind when I could. Game went about 3 turns longer than it needed to--I chose to take 9 VP of villains and prevent an escape rather than fight Stryfe once--but hopefully that ends up being the right choice!"
,,5,Yeeches,11,38,49,1st,Yes (4.5),2nd,22 (6),6th,1 (1.5),5th,2.227 (3),15,,27,1,Wolverine (X-Force),Colossus,3,3/5,"Cap & Cable just didn't hit for me but Wolverine & Colossus crushed it as expected! Lost on the 1st attempt one turn from winning and won on the 2nd one turn before losing, this scheme is quite deadly!"
,,6,kata124,53,16,69,1st,Yes (4.5),6th,31 (2),1st,0 (5),6th,2.226 (2),13.5,,37,3,Black Widow (Avengers),Jean Grey,3,3/5,"Not a huge fan of pure timer schemes. Stryfe is always a lot of fun and MLF is one of the most interesting villain groups. I severely underestimated the timer in game1 and lost because I recruited too much. Game2 was much better. Black Widow and Jean Grey where okay but felt a little wasted. If I could go back, I would choose characters that hit strong early. Someone like Iron Fist, Cyclops, or even Colossus for the team affiliation."
,,7,BDub,30,16,46,7th,No (1),7th,24 (1),6th,1 (1.5),7th,1.917 (1),4.5,,14,1,Thor (Avengers),Wolverine (X-Force),2,2/5,This was a rough one. Don’t know if it was the combination of scheme and mastermind or if my strategy was just poor. I’ve heard this scheme is particularly difficult at two players.
,,-,Kyler & Talon,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
21,The Hydra Super-Adaptoid's Intergalactic Kree Nega-Bomb,1,Drewfusmcge,36,51,87,1st,Yes (6),1st,26 (8.5),1st,0 (6),2nd,3.346 (8),28.5,,15,13,Hiroim,Mockingbird,4,4/5,"One side did No-Name and Hiroim, with the other side going hard on SHIELD level (17 by the end). Not too bad! My second one went terribly so we'll see."
,,2,Redblock,39,42,81,1st,Yes (6),1st,26 (8.5),1st,0 (6),3rd,3.115 (7),27.5,,3,2,Deathlok,Bruce Banner,5,5/5,Finally got to use my newly received Shield in tournament
,,3,Wicked.pepper,54,54,108,1st,Yes (6),5th,30 (5),1st,0 (6),1st,3.6 (9),26,,0,19,Agent Phil Coulson,Hiroim,5,5/5,"Really loved the setup! First game was okay but the second hit just right. Dodged the first 4 twists, but got hit twice in the endgame. Luckily I had a good thinned out bystander Hiroim/No-Name deck and on the other hand an undercover S.H.I.E.L.D. operation raking in spies. Those last twists happened in the final 4 turns. Ended the game with 13 non-greys in the KO pile."
,,4,Loconnole & Klcgolf,28,59,87,1st,Yes (6),3rd,28 (6.5),1st,0 (6),4th,3.107 (6),24.5,,31,7,Spider-Woman,Mockingbird,4,4/5,"The combination of quake and spider woman was extremely good for us,  first round really built up way more vp at only one more turn than our second round so we went with that"
,,5,Christian_Medic & Amanda G,46,39,85,1st,Yes (6),3rd,28 (6.5),1st,0 (6),5th,3.036 (5),23.5,,7,8,Agent Phil Coulson,Mockingbird,5,5/5,My wife rocked the SHIELD heroes while I ended up getting almost all of the Black Cat cards in the deck. Brood Queen I normally love playing but we avoided her here due to the scheme and KO-Ed heroes conflict. SHIELD is a ton of fun though and nice to battle the transforming mastermind.
,,6,Guru Mike & MargaretWestlake,18,69,87,1st,Yes (6),6th,31 (4),1st,0 (6),6th,2.806 (4),20,,51,7,Mockingbird,Scarlet Spider,4,4/5,"2 of Quake's 3-star cards came out quickly, which enabled the recruit of the rare Mockingbird in the 3rd turn. From there, the SHIELD level built steadily. We avoided No-Name at first, but realized all of the Feasts were optional, but we primarily focused on the SHIELD and Spider heroes."
,,7,mattrtlsnk,31,46,77,1st,Yes (6),7th,33 (3),9th,2 (1),7th,2.333 (3),13,,15,10,Bruce Banner,Rocket Raccoon,3,3/5,Got off to a slow start. But I finally beat it.
,,8,Doormatte,47,30,77,8th,No (1.5),9th,35 (1),1st,0 (6),8th,2.2 (2),10.5,,17,10,Drax the Destroyer,Gamora,4,4/5,I can’t imagine anyone else doing worse than me. Too bad I wasn’t familiar with these heroes.
,,9,Canis,34,47,81,8th,No (1.5),8th,41 (2),8th,1 (2),9th,1.976 (1),6.5,,13,12,Agent Phil Coulson,Hiroim,4,4/5,"tried to go SHIELD on one side and Warbound on the other, and neither side could get to combos together in time, at least game two had no escapes, other than the trap i neglected"
22,Malekith Hacks Cerebro Servers To...,1,Kharg,40,25,65,1st,Yes (4.5),4th,24 (4.5),1st,0 (5.5),1st,2.708 (8),22.5,,15,19,Colossus & Wolverine,Jubilee,4,4/5,"We actually won after only 5 twists, so before revealing the unveiled scheme! My choice of hero was simple, to be able to make a Strength/Instinct deck and a Lightshow deck. First game didn't go so well, had 1 escape, the Lightshow deck was going well but Cannonball and Colossus & Wolverine refused to show up and we also had 3 scheme stacked up.

Second game went much better, both deck went pretty well with a lot of Doctor Strange cards on both side which helped get Aurora & Northstar's rare pretty early. After it was pretty much managing the city to not allow any escape, especially with the clone Henchmen."
,,2,Remington Chase,21,25,46,1st,Yes (4.5),1st,21 (8),1st,0 (5.5),5th,2.19 (4),22,,4,19,Dazzler,Jubilee,3,3/5,Lightshow strats and an early Jubilee rare made this a super fast game. The Sinister cloning also helped me get a bunch of Lightshow cards very quickly. Didn't even get to unveil the scheme!
,,3,hatephd,35,24,59,1st,Yes (4.5),4th,24 (4.5),1st,0 (5.5),2nd,2.458 (7),21.5,,11,28,Dazzler,Jubilee,5,5/5,"My first run couldn’t have gone much better, so i ran with it. Leaned into lightshow and was luckily not disappointed."
,,4,AntDude & WaspWoman,27,27,54,1st,Yes (4.5),3rd,23 (6),1st,0 (5.5),4th,2.348 (5),21,,0,19,Jubilee,Strong Guy,5,5/5,"WaspWoman really worked the combination of Doctor Strange’s artifacts and the thrown artifacts from Malekith to save up for some timely Mastermind hits. Sinister cloning, especially with Soaring Flight cards, sped up the recruiting cycle for AntDude’s Strong Guy/Cannonball deck. What didn’t show up: Lightshow. Only one Lightshow ability was used all game, despite 2 of the 5 heroes having all of their cards withe Lightshow. Fun setup, thanks Bagel. Give yourself an extra schmear."
,,5,CaptainMetroidica,48,23,71,1st,Yes (4.5),6th,29 (2.5),1st,0 (5.5),3rd,2.448 (6),18.5,,25,23,The Ancient One,Jubilee,3,3/5,"I took the Ancient One to help manage the city by effectively adding a 6th space and I am VERY thankful that I did so. That was the only thing that prevented escapes during the game. Overall, the match was so-so."
,,6,Jerzin,22,24,46,1st,Yes (4.5),2nd,22 (7),8th,2 (1),6th,2.091 (3),15.5,,2,11,Clea,Jubilee,4,4/5,"I am a big fan of Lightshow and Soaring Flight keywords! First the recruit cards with soaring flight was amazing, then soaring attack cards with lighthow made the win. Unlucky Sinister Clones pushed 2 villains from city... The scheme turned but no other scheme twist came so i am missing the fun with that part of unveiled scheme."
,,7,Montax30,28,47,75,1st,Yes (4.5),8th,37 (1),1st,0 (5.5),7th,2.027 (2),13,,19,21,Colossus & Wolverine,Kitty Pryde,5,5/5,I don't think that I'll advance but it's always a fun time with the X-Men
,,8,dontfeedthegreen,34,18,52,1st,Yes (4.5),6th,29 (2.5),7th,1 (2),8th,1.793 (1),10,,16,18,Doctor Voodoo,Phoenix,4,4/5,"Made it through part 1 with only 1 Stolen Cerebro Data so decided to stick with it. It did leave my decks a little scattered, so ran a little slow with 1 escape, but stacking up artifacts from Dr Strange and Dr Voodoo led to a comfortable Victory."
,,9,EnigmaDrake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
,,,,                                                              Eliminated ,,,,,,,,,,,,,,,,,,,
E1,Annihilus' X-Cutioner's Song,1,Astigmatic_Oracle,34,32,66,1st,Yes (2),1st,25 (3),1st,0 (2),1st,2.64 (3),10,,2,4,Cable,Scarlet Spider,4,4/5,I actually pulled off Disaster Survivalist! That never happens
,,2,FlipFlopManiac,60,29,89,1st,Yes (2),2nd,34 (2),1st,0 (2),2nd,2.618 (2),8,,31,18,Angel,Beta Ray Bill,5,5/5,"Perfect pairing of scheme and Mastermind, there was plenty of stops and starts to how fast the villain deck ran.  Domino kept showing up at just the right time to interrupt momentum or to blank a Strike.  Five of her cards got caught out by Twists and the rest that I saw helped both decks.
MCU built a mean >=2 deck with Symbi, Domino, and Wolverine's cheap stuff helped out by the Beta Ray/Angel combo of Bio-Engineered Cyborg and Diving Catch.
Comic side went Worthy and concentrated on No Mercy to thin quickly and stack artifacts to power up Weapons Master."
,,3,Jmaster1324,51,21,72,1st,Yes (2),3rd,40 (1),1st,0 (2),3rd,1.8 (1),6,,30,13,Wolverine (X-Men),Valkyrie,4,4/5,That was surprisingly fun. I wasn't expecting much going at Annihilus. Last time I got creamed by him but this time I won and tied. I probably could have won twice but he captured 2 dominos for quite a while so I kept getting multiple turns of getting close but missed by one or two.
