Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,2,(+9),18,NukinFoobs & N3m3sis,19,45,64,1st,Yes (5.5),2nd,21 (8.5),1st,0 (5.5),1st,3.048 (10),29.5,,26,6,3,6,7,6,0,0,22,Angel,Beta Ray Bill,Angel,Beta Ray Bill,Second attempt,5,Decided to go with the discard dream team of Angel and Beta Ray. Both games went pretty well but ended up being able to recruit the Beta rare in game 2 which made things go crazy. The final turn was up to 44 attack which was able to take out the 1 Villain in the city and hit the mastermind 3 times to end it.,,
,,3,(+8),18,MicroDisney0505,38,23,61,1st,Yes (5.5),4th,24 (7),1st,0 (5.5),3rd,2.542 (8),26,,15,1,2,5,8,3,1,0,19,Groot,Valkyrie,Valkyrie,Groot,Second attempt,1,NA,,
,,4,(+7),17,the.melkman. & Snapcity57,22,27,49,1st,Yes (5.5),2nd,21 (8.5),1st,0 (5.5),6th,2.333 (5),24.5,,5,1,4,7,7,3,1,0,22,The Warriors Three,Luke Cage Noir,The Warriors Three,Luke Cage Noir,First attempt,1,This curdled my melk,,
,,5,(+6),15,Wicked.pepper,44,22,66,1st,Yes (5.5),7th,27 (3.5),1st,0 (5.5),5th,2.444 (6),20.5,,22,2,2,5,5,4,0,0,16,Beta Ray Bill,Forge,Beta Ray Bill,Forge,First attempt,4,"Went with some more tech in Forge and Beta Ray Bill. BRB also helped with the a artifact/worthy side as well. Thought I could do it faster the seconde time around, but it seemed that the early 5 cost Lady Sif made the difference in the first attempt. Also the Gamora rare is insane when activated every turn.",,
,,6,(+5),15,Buya & DSCern,42,27,69,1st,Yes (5.5),9th,28 (2),1st,0 (5.5),4th,2.464 (7),20,,15,1,2,3,4,5,1,0,15,Groot,Professor X,Groot,Wolverine (X-Force),Second attempt,3,"I thought we brought along the right heroes for the first game, but their cards didn't really show up in the HQ like we wanted. So we ran it back making a swap to Wolverine (X-Force) for more KO potential with Groot. We got luckier getting more of the cards we wanted in the second attempt, albeit without getting any Ultimates. My teammate had a strong setup with Wolverine and Groot cards getting rid of most of the basic starters and I focused on Gamora getting shards. We did a better job of keeping the shards off of Supreme Intelligence so his discards wouldn't hurt us much, but he still got us a few times.",,
,,7,(+4),14,Zer00verride,23,34,57,1st,Yes (5.5),5th,25 (5.5),1st,0 (5.5),7th,2.28 (3.5),20,,11,1,4,2,7,4,1,0,18,Groot,Star-Lord,Groot,Star-Lord,Second attempt,4,These games were both so close to each other. This one was 3 turns faster but 0.2 lower vps/turn. Let's hope I submitted the right one. Was a bit of a shame that when choosing a powerful hero like Starlord he spends his time mostly hiding in the hero deck both games.,,
,,8,(+3),13,Pyromagnus & Shoshielynn,40,17,57,1st,Yes (5.5),5th,25 (5.5),1st,0 (5.5),7th,2.28 (3.5),20,,23,1,2,4,5,7,0,0,18,The Warriors Three,Groot,The Warriors Three,Groot,Second attempt,3,It was nice being able to keep to most of the same sets as last week,,
,,9,(+2),11,Swagolas,15,45,60,1st,Yes (5.5),7th,27 (3.5),1st,0 (5.5),10th,2.222 (1),15.5,,30,2,1,5,6,4,0,0,16,Forge,Star-Lord,Forge,Star-Lord,First attempt,3,"I really like to use the shards in games, so I was happy to see them appear in the tournament. I got to use some of the rare heroes, but wasn't really lucky with the draws to reach their full potential, which cost me 3 or 4 extra turns in both games. Great setup though! I was thinking about using Rocket or Punisher, but I was pretty satisfied with my choices after game 1, so didn't feel the need to change them.",,
,,10,(+1),11,Drewfusmcge,38,27,65,1st,Yes (5.5),10th,29 (1),1st,0 (5.5),9th,2.241 (2),14,,11,1,0,4,4,6,0,0,14,Forge,Star-Lord,Forge,Star-Lord,First attempt,3,"Both games were a little slow unfortunately. In game 1 I hit the mastermind really quickly the first couple times (thank you Gamora's shards!) but a series of master strikes wrecked my hands and made the Supreme Intellgience's attack shoot up. Overall not too bad, but using Star-Lord and Forge this early might hurt me. I probably should have saved Forge for a more tech heavy setup, oh well. Not too fun of a setup but not terrible either. Real standard stuff.",,
15,Astral Pain,1,(+10),18,Redblock,29,42,71,1st,Yes (5.5),1st,23 (10),1st,0 (7.5),1st,3.087 (10),33,,13,4,1,5,5,4,1,0,16,Black Widow (S.H.I.E.L.D.),Iron Man,Black Widow (S.H.I.E.L.D.),Iron Man,First attempt,4,"Getting to hands generating 6 attack AND 6 buy at the same time was astral pain, but once I got to it game ended fast. Sending fear lords straight to Astral realm with Ancient one so you evade fighting them twice was secret tech",,
,,2,(+9),18,Off the Cuff,50,23,73,1st,Yes (5.5),5th,27 (6),1st,0 (7.5),2nd,2.704 (9),28,,27,12,0,4,8,1,1,0,14,Black Widow (Avengers),Iron Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"My left hand's deck was down to 4 cards at the end of the game, 2 of which were The Ancient One's uncommons. He absolutely wrecks Nightmare.",,
,,3,(+8),17,Adrian Miller,33,25,58,1st,Yes (5.5),2nd,24 (9),1st,0 (7.5),5th,2.417 (6),28,,8,1,1,3,8,3,1,0,16,Storm,Wolverine (X-Men),I did not play a second attempt.,I did not play a second attempt.,First attempt,3,.,,
,,4,(+7),16,R3DJ0N,53,18,71,1st,Yes (5.5),6th,29 (5),1st,0 (7.5),3rd,2.448 (8),26,,35,20,1,0,7,3,0,0,11,Doctor Voodoo,Hawkeye,Doctor Voodoo,Hawkeye,Second attempt,4,"First game had too much KO and barely got the win after having to buy officers and spend everything on clearing the astral plane all late game, it was almost 0 Fear Lords until the last half then it was too many. 2nd game was the opposite but this time buying officers(because there were no recruiters in the HQ) worked out because early on I had to counter Dyspaire and early strikes. Once some doombots and other villains came out I was able to pick up Hawkeye, Nick Fury and Yelana's rares. Hawkeye's rare had some huge turns rescuing bystanders which will hopefully help the points.

For the word bubble: Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe,  Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe, Giraffe.

",,
,,5,(+6),15,Jinjoz,47,16,63,1st,Yes (5.5),4th,26 (7),7th,3 (3.5),4th,2.423 (7),23,,31,2,0,5,4,4,1,0,14,Red Guardian,Doctor Voodoo,Red Guardian,Doctor Voodoo,First attempt,4,"Game went pretty solid honestly. One recruit focused deck, one revolving around unleashing. Game.two was a lot more fun and I ended up with a combo of cards that could hot the mastermind twice in the mastermind zone and once in the astral place, but the turn count was way higher in that one sadly.",,
,,6,(+5),14,Allman,48,24,72,1st,Yes (5.5),7th,31 (4),1st,0 (7.5),7th,2.323 (4),21,,24,10,1,0,3,2,1,0,7,Black Widow (Avengers),Iron Man,Doctor Voodoo,Falcon & Winter Soldier,First attempt,4,I did more vp with  core's heroes than expansions' heroes 🙈,,
,,7,(+4),13,ElongatedMan,39,51,90,1st,Yes (5.5),9th,38 (1.5),1st,0 (7.5),6th,2.368 (5),19.5,,12,7,2,0,0,0,0,0,2,Black Widow (S.H.I.E.L.D.),Doctor Voodoo,Black Widow (S.H.I.E.L.D.),Doctor Voodoo,Second attempt,3,"TOO. MUCH. K.O.
Unsolicited statistic: P1 final deck - 6 cards and an artifact in play, P2 final deck - 7 cards and an artifact in play. I was worried I wouldn't have enough cards to finish the game.
Fun, but stressful.",,
,,8,(+3),12,sethlikespizza,25,20,45,1st,Yes (5.5),3rd,25 (8),10th,6 (1),10th,1.8 (1),15.5,,5,1,3,6,4,2,1,0,16,Iron Man,Wolverine (X-Men),Iron Man,Wolverine (X-Men),First attempt,4,The first attempt the scheme presented no threat at all but we had 4 Ultimate/Epic/High cost heroes that clogged up the HQ delaying our win.,,
,,9,(+2),10,Chapmaca7,15,54,69,1st,Yes (5.5),8th,34 (3),7th,3 (3.5),9th,2.029 (2),14,,39,5,0,0,2,3,0,0,5,Doctor Strange (Avengers),Doctor Voodoo,Doctor Strange (Avengers),Doctor Voodoo,Second attempt,3,Really tough game and took a while to get my decks going. Found it difficult to manage being able to recruit and manage the Astral Plane at the start. Not sure my hero choices were the best but Doctor Voodoo’s Medallion helped manage the scheme.,,
,,10,(+1),10,orbrover,40,41,81,1st,Yes (5.5),9th,38 (1.5),9th,4 (2),8th,2.132 (3),12,,1,15,0,2,0,0,0,0,2,Black Widow (Avengers),Black Widow (S.H.I.E.L.D.),Black Widow (Avengers),Black Widow (S.H.I.E.L.D.),Second attempt,4,"Nightmare must have a headache bouncing back and forth to and from the Astral Plane. Pretty cool mechanic they made for him. Annoying, though, because it felt like I was fighting him twice as much.",,
16,Brawny Bros in the Zone,1,(+10),18,Jean-Sebastien & Genevieve,58,24,82,1st,Yes (6),1st,23 (10),1st,0 (5.5),1st,3.565 (10),31.5,,34,21,2,5,4,7,0,0,18,Black Widow (Avengers),Iron Man,Black Widow (Avengers),Iron Man,First attempt,4,"We decided to add Attack Heroes and hoped to fight on the correct Scheme Twist. This works on 1 game out of 2, so it was not a very good plan. Black Widow and Iron Man did their thing, and we rescued lots of Bystanders.",,
,,2,(+9),17,Dr_Polygon,47,17,64,1st,Yes (6),2nd,25 (9),1st,0 (5.5),3rd,2.56 (8),28.5,,30,2,3,3,5,5,0,0,16,Mr. Fantastic,Invisible Woman,Mr. Fantastic,Invisible Woman,Second attempt,4,"I just finished my second run at Pod 16. I felt very confident about my hero choices, adding Mr. Fantastic and the Invisible Woman. My first run-through was a brutal fail (despite a late-game win) due to a run of Hydra Elites that overran the city right from the start of the game. The adapting masterminds seemed to know just when to change to keep me off balance.  I ended up with way too much recruit (nasty scheme) and it took me way too long to trim my deck enough to get Mr. Fantastic and Deathlok working. My second game, however, was much more lucky.  I recruited 3 copies of Deathlok's Reanimate into Service in the first three turns, and it was a steamroll from there. It was a devastating win. I was drawing my entire deck every turn at the end and demolishing everything in sight.  It was beautiful. The setup was well thought out, very thematic, and lots of fun. Thanks!",,
,,3,(+8),16,captaincardone & paisley5002,54,21,75,1st,Yes (6),4th,28 (6.5),1st,0 (5.5),2nd,2.679 (9),27,,33,15,0,3,5,3,2,0,13,Black Widow (Avengers),Invisible Woman,Black Widow (Avengers),Invisible Woman,First attempt,5,"Our first game handed me a perfect Widow and Sue Storm deck, with a couple master strikes at the beginning doing nothing to us. It was great RNG.",,
,,4,(+7),15,GZUZROCKS & gzuzrules,27,28,55,1st,Yes (6),3rd,27 (8),1st,0 (5.5),6th,2.037 (5),24.5,,1,1,3,2,7,2,1,0,15,Human Torch,Mr. Fantastic,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fantastic Four always works so well together—we added Mr. Fantastic and Human Torch to team up with Thing…and…it was clobbering time!,,
,,5,(+6),14,Ocs333,39,35,74,1st,Yes (6),6th,31 (4.5),1st,0 (5.5),4th,2.387 (7),23,,4,0,1,3,1,3,2,0,10,Mockingbird,Nick Fury,Mockingbird,Nick Fury,Second attempt,3,"I really don't like this scheme. Combined with the adapting mastermind there was a lot of unpredictability and lot of turns going to waste. First game was going really well. Had a clean city, quite large shield levels, got 4 out of 5 of the 7/8 cost cards (except for Nick Fury that would have been useless in that game). Then in 6 turn received 4 scheme twists and reached a very anti-climatic ending. (With 15 cards remaining in deck. Losing on 7th twist out of 8 is so baaad:). (Skrulls were shy, only 1 or 2 came appeared at all).
Second game went very stressful, always hoping for not drawing the next scheme twists and a lot of analysis paralysis (using focus and the extra recruit from hand ninjas or not, etc.) Besides thing+hulk actually Nick Fury turned out to be MVP here, his ultimate card defeated two of the four masterminds. Lot of KO here. Not much of shield level on the other hand. The ending was satisfying and had a few fun turns with 10-20 recruit + 10-20 attack in both of the games, but this setup is quite luck dependent. Yeah I also had a game-state with Zola having +19 power from the HQ and no master strike arriving for some turns in game one. So nice mechanics here with high cost, high damage heroes and skrull friends to gain them, but still it was very exhausting. ",,
,,6,(+5),13,KelgatesKollections,43,30,73,1st,Yes (6),6th,31 (4.5),1st,0 (5.5),5th,2.355 (6),22,,13,0,1,2,2,3,2,0,10,Mr. Fantastic,Mockingbird,Mr. Fantastic,Mockingbird,Second attempt,3,"Game 1 I got stuck on a Scheme twist for recruit for far too long and unable to get any hits on the Mastermind at crucial attack steps. The Thing Rare kind of fell to the wayside and I didn't get to focus that Mister Fantastic as much.

Game 2 I had a much better gameplan of having one hand being recruit heavy.(My shield side) and my heavy hitter side. (Thing/Hulk), the only issue is I didn't see a lot of Mockingbird Uncommon cards till later in the game but with the help of Mockingbird's rare. We were able to take down the team before anymore damage could be done. Thing's Rare also had a chance to help in the limelight by getting it early from an attack heavy round being recruit.

Would have had more fun if I wasn't stuck on recruit with big attack heavy turns. RIP.",,
,,7,(+4),12,Aaron4DotOh,37,16,53,1st,Yes (6),4th,28 (6.5),1st,0 (5.5),8th,1.893 (3),21,,21,0,1,3,8,0,2,0,14,Agent Phil Coulson,Captain America,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"Not much to say about this one. Had two different engines going. One was pure attack, the other was focused on building the S.H.I.E.L.D level. Got through it fairly quick, but not sure if it was quick enough to fare well in my pod. I did have a fun turn where I was able to hit Zola at his base attack because none of the HQ cards had printed attack. That was a fun turn.",,
,,8,(+3),11,zombiegamer5,41,24,65,1st,Yes (6),8th,33 (3),1st,0 (5.5),7th,1.97 (4),18.5,,17,1,1,2,3,1,1,0,8,Agent Phil Coulson,Silver Surfer,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"I definitely found the Negative Zone attack/recruit inversion interesting but it got quite nerve wracking when all I could do was a big recruit with all my attack power and not hit the final Mastermind tactic as the fatal Scheme Twist got closer and closer. Definitely a cool scheme, I probably should have chosen heroes that have more attack/recruit flexibility but I still managed to win so I won't worry too much.",,
,,9,(+2),10,Shaggy427,40,26,66,1st,Yes (6),9th,35 (2),1st,0 (5.5),9th,1.886 (2),15.5,,14,2,0,3,2,1,0,0,6,Thor (Avengers),Invisible Woman,Thor (Avengers),Invisible Woman,Second attempt,3,Kind of a challenging build that relied on getting a little lucky with schemes. My first game I drew 7 schemes and 3 strikes in 18 cards. Could never get something going as a result. Won round 2 barely because 3 scheme twists were at the bottom of the deck.,,
,,10,(+1),9,jgoodnough & Daughter,26,15,41,10th,No (1),10th,29 (1),1st,0 (5.5),10th,1.414 (1),8.5,,11,8,0,1,7,4,0,0,12,Hawkeye,Nick Fury,Hawkeye,Nick Fury,Second attempt,3,This is one of my daughter's favorite Schemes.  But it was a tough game.  Seems like the good draws were always on the wrong Twist.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Life and Deathstrike,1,(+10),17,Sandals,55,28,83,1st,Yes (5.5),1st,23 (9.5),1st,0 (6),1st,3.609 (10),31,,27,6,3,3,6,8,1,0,21,Rictor,Venompool,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Very cool game. My wife does NOT like Prey! We had a run of Henchmen so could clear a lot of grey from our decks. I went black/green and took care of the City, she went yellow and pulverised Deathstrike. Didn't see many Life Foundation which made my job easier!!!",,
,,2,(+9),16,Extra cheese & Pizza,47,34,81,1st,Yes (5.5),1st,23 (9.5),1st,0 (6),2nd,3.522 (9),30,,13,12,2,4,9,8,0,0,23,Squirrel Girl,Warpath,Warpath,Squirrel Girl,First attempt,3,"Shatter star coming really helped out, and shattering mastermind to prevent her preying. Extra cheese used the cheaper investigate and draw cards to discount spidersman his way to victory. Squirrel girl investigate and switcheroo were mvp",,
,,3,(+8),15,Techfiend,40,57,97,1st,Yes (5.5),8th,29 (2.5),1st,0 (6),3rd,3.345 (8),22,,17,14,2,3,5,7,2,0,19,Venom (Venomverse),Venompool,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Very enjoyable heroes. I really like the Venomverse set.,,
,,4,(+7),14,Iceman & Spooderman,54,38,92,1st,Yes (5.5),6th,28 (4.5),1st,0 (6),5th,3.286 (6),22,,16,19,0,3,8,5,0,0,16,Venom Rocket,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"It was very fun watching them tear through this game. They lucked out with almost no reavers entering the city apart from Skullbuster. Game would have ended much sooner, but all strikes had happen by turn 16 and they kept getting the one tactic that rebounds lol hilarious. They also rescued Detective Logan and manage to tuck TWO twists... Very lucky play through imo",,
,,5,(+6),13,snash108 & SBPKECN,80,16,96,1st,Yes (5.5),8th,29 (2.5),1st,0 (6),4th,3.31 (7),21,,64,20,1,2,6,8,0,0,17,Rictor,Warpath,Rictor,Warpath,Second attempt,5,"There's a reason Messiah Complex is one of my favorite expansions!! Tried to take advantage of Tactical Formation(as well as Strange's Uncommon), so brought Warpath to add more 2 cost cards. Additionally, his Strength card, helped Totally Awesome Hulk function better! Other strategy was Ranged/Instinct and try to shatter Lady Deathstrike to her doom! That was VERY effective!",,
,,6,(+5),12,Tozar,25,37,62,1st,Yes (5.5),3rd,26 (7.5),1st,0 (6),9th,2.385 (2),21,,12,5,2,5,8,11,2,0,28,Warpath,Venompool,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Thanks for the setup.,,
,,7,(+4),11,gscrap,35,48,83,1st,Yes (5.5),6th,28 (4.5),1st,0 (6),7th,2.964 (4),20,,13,2,2,4,6,8,0,0,20,Rictor,Man-Thing,Rictor,Man-Thing,Second attempt,3,"I know Man-Thing was not an optimal choice, but I've got to be myself.",,
,,8,(+3),10,MrTInce,74,10,84,1st,Yes (5.5),3rd,26 (7.5),10th,3 (1),6th,3.231 (5),19,,64,7,1,3,5,7,0,0,16,Rictor,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Never had such a lopsided pair of player decks.,,
,,9,(+2),9,pspblink & Adaline,42,14,56,1st,Yes (5.5),5th,27 (6),1st,0 (6),10th,2.074 (1),18.5,,28,2,4,4,10,12,0,0,30,Carnage,Stepford Cuckoos,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Would play again!,,
,,10,(+1),8,Flipflopmaniac,31,51,82,1st,Yes (5.5),10th,31 (1),1st,0 (6),8th,2.645 (3),15.5,,20,5,2,4,8,3,1,0,18,Rictor,Nova (Champions),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I usually have a bit of trouble with Lady Deathstrike and the Prey mechanic, but this time was a bit easier which I didn't expect when I had a bonded Pretty Boy multiple times among others.  The extra henchmen group from the scheme was greatly appreciated, making 5's and 6's instead of much higher numbers.  My choices were made to maximize Shatterstar so Rictor's Unearth Tectonic Power was perfect to search and cost 5, and Nova was for more ranged and flexibility (and then he never showed up...).  Left side went Instinct, Right side went Ranged, and it wasn't the quickest fight but the city got cleaned up and I only hit the shuffle tactic twice.",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Small Claims Court,1,(+10),17,Justitiana,36,37,73,1st,Yes (6.5),1st,29 (9),1st,0 (9),1st,2.517 (10),34.5,,1,7,3,6,2,2,0,0,13,Fantastic Four United,Moon Knight,Fantastic Four United,Moon Knight,Second attempt,4,"I chose Moon Knight and Fantastic Four United because they could get extra bystander. Alas, Moon Knight's rare never showed in either game, so those bystanders never happened. In Attempt 1 All 3 uncommons of Fantastic Four Uniteds were bought and did get some extra bystanders, but overall it was a game that felt much harder than Attempt 2. Moon Knight's Tech potential was also needed/useful for coutnering one of Mandarin's Tactics.

I had kind of run into the potential issues with game 1 and maybe was also a bit more relaxed when I played game 2, so it felt easier. In Game 2 KO-ing cards with Moon Knights Commons actually worked and I soon had a deck without any recruit left, it didn't have too many good cards in it, but it was sufficient to defeat problems in the city and/or the Mastermind. Also the help of the Inifinity Gems was much better in game 2. The Reality Gems helped to put Master Strikes at the bottom as they are kind of a pain with Mandarin. One of the Rings (I don't know the name) was also very useful in getting another ring for free and getting an Infinity Gem (the one with + 2 recruit; Soul Stone?) for free. The setup was also kind of hard to beat the Scheme goals. There weren't that many targets for 5 cost cards and only 4 villains in the Villain Deck were worth 3 or more VP, so defeating them when required was also a puzzle. In Game 1 that puzzle took priority, but in Game 2 I luckily just outperformed game 1 by so much that it felt like a breeze in comparison and Evil Wins wasn't even close yet when the Final Blow was dealt.

Deck 1 with deckbuilding focused more on the recruiting part and got 3 rares (Super-Skrull, Ronin and Black Cat). Eventually Invisible Woman only rescued 2 Bystanders for 2 KO's, but it still felt like the better game to me. Because the setup was intentionally (I assume) made anti-synergistic/difficult I don't give it a 5/5 fun level, but for a game with Infinity Gems 4/5 is not bad in my book. Up to next week's challenge!",,
,,2,(+9),15,Zorotok,39,26,65,1st,Yes (6.5),1st,29 (9),1st,0 (9),2nd,2.241 (8.5),33,,13,7,3,4,2,2,0,0,11,Brainstorm,Darkhawk,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun game!,,
,,3,(+8),14,AntDude & WaspWoman,23,42,65,1st,Yes (6.5),1st,29 (9),4th,1 (5.5),2nd,2.241 (8.5),29.5,,19,6,2,4,7,1,0,0,14,Gamora,Groot,Gamora,Groot,Second attempt,5,"1st attempt saw way too much Black Cat early on in the HQ, but she stayed hidden for the 2nd attempt. I guess you'd call it ""Withholding Evidence"" based on how often we ignored the scheme twist challenges so we could complete our turn as intended. Shards helped to grant the extra attack needed to hit the Mandarin or one of his 4 attack rings. Very fun setup, sharp contrast to our brutal one last week!",,
,,4,(+7),13,Loconnole & Klcgolf,28,39,67,1st,Yes (6.5),6th,33 (5),4th,1 (5.5),4th,2.03 (7),24,,11,8,4,2,1,2,1,0,10,Scarlet Witch,Star-Lord,Scarlet Witch,Star-Lord,Second attempt,4,"Interesting setup, Star Lord just didn't come to play very hard second round",,
,,5,(+6),12,Bikk Bikk,21,26,47,1st,Yes (6.5),4th,30 (7),4th,1 (5.5),6th,1.567 (5),24,,5,6,3,2,8,1,0,0,14,Psi-Lord,Hellcat,Psi-Lord,Hellcat,Second attempt,4,"I’ve never had so much success fiddling with the villain deck. Between the reality gem, hellcat, and psi-lord I was so aware what the next turn held. What a fun setup.",,
