Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,8,(+3),26,ceejatec,39,56,95,1st,Yes (5),8th,30 (2),9th,1 (1),5th,3.167 (5),13,,17,16,0,5,4,2,0,0,11,Agent Phil Coulson,Deathlok,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I decided to go heavy S.H.I.E.L.D. to see if Undercover could work for deck thinning, since there wasn't a lot of KO in the setup. I think it worked reasonably well. There were several cards that let me draw an extra card or two, which protected me from Master Strikes a number of times. I also got reasonably lucky with Scheme Twists, both not drawing many early and only having one actually wipe the HQ. The one Villain escape probably doomed this attempt to the bottom half of the pod, but I'm fighting off a cold and didn't feel up to a second playthrough.

Player 2 went almost mono-green, and got several of Groot's cards that let me KO cards, so by the end of the game I had literally no starters left and was basically playing my whole deck every turn. So that was fun.",,
,,9,(+2),24,Mikeygill97,38,48,86,1st,Yes (5),9th,32 (1),1st,0 (5.5),9th,2.688 (1),12.5,,10,19,0,2,4,2,1,0,9,Forge,Rocket Raccoon,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,BFG nuff said.,,
,,10,(+1),24,Drewfusmcge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,Your First Game,1,(+10),32,gscrap,35,23,58,1st,Yes (5),2nd,20 (8),1st,0 (6),1st,2.9 (9),28,,12,7,4,5,6,3,1,0,19,Black Widow (Avengers),Rogue,Black Widow (Avengers),Rogue,Second attempt,3,"My first Core-only game in a very long time.  It feels like I did very well, but I'm sure everybody did very well so it will be interesting to see how my attempt stacks up against others.",,
,,2,(+9),31,jiggliestpuff,12,24,36,1st,Yes (5),1st,15 (9),1st,0 (6),6th,2.4 (4),24,,12,3,3,5,10,7,1,0,26,Black Widow (Avengers),Captain America,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"All the yellow Wolverine and Hawkeye cards, plus a few tech Black Widows, made me draw enough to take advantage of Wolverine's rare. The other deck was using multicolor Cap bonuses and just general high attack from Cyclops and the rest. It was all pretty straightforward and interesting to see how much more complex this game has gotten in 12 years! It just wasn't too threatening",,
,,3,(+8),29,scootsmagoots1986,29,31,60,1st,Yes (5),7th,22 (2.5),1st,0 (6),3rd,2.727 (7),20.5,,2,9,3,3,8,2,1,0,17,Deadpool (Unaffiliated),Emma Frost,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,It was fine. I've played a lot of core box this tournament so I'm getting a little bored with the simplicity of the masterminds and schemes. Hoping for some expansions next round!,,
,,4,(+7),29,iburnicus,30,28,58,1st,Yes (5),3rd,21 (5.5),8th,1 (1.5),2nd,2.762 (8),20,,2,7,2,3,4,6,1,0,16,Black Widow (Avengers),Iron Man,Black Widow (Avengers),Iron Man,First attempt,3,"that one unlucky escape is gonna cost me,
game 2 went terribly worse smh",,
,,5,(+6),27,Astigmatic_Oracle,14,43,57,1st,Yes (5),7th,22 (2.5),1st,0 (6),4th,2.591 (6),19.5,,29,12,1,4,6,6,0,0,17,Black Widow (Avengers),Deadpool (Unaffiliated),I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"A quick game, not interesting enough for me to bother with a second attempt.",,
,,6,(+5),25,Rey Plays Games!,30,19,49,1st,Yes (5),3rd,21 (5.5),1st,0 (6),7th,2.333 (3),19.5,,11,2,1,3,6,6,1,0,17,Captain America,Hulk,Captain America,Hulk,First attempt,5,"A pretty fun and care free playthrough - though having it based on the core set and a very simple Mastermind and Scheme, the pressure was on to succeed in a decent amount of turns...! Managed to thin my deck so much due to the amount of opportunities to KO heroes and wounds...was a fun match!",,
,,7,(+4),25,Pyromagnus & Shoshielynn,20,22,42,1st,Yes (5),3rd,21 (5.5),1st,0 (6),8th,2 (2),18.5,,2,2,3,3,8,3,2,0,19,Black Widow (Avengers),Emma Frost,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Fastest game yet lol,,
,,8,(+3),24,Chapmaca7,29,27,56,1st,Yes (5),9th,23 (1),1st,0 (6),5th,2.435 (5),17,,2,3,1,6,7,3,1,0,18,Gambit,Hulk,Gambit,Hulk,First attempt,4,Enjoyed playing the starter setup again although used slightly different heroes to try and get the most out of KOing wounds. Struggled to get going on my second attempt and took 30 rounds although had more VP in total. Always a fun game and looking forward to next week!,,
,,9,(+2),23,Kb_driven,2,20,22,1st,Yes (5),3rd,21 (5.5),8th,1 (1.5),9th,1.048 (1),13,,18,6,3,4,5,5,1,0,18,Black Widow (Avengers),Nick Fury,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"It was more fun thanks to me being able to get a few of the rares and pound Red skull, but beyond that I don't really enjoy pure core games anymore.",,
,,10,(+1),21,KeeblerPowell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,Antiques Roadshow,1,(+11),30,ItStartsWith1,20,39,59,1st,Yes (5.5),1st,22 (10),1st,0 (6.5),2nd,2.682 (9),31,,19,13,2,3,9,2,1,0,17,Amadeus Cho,She-Hulk,Hulkbuster Iron Man,She-Hulk,Second attempt,3,"Had a good first game, but the second was even better. A fortuitous start allowed the “MCU” side to Build The Suit very early. From there, a lot of thinning allowed this side to start hitting Prof. X early and often, and he didn’t stand a chance after that. One of my fastest tourney wins to date!",,
,,2,(+10),29,Minos_Griffin,47,28,75,1st,Yes (5.5),4th,27 (7),1st,0 (6.5),1st,2.778 (10),29,,19,21,0,4,5,5,0,0,14,Gamora,Star-Lord,Gamora,Star-Lord,Second attempt,5,"The scheme is one of my favs, really fun game and full of strategies",,
,,3,(+9),29,Pervavita & Catswifty,30,37,67,1st,Yes (5.5),3rd,25 (8),1st,0 (6.5),3rd,2.68 (8),28,,7,13,2,2,10,1,1,0,16,Gladiator Hulk,"Miek, the Unhived",Gladiator Hulk,"Miek, the Unhived",Second attempt,4,"Both games we finished the same speed but our second game saw only gem come out so the twist did nothing the whole game.
Our pairing did give the strong yellow deck lots of recruitment and KO leading to a thin deck that could recruit anything or clear the hidden witnesses with ease. Hulk’s were able to manage the city and smash the Mastermind.",,
,,4,(+8),28,ElongatedMan,30,31,61,1st,Yes (5.5),2nd,24 (9),1st,0 (6.5),4th,2.542 (7),28,,1,10,3,4,6,5,0,0,18,Groot,She-Hulk,Groot,She-Hulk,First attempt,4,"I'm back! Feeling much better and had fun with this setup

Brought Groot and She-Hulk for recruit and green cards. The Joe Fixit card that lets you bribe villains helped keep things flexible, and Moon Knight and some other cards helped KO Gems to hold off win conditions. Both games had kind of weird Villain Deck shuffles.

Glad to still have games to play even though I didn't make the cut. Thanks!",,
,,5,(+7),25,Organous,33,38,71,1st,Yes (5.5),7th,30 (3.5),1st,0 (6.5),5th,2.367 (6),21.5,,5,13,2,1,3,1,1,0,8,"No-Name, Brood Queen",Gamora,"No-Name, Brood Queen",Gamora,Second attempt,4,"Between both games, 5 Infinity Gems were eaten. How strange it is to so easily render the scheme irrelevant.",,
,,6,(+6),26,coldvein & raja,31,35,66,1st,Yes (5.5),5th,29 (5.5),1st,0 (6.5),7th,2.276 (4),21.5,,4,17,1,2,5,6,2,0,16,Rocket Raccoon,Star-Lord,Rocket Raccoon,Star-Lord,First attempt,4,"We used the Gems, shards and artifacts to our advantage.  It seemed to make things easy to control.",,
,,7,(+5),24,GreyWadejokis,22,41,63,1st,Yes (5.5),5th,29 (5.5),1st,0 (6.5),10th,2.172 (1),18.5,,19,12,2,0,5,3,1,0,11,Daredevil Noir,Star-Lord,Daredevil Noir,Star-Lord,First attempt,5,Good scheme and mastermind mix,,
,,8,(+4),23,Allman,34,42,76,1st,Yes (5.5),10th,34 (1),1st,0 (6.5),8th,2.235 (3),16,,8,16,1,1,2,1,1,0,6,Rocket Raccoon,Angel Noir,Angel Noir,Rocket Raccoon,First attempt,3,Final of grey hulk spawn at second round.  Buy at 4°round,,
,,9,(+3),22,Montax30,46,24,70,1st,Yes (5.5),7th,30 (3.5),10th,3 (1),6th,2.333 (5),15,,22,18,1,0,4,3,0,0,8,Amadeus Cho,Gamora,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Getting Joe Fixit's rare helped a great deal.,,
,,10,(+2),21,Lasombra81,26,46,72,1st,Yes (5.5),9th,33 (2),9th,1 (2),9th,2.182 (2),11.5,,20,14,2,1,3,2,0,0,8,Gamora,Star-Lord,Gamora,Star-Lord,First attempt,4,None,,
,,11,(+1),21,Aaron4DotOh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
E7,Helicopticarriers 2000,1,(+11),27,Tuba2k7 & Aliayc22,37,33,70,1st,Yes (5.5),1st,25 (9),5th,1 (4.5),2nd,2.8 (8),27,,4,16,2,4,6,2,1,0,15,Hiroim,Jean Grey,Hiroim,Jean Grey,First attempt,5,"Overall this was the most enjoyable game we played.  All of the cards were very cohesive and our hands and decks were stronger as we went.  Lots of fun with hulk smash and transforming characters.  We loved rick jones, he also worked well with mr fantastic and forge.  Great scenario, will play again!",,
,,2,(+10),27,SharkNate-O & onthegeniusofsamrockwell,54,51,105,1st,Yes (5.5),5th,30 (4.5),1st,0 (7.5),1st,3.5 (9),26.5,,3,32,3,3,3,1,0,0,10,Jean Grey,Hiroim,Jean Grey,Hiroim,First attempt,4,Very fun game. We were both able to get some pretty solid decks that were more Forge/Mr. F/Rick Jones/Hulk and Jean Grey/Hiroim/Hulk/Rick Jones. First game went well for both decks. Second game was VERY slow for one of the decks due to dry HQ and scheme twists. Good game overall,,
,,3,(+9),25,Canis & MamaBird,37,31,68,1st,Yes (5.5),2nd,27 (7.5),1st,0 (7.5),6th,2.519 (4),24.5,,6,0,2,2,8,2,1,0,15,Amadeus Cho,Bruce Banner,Amadeus Cho,Bruce Banner,Second attempt,4,"lost a lot more heroes on attempt two, General Ross got better with his helicarriers, but had a faster game, went with a very techy hero deck to try and dodge more of the scheme twist, and it mostly worked. very fun setup overall, never was a huge hulk fan, but world war hulk has some very fun heroes.",,
,,4,(+8),26,aitmanga,39,41,80,1st,Yes (5.5),5th,30 (4.5),1st,0 (7.5),4th,2.667 (5.5),23,,2,22,0,2,7,1,1,0,11,Bruce Banner,Hiroim,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Hiroim worked pretty well since I had several bystanders in the VP pile from taking down dozens of choppers. Bruce Banner was also a great option with all the tech cards, as that alongside Mr. Fantastic gave me tons of draw and also helped me enable Forge's cards.",,
,,5,(+7),25,energythief,37,35,72,1st,Yes (5.5),2nd,27 (7.5),5th,1 (4.5),4th,2.667 (5.5),23,,2,26,2,4,5,2,1,0,14,Angel,Jean Grey,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Really enjoyed figuring out the tactical considerations for this one! I basically ignore Mister Fantastic and had one hand go for Jean and Warren and the other go for Rick, Forge and Hulk. Worked beautifully!",,
,,6,(+6),20,freeclint,50,31,81,1st,Yes (5.5),4th,29 (6),7th,2 (2.5),3rd,2.793 (7),21,,19,17,0,3,3,2,0,0,8,"Miek, the Unhived",Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Had a lot of fun.  Too bad I messed up the scheme on first two attempts.  My first attempt had a Mr F / Wolvie deck that drew all the cards nearly every hand.  But in my proper attempt one hand had a couple King Hulk and it was a smashing success.  Fun setup!,,
,,7,(+5),17,Joebro6616,42,34,76,1st,Yes (5.5),7th,32 (3),9th,6 (1),7th,2.375 (3),12.5,,8,19,0,2,6,1,0,0,9,Invisible Woman,Jean Grey,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,"I didn’t care for this scheme, it was confusing to me",,
,,8,(+4),19,MrTInce,55,26,81,1st,Yes (5.5),8th,35 (2),7th,2 (2.5),8th,2.314 (2),12,,29,15,1,2,2,3,0,0,8,Bruce Banner,Thing,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"Fun game, always good to try different heroes together.",,
,,9,(+3),21,Cubbiesnextyr & Wife,19,28,47,9th,No (1),9th,25 (1),1st,0 (7.5),9th,1.88 (1),10.5,,9,11,2,0,8,3,1,0,14,"Joe Fixit, Grey Hulk",Punisher,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"4 early twists narrowed our ability to buy heroes and a couple of bad luck MM transformations and that was it.  Not a bad set-up, perhaps another shot with some different heroes would have worked out better.",,
,,10,(+2),17,jpilger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,(+1),11,caseystahl1125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
46,Opposites Attract,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PanDoomic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Forge the Infinity Diaper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
