Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,9,caseystahl1125,15,20,35,9th,No (1),9th,26 (1),9th,6 (1),9th,1.346 (1),4,,5,3,Fantastic Four United,Doctor Strange (Doctor Strange and the Shadows of Nightmare),Fantastic Four United,Heralds of Galactus,First attempt,2,2/5,I got smoked both games ..and it wasn't even close
,,-,pspblink,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
18,Hela & the God-Emperor of Battleworld,1,JesterJeeto,82,37,119,1st,Yes (5),3rd,28 (7),1st,0 (7),1st,4.25 (9),28,,45,24,Agent Venom,Lady Sif,Black Panther (Illuminati),"Captain Marvel, Agent of SHIELD",Second attempt,4,4/5,"Namor and BP were an amazing combo!  Also, Elsa and CM."
,,2,Jalt,51,40,91,1st,Yes (5),4th,29 (6),1st,0 (7),3rd,3.138 (7),25,,11,29,War Machine,"Dr. Punisher, Soldier Supreme",War Machine,Apocalyptic Kitty Pryde,Second attempt,5,5/5,"Submitting my second play through score, maybe foolishly? I had more VP on the first play through but way more turns. I swapped out Dr. Punisher the second time as his tech cards weren't really helping and I wanted more KO power. APK was a game changer with her ability to manipulate the HQ early. I got Namor's rare and was able to KO all gray and non-gray unneeded heroes that I could just have his rare come up and trigger every turn at the end. My wife had an awesome build of War Machine and Elsa, who do not care about Rise of the Living Dead when they can bury them under tons of bystanders. I had 2 escapes, but both ascended to Masterminds so I was able to fight them with Namor eventually."
,,3,RemingtonChase,65,21,86,1st,Yes (5),1st,27 (8.5),6th,1 (3.5),2nd,3.185 (8),25,,44,12,Black Panther (Illuminati),Beast (Illuminati),Black Panther (Illuminati),Beast (Illuminati),Second attempt,4,4/5,"There are lots of great possible hero combos available to choose from in this pod. Ended up going for Beast and Black Panther, which felt like a great choice. I really wanted to use Namor's rare to take down the God-Emperor, but even though I got his rare in both games I never got to use it a single time. Nonetheless, second game went much better than the first. Deadlands were surprisingly not an issue, but Hela and Fenris really, really were."
,,4,R3DJ0N,55,36,91,1st,Yes (5),5th,32 (5),1st,0 (7),6th,2.844 (4),21,,19,19,Old Man Logan,Black Panther (Illuminati),Old Man Logan,Black Panther (Illuminati),First attempt,2,2/5,Imperius Rex took out the God emperor of battleworld. But it took a long time to build up. 2nd attempt was rough with twist 8 on turn 20. Plus Thanos KOing stuff before that. Don't feel good about my chances.
,,5,NukinFoobs & N3m3sis,49,33,82,1st,Yes (5),1st,27 (8.5),9th,3 (1),4th,3.037 (6),20.5,,16,13,Beast (Illuminati),Black Panther (Illuminati),Beast (Illuminati),Black Panther (Illuminati),First attempt,3,3/5,Was doing so well but an early Fenris wolf in both games ended up forcing some unwanted escapes. One of us focused on a yellow/red draw deck and the other on a black/green deck.
,,6,Jean-Sebastien & Genevieve,54,34,88,1st,Yes (5),7th,35 (2.5),1st,0 (7),8th,2.514 (2),16.5,,20,10,Agent Venom,"Captain Marvel, Agent of SHIELD",Agent Venom,"Captain Marvel, Agent of SHIELD",Second attempt,4,4/5,"Selecting heroes with synergy was difficult with this setup, but Hela was easier than usual because of the Henchman group."
,,7,Mr. Omnishambles,46,67,113,1st,Yes (5),9th,40 (1),1st,0 (7),7th,2.825 (3),16,,21,11,Captain Marvel (Secret Wars Vol. 1),Dr. Strange (Illuminati),Captain Marvel (Secret Wars Vol. 1),Black Panther (Illuminati),Second attempt,5,5/5,"First: I had fun with this setup! Second: I didn't go with Spideys here although they were my first suggestion. Cpt. Marvel and Dr. Strange, but also Cpt. Marvel and Black Panther delivered and I could beat Hela twice. The first match I made a big playing mistake to defeat Fenris instead of an Army of the Dead. While resolving a Strike I had to put Fenris back into the city because he was the only 3VP+ villain in my Victory Pile. This caused 2 Escapes when he charged forward. Damnit! But I had a rather fast victory with 32 turns. In the other match I played almost the complete Villain Deck. Hellcat's rare card delayed 2 twists. Nice thing! But I finished with a clean Escape Pile AND even more VP per turn. Lets hope I took the right decision to submit my second attempt! Otherwise good setup! Dunno why there are people complaining!"
,,8,AdvSwaY,44,59,103,1st,Yes (5),6th,34 (4),8th,2 (2),5th,3.029 (5),16,,15,21,Black Panther (Illuminati),Beast (Illuminati),Black Panther (Illuminati),Beast (Illuminati),First attempt,4,4/5,Feels good to be a gangsta - Beast
,,9,Ceej,37,44,81,1st,Yes (5),7th,35 (2.5),6th,1 (3.5),9th,2.314 (1),12,,7,8,Black Swan,War Machine,Black Swan,War Machine,Second attempt,5,5/5,"I expected to be facing at least two, possibly as many as 5 masterminds, so I decided to roll the dice on the strategy of letting the God-Emperor KO all the masterminds for me. For this, Black Swan was a shoo-in because I needed to get to exactly 7 Scheme Twists and then get 19 attack before Twist 8 came out. I thought I'd be dependent on her rare for real Villain Deck control, so it was a real gamble, but I managed to acquire it in both games. Her Uncommon ended up being much more useful though, with nearly as much deck control and more reliable attack (and multiple copies available). I added War Machine for a source of Tech heroes (to counter God-Emperor's Master Strike) and some hopefully reliable attack.

First game I had the first Twist (unleashing the God-Emperor) and then three Master Strikes within the first 6 turns, so my decks were clogged with Wounds from Hela at first. All three of those Master Strikes ended up escaping too, mostly thanks to Fenris. But the Hero deck produced a lot of great cards and I was able to control things pretty well after that. I even got Namor's Rare, and a very lucky Strength X-Student sidekick let me power it up to defeat the God-Emperor without needing the attack.

Second game the Hero deck was a lot more reluctant, but I eventually got at least one copy of Black Swan's uncommon on both players, and had a bit more reliable attack. Actually managed to hit Hela twice before God-Emperor KO'd her, and kept it to only one escape. Namor once again came in clutch for the final hit on the God-Emperor, this time with his common that gave +2 attack against the Mastermind.

Overall Black Swan has to be the MVP since without her Villain Deck control, this would have been a rout. She ended up being a decent damage-creator as well. War Machine was mostly a non-factor, although having some Tech did stop a couple Master Strikes. Namor was far better than I expected, though. And between Namor, Black Swan, Hellcat, and the Hydra Bases, there was a LOT of Hero KO in this game, which made it pretty easy to get the decks running lean and mean. I actually over-KO'd Shield Agents a bit and almost removed my own ability to purchase more cards.

Very interesting and, ultimately, enjoyable setup. With the Henchman being Locations, and a number of Villainous Weapons and Villains that could ascend to be Masterminds, there actually weren't a great number of things that could end up in the Escape pile. Those Rise of the Living Dead ambush Villains were a pain in the butt though - you really had to plan for some way to put something on top of them in your Victory pile or they just kept coming back."
,,-,Mr_Giraffe,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,,,,
19,Madelyne Pryor Hails Hydra,1,Frank7666,92,35,127,1st,Yes (5.5),1st,22 (9),6th,1 (4),1st,5.773 (9),27.5,,57,5,Siryn,Shatterstar,Shatterstar,Siryn,Second attempt,5,5/5,I forgot how fun Syrian is to play
,,2,dontfeedthegreen,50,66,116,1st,Yes (5.5),5th,30 (4.5),1st,0 (7),2nd,3.867 (8),25,,16,34,Maximus,Deathlok,Maximus,Stepford Cuckoos,First attempt,4,4/5,"Great fun set up. In my Stepfords game I actually finished slightly faster, with one player going bananas on Undercover with Coulson, but a cascade of Ghost Racers caused two escapes early on. In the Deathlok game I got the Maximus engine going with both decks and on many turns I was gaining 1-3 sidekicks for every demon goblin I defeated. Deathlok sent some extra Heroes undercover and boosted the score a little."
,,3,kata124,76,23,99,1st,Yes (5.5),4th,29 (6),1st,0 (7),4th,3.414 (6),24.5,,53,25,Quake,Superior Iron Man,Quake,Stepford Cuckoos,First attempt,4,4/5,Fun setup. Brainstorm felt like the odd one out and generally misfired. The scheme is vanilla but I enjoyed that given how many different things were going on with the heroes. Lot's of fun finding some unexpected synergies.
,,4,Off the Cuff,54,39,93,1st,Yes (5.5),3rd,28 (7),1st,0 (7),7th,3.321 (3),22.5,,15,23,Deathlok,Stepford Cuckoos,Deathlok,Stepford Cuckoos,Second attempt,4,4/5,"Game 1 had a better SHIELD deck setup, including a bizarre scenario where 4 of the 5 Strikes were in the last 10 cards of the Villain Deck and never appeared. Game 2 was the first time I've truly gotten Magik to work properly, with the Cuckoos supporting her well. Slightly less PPT, but everything else was better, so an easy choice."
,,5,JParnell,61,21,82,1st,Yes (5.5),2nd,25 (8),1st,0 (7),8th,3.28 (2),22.5,,40,18,Stepford Cuckoos,Superior Iron Man,Stepford Cuckoos,Superior Iron Man,First attempt,4,4/5,Wanted to decide between going hard into SHIELD or go away from it- felt like I was able to put together a team that focused on not-Coulson and it worked really well. The Cuckoos and Sup. Iron Man work incredibly well with Magik and Brainstorm!
,,6,Zhoud,50,52,102,1st,Yes (5.5),5th,30 (4.5),1st,0 (7),5th,3.4 (5),22,,2,25,Deathlok,Fantastic Four United,Deathlok,Fantastic Four United,Second attempt,4,4/5,"The hIgh variance nature of card games was in full force in game one as the city quickly flooded with 6+ power villains, making an escape basically inevitable. Was nice to get to play with sidekicks again after 2 setups without them. The special sidekicks are fun even if they are basically a needed nerf to the sidekick deck."
,,7,Jmaster1324,45,82,127,1st,Yes (5.5),7th,37 (3),8th,3 (1.5),3rd,3.432 (7),17,,37,32,Quake,Mockingbird,Mockingbird,Quake,Second attempt,4,4/5,"All I can say is ""ow that hurt"" Goblin Queen be Goblin Queening. This was really rough and honestly if I'm not eliminated this week I'll be excited but mostly surprised. It was fun to focus on SHIELD  LEVELS. Also talk about HUGE VP. I can only hope thats what pulls me over"
,,8,DRobb & ShadowOfTheBat,87,33,120,1st,Yes (5.5),8th,38 (2),8th,3 (1.5),9th,3.158 (1),10,,54,32,Quake,Kitty Pryde,Deathlok,Mockingbird,First attempt,4,4/5,"Thought we had the correct hero, but did not play as we thought. Still 3-0 in Game 1 and 0-3 in Game 2"
,,9,dyn0mike27,82,51,133,9th,No (1),9th,40 (1),7th,2 (3),6th,3.325 (4),9,,31,34,Mockingbird,Quake,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,HQ was sloooooow.
,,-,Acituanbus,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
20,J. Jonah Jameson's X-Cutioner's Song,1,Avataristche,38,29,67,1st,Yes (5),1st,23 (9),1st,0 (5.5),2nd,2.913 (8),27.5,,9,4,Cyclops,Storm,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,I got Cyclops rare rather early and it still was a slog. I doubt i could do better tho.
,,2,Redblock,90,23,113,1st,Yes (5),6th,34 (3.5),1st,0 (5.5),1st,3.324 (9),23,,67,24,Wolverine (X-Men),Elektra,Black Widow,Nick Fury,Second attempt,4,4/5,"Setup made me do it, I'm innocent. I tried to play nice, burned wolverine and Electra trying to do it, but setup said ""you are not Worthy"". So I saw Ultron in setup and went fishing, the rest is shame"
,,3,Drewfusmcge,10,47,57,1st,Yes (5),3rd,26 (7),1st,0 (5.5),5th,2.192 (5),22.5,,37,3,Elektra,Wolverine (X-Force),Elektra,Wolverine (X-Force),First attempt,3,3/5,"This game is the longest I've spent on hero choices in any tournament game ever. My first game ended up really well after I got Professor X's rare pretty early. Having a 6 attack Blackheart and 5 attach Lilith as heroes reallllly helped lol. My first instinct was the lean into bystanders with Jean Grey or Black Widow, but I wanted to get a small amount of turns instead of a long game with lots of VP. In my first game I had only two non-grey KOs! Decently fun setup. Hope to move on to round 4!"
,,4,SilverFirePrime,43,33,76,1st,Yes (5),5th,31 (5),1st,0 (5.5),4th,2.452 (6),21.5,,10,15,Angel,Nightcrawler,Angel,Nightcrawler,Second attempt,4,4/5,"Initial trio of heroes really gives an interesting array of choices.  JJJ can get bent, though.  His strike is a tad too swingy for when speed=better placement."
,,5,freeclint & gnomemaster,40,19,59,1st,Yes (5),4th,27 (6),1st,0 (5.5),6th,2.185 (4),20.5,,21,4,Hulk,Nightcrawler,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,Got lucky with prof x rare early on with a nightcrawler in hand 1 and did the heavy lifting.  Hulk + rogue in hand 2 was able manage lots of the city.
,,6,CGlied,36,14,50,1st,Yes (5),2nd,25 (8),1st,0 (5.5),8th,2 (2),20.5,,22,0,Cyclops,Iceman,Cyclops,Iceman,Second attempt,4,4/5,"Played twice and each game was a wildly different journey to relatively the same spot. First game Rogue and Iceman were superstars as expected, but I didn't really get much VP. Second game was more the Cyclops and Ms America show (with a nice Spider-Man cameo at the end) and while it took a bit longer, I was more in control and the VP was a bit higher."
,,7,Pervavita & CatSwiftie,39,48,87,1st,Yes (5),6th,34 (3.5),9th,2 (1),3rd,2.559 (7),16.5,,9,19,Black Widow,Jean Grey,Black Widow,Jean Grey,First attempt,3,3/5,"Second attempt the city was full of villains fast that were large and the HQ had high recruit heroes making us unable to fight or recruit for the first few turns leading to a lot of escapes and KOed heroes.
First run our decks worked fine just felt like an okay setup."
,,8,Astigmatic_Oracle,32,47,79,1st,Yes (5),9th,37 (1),1st,0 (5.5),7th,2.135 (3),14.5,,15,16,Jean Grey,Nightcrawler,Jean Grey,Nightcrawler,Second attempt,4,4/5,"First attempt was a disaster. Dracula captured a 6 cost on ambush and then had multiple Spiders in a row, getting up to 17 attack. Then one Scheme Twist ended the game. I won the second game, but it wasn't very fast. After a bad start I had to play conservatively to avoid another loss."
,,9,GZUZROCKS & MyBestPardner,33,28,61,1st,Yes (5),8th,36 (2),1st,0 (5.5),9th,1.694 (1),13.5,,5,1,Cyclops,Hulk,Cyclops,Bishop,Second attempt,4,4/5,"This was very challenging. The first match we tried using cyclops and hulk but didn’t gain much traction. In the second match, we substituted bishop for hulk which worked better. There was just so much chaff being put in our decks and bishop ended up helping get rid of a lot of that. We were on the edge for most of the game though because the first five Spider-Man were KO’d early on, but we managed to keep the KO’s at bay after that. Fun match up though!"
,,-,Jerzin,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
21,Carnage's Organized Crime Wave,1,Grey Warden & Blue Queen,13,50,63,1st,Yes (5.5),1st,20 (10),2nd,1 (8.5),2nd,3.15 (9),33,,37,4,Iceman,Ghost Rider,Ghost Rider,Iceman,Second attempt,4,4/5,"Our two games were very similar with me running Karnak + Siryn and KOing as many Goons as I could with Ghost Rider, keeping the city clean while Blue Queen went with Iceman + Bishop to blow Carnage away. The second game went slightly better even though I lost all my good cards to feast lol"
,,2,AntDude,42,30,72,1st,Yes (5.5),2nd,22 (9),6th,4 (4),1st,3.273 (10),28.5,,12,3,Ghost Rider,Punisher,Ghost Rider,Punisher,First attempt,4,4/5,"So much KO in this setup with Feast, Maggia Goons, and Bishop! Then I also added Punisher! My hero selection strategy was to have Ghost Rider KO Goons out of my Victory Pile, and then Punisher to give some MK-Tech synergy. The latter worked quite well, but I never had the chance to KO a single Goon! Siryn, Karnak, and Bishop never got it fully together, but was serviceable by the end. Had only the Final Blow left with 1 Goon in the escape pile, and on the final turn got Goon-Goon-Goon-Twist. Phew! Such a volatile scheme, but a fun setup!"
,,3,Dre 2 point 0,48,20,68,1st,Yes (5.5),5th,25 (6),1st,0 (10),4th,2.72 (7),28.5,,28,5,Iceman,Jean Grey,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,"You’d think with Iceman and Jean Grey I’d have 100 bystanders and won in 10 turns, but neither of them really ever showed up. Surprisingly, the hand that focused on Karnak and Siryn did really great! She shattered the whole city multiple times, including twice in one turn! And once I picked up Karnak’s rare, all of his cards popped off and the game ended swiftly after."
,,4,FlipFlopManiac,45,27,72,1st,Yes (5.5),4th,24 (7),4th,2 (7),3rd,3 (8),27.5,,18,5,Iceman,Rictor,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Probably my slowest game of OCW ever played.  The Strikes and Twists came out very early and I was able to rest away most of the wounds from Carnage.  Rictor, Bishop, and Iceman did a ranged thing and cleaned up Carnage quickly."
,,5,Ashyy,35,27,62,1st,Yes (5.5),6th,26 (4),2nd,1 (8.5),6th,2.385 (5),23,,8,4,Iceman,Crystal,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,Got Karnak’s rare early only to be feasted on the next turn 😒
,,6,Mikeygill97,38,13,51,1st,Yes (5.5),3rd,23 (8),6th,4 (4),7th,2.217 (4),21.5,,25,2,Ghost Rider,Iceman,Ghost Rider,Iceman,Second attempt,2,2/5,"Was able to get Bishop's rare early and each time I got it in hand I went for Carnage. The first time around was ugly kept having one escape after another thanks to the Maggia goon's ambush. I was able to do better the second game of which I got Bishop to help me out more than Ghost Rider...However, Carnage is toast!"
,,7,Lasombra81,49,24,73,1st,Yes (5.5),9th,29 (2),5th,3 (6),5th,2.517 (6),19.5,,25,2,Punisher,Ghost Rider,Punisher,Ghost Rider,First attempt,4,4/5,"Easy to choose between a win or a loss.  Game 2: I was able to KO a couple Goons with Blazing Hellfire but had an expensive early HQ and had a couple rares. Seek the Center does not do much when you only see 3 of his cards and one gets feasted on.  Can't avoid 3 Goons with a twist.
Game 1: Had cheap HQ for most of the game.  No rares until the last turn.  I forgot who the 5th hero was until Siryn showed up turn 23.  One had was strong Bishop deck with some Karnak.  Other had was MK and Hail of bullets helped to know what was coming up and to defeat some Goons before they arrived.  Did not KO any Goons but KOd another Villian to hit MM.  Both decks had no starters at end of Game 1.  Fun game."
,,8,Yeeches,26,28,54,1st,Yes (5.5),6th,26 (4),6th,4 (4),9th,2.077 (2),15.5,,2,2,Warpath,Spider-Woman,Warpath,Spider-Woman,First attempt,5,5/5,"A LOT of KO'ing to do in this set up, I've never seen decks so thin. Went for a formation strategy with Warpath's 225 and Siryn's 246. Pretty solid synergies all around and a lot of fun! Got a run of goons in 2nd attempt that ended a solid game."
,,9,CombatantMoth & QueenKate34,22,35,57,1st,Yes (5.5),6th,26 (4),9th,6 (1.5),8th,2.192 (3),14,,13,2,Ghost Rider,Iceman,Ghost Rider,Iceman,Second attempt,2,2/5,"Tough setup. First game Ghost Rider was off to a great start using his commons and KOing Goons, but then a string of Maggia into a Scheme Twist ended it. Second game Ghost Rider only had two cards show in the HQ and never got recruited. Iceman and Bishop did all the work."
,,10,Techfiend,38,26,64,1st,Yes (5.5),10th,32 (1),9th,6 (1.5),10th,2 (1),9,,12,5,Professor X,Stepford Cuckoos,Professor X,Stepford Cuckoos,Second attempt,3,3/5,"The first game was a disaster. Nothing worked and the Goons kept drawing into twists. The second game came right down to the wire, with only 2 cards left in the villain deck. Left side went Bishop/prof X, Right side was Cuckoos. Lack of recruitment points slowed both sides."
22,The Hydra Super-Adaptoid Pulls Reality into the Negative Zone,1,Hatephd & EditedMist99,41,31,72,1st,Yes (7),2nd,29 (9),1st,0 (7),3rd,2.483 (8),31,,10,7,"Joe Fixit, Grey Hulk",Mr. Fantastic,"Joe Fixit, Grey Hulk",Mr. Fantastic,Second attempt,5,5/5,"The first game we won by hitting the MM 3 times in a turn, and then the final time and a board wipe a few turns later. We thought for sure that was going to be our submission even with one escape.

Second attempt was the same amount of turns just no mega explosive damage or escapes. Free points per turn by a little, hopefully the escapes keep us in the top half."
,,1,Snatchcat,41,25,66,1st,Yes (7),1st,27 (10),1st,0 (7),4th,2.444 (7),31,,16,1,Mirage,"Miek, the Unhived",Rick Jones,Warlock,Second attempt,4,4/5,"In the second match, both sides had better success with thinning their decks with either KO or Undercover, giving me good draws towards the end. Deathlok was huge with his +3 Attack, +3 Recruit card, as I needed 8 Recruit to get the final hit on the Mastermind. Without him I would've lost, as the next card in the Villain Deck was the 7th twist!!"
,,3,ChuckBau3r,43,46,89,1st,Yes (7),3rd,32 (7),1st,0 (7),2nd,2.781 (9),30,,3,6,"Joe Fixit, Grey Hulk",Hulkbuster Iron Man,"Joe Fixit, Grey Hulk",Hulkbuster Iron Man,Second attempt,4,4/5,"I brought Joe Fixit along to actively combat the effects of the scheme. Hulkbuster Iron Man contributed to Joe's need for strength cards, and Deathlok's Tech triggers.

Managed to score Joe's rare in turn 15. If the scheme hadn't kept changing at the wrong times, the game could have been finished by turn 20, but it is what it is..."
,,4,Captain Cardone & Paisley5002,60,37,97,1st,Yes (7),3rd,32 (7),8th,1 (2),1st,3.031 (10),26,,23,4,"Joe Fixit, Grey Hulk",Warlock,"Joe Fixit, Grey Hulk",Warlock,First attempt,2,2/5,"The heroes were a lot of fun (I love sunlight/Moonlight with draw power), but the rest of the setup wasn't really a factor in our fun, though my partner discarded his hand 3 times, so he was salty about that."
,,5,Jinjoz,33,31,64,1st,Yes (7),6th,35 (5),1st,0 (7),7th,1.829 (4),23,,2,3,"Joe Fixit, Grey Hulk",She-Hulk,"Joe Fixit, Grey Hulk",She-Hulk,Second attempt,1,1/5,"First Attempt went about as I expected. Scheme twist 6 got drawn and I didn't have enough recruit to take out the mastermind. Game 2 was a different story. I had one player focus on attack, using that to keep the city nice and clear and get VP. The second player, all o had them do was recruit shield officers and heroes that granted at least 2 recruit with a small benefit. So many officers! Once scheme 4 and 6 were drawn and I was pulled into the negative zone, I had recruit for days that I could use to take out the mastermind. I also picked up Joe Fix it's rare card and used that once during an odd scheme twist to hit the mastermind. Felt every clever on my second game but it wasn't a fun setup. Probably my least favorite scheme"
,,6,Babybreloom,25,52,77,1st,Yes (7),3rd,32 (7),8th,1 (2),5th,2.406 (6),22,,27,2,Mockingbird,Quake,Human Torch,Thing,First attempt,2,2/5,"This is such an evil combination. I really struggled with this one. If anybody managed to find a way to win this one commandingly, my hat's off to them!"
,,7,Loconnole & Klcgolf,26,41,67,1st,Yes (7),7th,37 (4),1st,0 (7),8th,1.811 (3),21,,15,4,Warlock,Mockingbird,Warlock,Mockingbird,Second attempt,4,4/5,Got really unlucky on getting any rares to pop up and sneaky hard scheme
,,8,Mangostrike,35,35,70,8th,No (2),9th,38 (1.5),1st,0 (7),6th,1.842 (5),15.5,,0,5,She-Hulk,Sentry,Sentry,She-Hulk,Second attempt,2,2/5,I could not get the hang of the flipped recruit and strike. Kept ending up being unable to do anything. This was painful.
,,9,ClobberinTime & megablueJJ67,25,34,59,8th,No (2),9th,38 (1.5),1st,0 (7),9th,1.553 (2),12.5,,9,4,She-Hulk,Warlock,She-Hulk,Silver Surfer,First attempt,2,2/5,We just couldn’t crack this setup (lost both games) after being intentional with hero selections.
,,10,SilverGetzu & BanditBee,27,29,56,8th,No (2),8th,40 (3),8th,1 (2),10th,1.4 (1),8,,2,1,Quake,Warlock,Mockingbird,Mirage,Second attempt,2,2/5,"Long game with bad twist timing. By the time good attack was available, reality was inverted and my one turn 26 ""attack"" was not very useful. Kept the city mostly under control but the mastermind was always out of reach. Lost both games to twist limit."
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E1,Magneto's Super Hero Civil War,1,Coldvein & Raja0629,31,30,61,1st,Yes (2),1st,24 (3),1st,0 (2.5),2nd,2.542 (2),9.5,,1,4,Cyclops,Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,Lots of fun going back to the Core setup.
,,2,jgoodnough,19,28,47,1st,Yes (2),2nd,25 (2),1st,0 (2.5),3rd,1.88 (1),7.5,,9,0,Cyclops,Wolverine (X-Men),Emma Frost,Iron Man,Second attempt,4,4/5,Both games were fun
