Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,4,Loconnole & Klcgolf,67,48,115,1st,Yes (4.5),4th,29 (5),4th,1 (5),3rd,3.966 (6),20.5,,19,18,Luke Cage Noir,Invisible Woman,5,5/5,Loved the hero combinations that had great synergy!
,,5,Iburnicus,57,61,118,1st,Yes (4.5),7th,34 (2),5th,2 (4),5th,3.471 (4),14.5,,4,17,Invisible Woman,Mr. Fantastic,3,3/5,"another close call on a game with a lot going on at the same time! 
submitted my first try cuz the 2nd was a loss due to schemechaining,
don't feel like i made a great score but we'll see."
,,6,Snash108 & SBPKECN,72,43,115,1st,Yes (4.5),8th,35 (1),1st,0 (7),8th,3.286 (1),13.5,,29,16,Maximus,Mr. Fantastic,4,4/5,"Almost packed the game up in dismay, when we realized all that was left in the villain deck was Twists. But then we reread the scheme and realized we still had one turn, in which were won!!

I built a primarily covert deck, trying to leave as much tech in the HQ as possible, while my wife built a strong Mr Fantastic/Human Torch deck, with some Daredevil as support!"
,,7,Ceej,52,54,106,1st,Yes (4.5),5th,32 (4),6th,3 (3),7th,3.313 (2),13.5,,2,15,Hellcat,Maximus,5,5/5,"Pretty sure I picked the wrong Heroes here. I went with Hellcat because I thought her cards might help me prepare for what the Villain deck was going to do, and that she might work well with Daredevil Noir. Maximus seemed like he'd synergize with Apocalyptic Kitty Pryde; also, I knew Recruit would be important with all the Hidden Witnesses, so his Mental Domination common that could both add Recruit and defeat Henchmen seemed useful. Sadly that card didn't come out at all in the first game and only a couple times in the second game.

Both games I was unfortunate to start with a big run of Villains and few Henchmen or Locations, so even with six city spaces to work with I had a few early escapes. After that, in the first game, a few Master Strikes kept Goblin well protected, and while I eventually managed to clear the cities, I ran out of Villain deck before I could even hit Goblin once. The second game I finally got a bit of deck synergy rolling, and I was able to use Maximus's Pieces on a Chessboard to re-use several useful Henchman abilities. I also got lucky rescuing Detective Wolverine, and was then able to have him re-captured several times so I could rescue him again - twice he let me put a Scheme Twist on the bottom of the Villain deck. Super powerful!

Probably the most effective Hero card ended up being Human Torch's Hothead - four attack on a four-cost card is great efficiency, and I was able to get it out early in both games. There was just enough Wound-KO ability in the Hero deck to keep me from drowning in Wounds, at least in the second game."
,,8,Roy_Boy,35,78,113,1st,Yes (4.5),6th,33 (3),8th,7 (1),6th,3.424 (3),11.5,,43,20,Invisible Woman,Superior Iron Man,1,1/5,"Game 1: Won on the last turn of the game. Superior Iron Man got rolling on the right side, but the left struggled to get my planned IW/HT/AKP combo
Game 2: Everything worked wonderfully, except I needed 2 more turns. I got the Witness tactic into a MS which have him 10 HWs and it took me the rest of the game to clear them all. Would've had 0 escapes except for chaining into the last Twist. I shouldn't have defeated both Chameleons - while they didn't cause any escapes with another villain moving in, it just ever so slightly sped up the game. I can't imagine I'm moving forward this time, have fun y'all!"
29,Hydra High Council's Fall of the Hulks,1,Cerberin,28,35,63,1st,Yes (4.5),1st,18 (8),1st,0 (4.5),1st,3.5 (8),25,,7,2,Shatterstar,Sentry,5,5/5,"First play was kinda disasterous so I did a second try. And on the second try my favorite combo - Rictor/Shatterstar delivered results. Right side was shattering Hydra in every possible way (pun intended) and delivered the last hit to Zemo with two consecutive shatters. Left side was doing also pretty desent focusing on She-Hulk, some Skaar and a couple of Sentry shenanigans. I was lucky enough to see only 1 Scheme Twist throughout hte whole game saving me from reaching the lose condition. Hope for more Messiah Complex games in the future!"
,,2,Mangostrike,20,34,54,1st,Yes (4.5),2nd,19 (6.5),1st,0 (4.5),2nd,2.842 (7),22.5,,14,1,Amadeus Cho,Bruce Banner,4,4/5,"First game had two rares and two 6 cost heroes in the opening draw, so did not go well.
Second game seemed really fast and had some massive turns with both Bruce’s and Amadeus’ rares landing along with some transformed hulks. Got up to 28 attack on one turn which helped a lot!"
,,3,Avataristche,35,17,52,1st,Yes (4.5),2nd,19 (6.5),1st,0 (4.5),4th,2.737 (5),20.5,,18,1,Amadeus Cho,Mockingbird,4,4/5,"This went well, early Skidds helped a ton."
,,4,Babybreloom,13,72,85,1st,Yes (4.5),8th,30 (1),1st,0 (4.5),3rd,2.833 (6),16,,59,4,Mockingbird,Strong Guy,5,5/5,"I really enjoyed this one! I focused on getting Skids and Strong Guy as early as possible early to avoid all the many many many ways this setup could force wound collection. Strong Guy also let me search out She-Hulk, while Richter got to play with Boom-Boom and Mockingbird. I ended up recruiting Mockingbird's rare SUPER early and a huge chunk of my VP comes from just an immensely high shield level that also let me clear the city and hit the mastermind on the last turn with 29 fight total! I was able to dodge like, 8 wounds over the course of the game; Picking Strong Guy absolutely saved my bacon this round!"
,,5,Redblock,52,23,75,1st,Yes (4.5),7th,29 (2),1st,0 (4.5),5th,2.586 (4),15,,29,3,Spider-Woman,Warpath,4,4/5,"I still think Warpath is one of worst heroes, but paired with spiderwoman and facing tons of feast he can do stuff"
,,6,Remington Chase,41,22,63,1st,Yes (4.5),6th,26 (3),1st,0 (4.5),6th,2.423 (3),15,,19,3,Shatterstar,Strong Guy,4,4/5,"Somehow I didn't have too many issues with wounds in this setup. Strong Guy came in clutch, and there were a surprising amount of synergies with this whole crew. Skaar was mostly deadweight but fortunately he didn't fill up the HQ too much."
,,7,Wicked.pepper,26,31,57,1st,Yes (4.5),5th,24 (4),1st,0 (4.5),7th,2.375 (2),15,,5,2,Siryn,Namora,4,4/5,After the first run-through I thought I could better my score. Turns out that first game was actually pretty decent. With Skids I could keep some wounds away. The investigation from Rictor and Siryn helped with the feast timing. I think that protected me from 5 wounds give or take.
,,8,Adrian Miller,23,18,41,1st,Yes (4.5),4th,20 (5),1st,0 (4.5),8th,2.05 (1),15,,5,1,Deathlok,Moon Knight,3,3/5,"Used my picks very little, went hard on one hulk set pet side."
,,,,                                                              Eliminated ,,,,,,,,,,,,,,,,,,,
E3,Mysterio's Midtown Bank Robbery,1,Astigmatic_Oracle,77,34,111,1st,Yes (6),2nd,30 (10),1st,0 (7),1st,3.7 (11),34,,43,25,Black Widow (Avengers),Spider-Woman,4,4/5,Black Widow + Bystander scheme is always a hit. Black Cat was actually useful for once.
,,2,Bronson,84,39,123,1st,Yes (6),5th,34 (6),1st,0 (7),2nd,3.618 (10),29,,45,24,Gambit,Wolverine (X-Men),2,2/5,Mysterio: “If this is not the final tactic I am tanking your points per turn.”
,,2,Baldulf,69,47,116,1st,Yes (6),4th,33 (8),1st,0 (7),4th,3.515 (8),29,,22,29,Moon Knight,Rogue,4,4/5,"Storm's uncommon, Moon Knight's rare, and Mysterio's tactics all combined to create a crazy number of bystander rescues. The bystander stack ran out in the attempt I submitted...the only one not rescued was still in the villain deck at the end of the game."
,,2,Jmaster1324,56,51,107,1st,Yes (6),3rd,31 (9),1st,0 (7),5th,3.452 (7),29,,5,17,Cyclops,Emma Frost,4,4/5,I think I did pretty good this week. Em and Cy were great choices. I won both runs with lots of points so it was a tough choice of which to submit. It took a few more rounds but I went with the higher PPT since they were both within 4 turns of each other.
,,5,hatephd,69,51,120,1st,Yes (6),5th,34 (6),1st,0 (7),3rd,3.529 (9),28,,18,24,Moon Knight,Black Widow (Avengers),5,5/5,"Just rolled through that game. Hobgoblin jumped out and buffed himself just out of reach and caught a string of bystanders making his a city resident for most of the game. Super fun, love me some Moon Moon."
,,5,Kharg,39,51,90,1st,Yes (6),1st,28 (11),1st,0 (7),8th,3.214 (4),28,,12,18,Black Widow (Avengers),Iron Man,4,4/5,Widows rare showed up in both games and was useful for once
,,7,ItStartsWith1,85,36,121,1st,Yes (6),9th,37 (3),1st,0 (7),7th,3.27 (5),21,,49,25,Iron Man,Moon Knight,4,4/5,"Very fun! Turn 3 Iron Man rare (Wall Crawl MK, Mutates’ Fight =7 recruit turn 2!) made the left side a drawing machine, reshuffling nearly every turn. Long turn game, but Mysterio did his thing. An amazing thing that happened: Blob got stuck in the bank for a string of STs, and got up to 14 attack. All I could picture was him walking around with 10 random people under his arms! Fun hero deck. Black Cat wasn’t actually totally terrible."
,,8,lasombra81,41,75,116,1st,Yes (6),5th,34 (6),10th,1 (2),6th,3.412 (6),20,,34,26,Cyclops,Rogue,4,4/5,-
,,9,Off the Cuff,84,26,110,1st,Yes (6),8th,35 (4),1st,0 (7),10th,3.143 (2),19,,58,16,Cyclops,Black Widow (Avengers),4,4/5,"One of the most ridiculous games I've played. Initially going for an X-Men deck and a Black Widow deck, didn't get any of the good Black Widow cards until too late in the game, and the X-Men side got the 'Rescue Bystanders' Tactic rather early, so the X-Men side became a Bystander rescue side halfway through. The most insane part of this game, though? Didn't draw a single Scheme Twist. I didn't see any from the Villain Deck for the entire game, apart from one turn when a Tactic revealed the top 5 cards of the Villain Deck and tucked anything that wasn't a Master Strike. Four of those cards were Twists.

Nonsense game."
,,10,FlipFlopManiac,81,49,130,1st,Yes (6),11th,42 (1),1st,0 (7),11th,3.095 (1),15,,32,28,Hawkeye,Iron Man,3,3/5,Mysterio makes for a long game.
,,11,Guru Mike & MargaretWestlake,73,48,121,1st,Yes (6),10th,38 (2),11th,3 (1),9th,3.184 (3),12,,25,21,Black Widow (Avengers),Thor (Avengers),3,3/5,"We picked Thor because he has a lot of blue and we thought he'd play well with Storm, and he did, but he takes a while to build up, and we were unlucky on how the villains came out. By the time we had built up notable amount of attack, we already had several escapes. Both of our games worked out that way."
